id,pageNum,searchTerm,type,contributer,description,keywords,image_urls,images
1570938457,1,seamless+pattern+damask,vector,TaniaAnisimova,"Colorful seamless arabian pattern with climbing plants and decorative elements. Indian vector wallpaper. Floral design for wrapping paper, wallpaper, fabric, textile, carpet, mat, rug, cover. Vector","pattern,seamless,wallpaper,baroque,vintage,arabian,damask,flower,paisley,background,floral,textile,antique,arabesque,arabic,art,batik indonesia,decor,decoration,decorative,ethnic,fabric,fantasy,fashion,geometric,graphic,illustration,indian,indonesian,islamic,leaves,malaysian,ornament,ornamental,ornate,rapport,repeat,retro,royal,sarong,silk,style,swirl,texture,traditional culture,turkish,wedding,wrapping",https://image.shutterstock.com/image-vector/colorful-seamless-arabian-pattern-climbing-600w-1570938457.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/colorful-seamless-arabian-pattern-climbing-600w-1570938457.jpg', 'path': 'full/599f6c0e5ebec065509dbacb2aa817785c3616fd.jpg', 'checksum': '754cedc727367195186d29994a8bbd71'}]"
397475683,1,seamless+pattern+damask,vector,RODINA+OLENA,Seamless abstract floral pattern. Vector gold and white background. Geometric leaf ornament,"pattern,royal,seamless,ornament,luxury,geometric,vector,background,small,gold,simple,japanese,flower,abstract,oriental,modern,decor,graphic,leaf,floral,white,old,tile,delicate,wedding,carpet,curtain,wallpaper,design,fabric,baroque,color,damask,dot,fashion,ornate,art,elements,abstraction,cover,decoration,decorative,elegant,flourishes,gray,illustration,packaging,point,repeating,unusual",https://image.shutterstock.com/image-vector/seamless-abstract-floral-pattern-vector-600w-397475683.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/seamless-abstract-floral-pattern-vector-600w-397475683.jpg', 'path': 'full/d5b69778b2e69e954f6880a26784d5da59895cb1.jpg', 'checksum': '2d5c87b415ea28f9f156f9e181eb5830'}]"
1720488997,1,seamless+pattern+damask,illustration,katia25,Seamless Damask Wallpaper. Seamless pattern with damask ornament. Vector vintage floral seamless pattern element.,"background,damask,pattern,seamless,abstract,antique,arabesque,arabic,baroque,beige,border,chinese,curtain,decor,decoration,decorative,design,element,fabric,floral,flourish,flower,gold,golden,graphic,grunge,islamic,japan,japanese,lace,luxury,oriental,ornament,ornate,polka dot,retro,royal,scrapbook,scroll,template,textile,texture,tiled,tinsel,venetian,victorian,vintage,wallpaper,western,wrapping",https://image.shutterstock.com/image-illustration/seamless-damask-wallpaper-pattern-ornament-600w-1720488997.jpg,"[{'url': 'https://image.shutterstock.com/image-illustration/seamless-damask-wallpaper-pattern-ornament-600w-1720488997.jpg', 'path': 'full/567339ccab5f7a9b1fecfc81e1c00ba388da3169.jpg', 'checksum': '66998f1da46ea333bd5ec08db0591431'}]"
86294008,1,seamless+pattern+damask,vector,somesun,Vector seamless floral damask pattern for wedding invitation or vintage abstract background,"pattern,damask,vintage,background,classic,baroque,seamless,decorative,glamour,vector,motif,ornate,floral,flourish,frame,texture,modern,oriental,victorian,luxury,abstract,antique,border,flower,rococo,royal,old,scroll,design,retro,flora,swirl,fabric,foliage,silhouette,fashion,leaf,scrapbook,template,illustration,beauty,creative,decor,element,invitation,textile,tile,traditional",https://image.shutterstock.com/image-vector/vector-seamless-floral-damask-pattern-600w-86294008.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/vector-seamless-floral-damask-pattern-600w-86294008.jpg', 'path': 'full/b67a332d8990c087d6f99c34c08eef868a4816eb.jpg', 'checksum': '584641de46d920ce23545ddc71a3cb9e'}]"
1152747650,1,seamless+pattern+damask,vector,PK55,"Set of Vintage seamless damask pattern.  Hand drawn background. Wallpaper in Turkish style. Islam, Arabic, Indian, Ottoman motifs. Template greeting card, invitation and advertising banner, brochure.","pattern,royal,damask,renaissance,set,elegant,seamless,background,blue,flower,label,luxury,vector,vintage,antique,art,baroque,beige,card,classic,decor,decoration,decorative,design,elegance,element,fabric,floral,gift,greeting card,icon,illustration,invitation,lace doodles,old,ornament,ornate,package,packaging,retro,revival,rococo,style,template,textile,texture,tile,victorian,wallpaper,wedding",https://image.shutterstock.com/image-vector/set-vintage-seamless-damask-pattern-600w-1152747650.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/set-vintage-seamless-damask-pattern-600w-1152747650.jpg', 'path': 'full/97b7e55bb5467c60224ba0ff043107a524beb615.jpg', 'checksum': '3eec797eb2708fa10b7e45f9edc81a1d'}]"
287420075,1,seamless+pattern+damask,vector,xenia_ok,"seamless background, patchwork tiles","seamless,pattern,patchwork,tile,damask,geometric,ornament,carpet,floral,vector,kaleidoscope,floor,mosaic,snowflake,antique,luxury,wall,classic,decor,old,delicate,retro,background,creative,illustration,mix,vintage,art,openwork,repetition,backdrop,ceramics,color,decoration,decorative,design,geometrical,ornate,repeating,sample,template,wallpaper",https://image.shutterstock.com/image-vector/seamless-background-patchwork-tiles-600w-287420075.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/seamless-background-patchwork-tiles-600w-287420075.jpg', 'path': 'full/12e4653461f09866a48f9df1d51512f92ebd1ecd.jpg', 'checksum': '7d05d59bb5c990d20b6fa445e183df61'}]"
1052866070,1,seamless+pattern+damask,vector,ychty,"Abstract seamless geometric pattern on texture background. Art deco seamless pattern in retro colors. Vector illustration vintage design. Islam, Arabic, turkish, ottoman motifs.","pattern,damask,seamless,geometric,moroccan,design,wallpaper,fabric,line,turkish,vector,background,beige,elegant,modern,package,retro,shabby,tilling,trendy,vintage,abstract,arabesque,art deco,black,brush,card,decoration,decorative,fashion,graphic,greeting card,illustration,invitation,material,mottle,ornament,print,spotty,stripe,striped,style,stylish,surface,textile,texture,tile,tracery,wrapping paper",https://image.shutterstock.com/image-vector/abstract-seamless-geometric-pattern-on-600w-1052866070.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/abstract-seamless-geometric-pattern-on-600w-1052866070.jpg', 'path': 'full/94f2eedb02d0c47f7b7359804f80c0562a643d24.jpg', 'checksum': '3f16a8f8efd48fabc33880d3136eebe6'}]"
93275377,1,seamless+pattern+damask,vector,roverto,Damask seamless silk,"damask,pattern,seamless,baroque,vector,floral,vintage,glamour,royal,antique,decorative,outline,renaissance,textile,wallpaper,fabric,foliage,texture,venetian,able,backdrop,background,contrast,curtains,curves,decor,drapery,flourishes,illustration,leafs,old,organic,ornamental,pink,repeating,retro,revival,silhouette,tile",https://image.shutterstock.com/image-vector/damask-seamless-silk-600w-93275377.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/damask-seamless-silk-600w-93275377.jpg', 'path': 'full/5cbcd12827b3e9d36d227e42c3e41910e29a6455.jpg', 'checksum': '33c4c0bfa8e3aa4589b22439d5d65c2a'}]"
113970514,1,seamless+pattern+damask,vector,katia25,Damask seamless pattern for design. Vector Illustration,"pattern,damask,vintage,seamless,purple,background,vector,flower,floral,luxury,wallpaper,design,swirl,baby,retro,scroll,texture,decorative,ornament,tissue,card,paper,textile,western,beautiful,cartoon,composition,curl,royal,summer,template,abstract,cloth,clothes,creative,decor,decoration,dot,element,graphic,illustration,linen,modern,repetition,sample,twig,wrapping",https://image.shutterstock.com/image-vector/damask-seamless-pattern-design-vector-600w-113970514.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/damask-seamless-pattern-design-vector-600w-113970514.jpg', 'path': 'full/8e8114d1dcba1d0348c33b2d060b1b286ee78fd3.jpg', 'checksum': '980ec7e82f6140c5cb736fe4648b6657'}]"
126376700,1,seamless+pattern+damask,vector,upintheattic,Seamless vector damask pattern. Classic background,"pattern,geometric,seamless,damask,fabric,classic,vector,oriental,background,texture,vintage,flourish,ornament,wallpaper,baroque,plant,blue,wall,art,color,design,repeat,room,victorian,antique,stencil,trim,curlicue,decoration,green,history,ancient,antiquated,archetype,beautiful,colorful,coloring,cover,embellishment,graphic,historical,inside,old,outmoded,squiggle,trendy,twirl",https://image.shutterstock.com/image-vector/seamless-vector-damask-pattern-classic-600w-126376700.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/seamless-vector-damask-pattern-classic-600w-126376700.jpg', 'path': 'full/39d460e7705845dc5b108c02d14b9c16465abd95.jpg', 'checksum': '120d2bb1ae17abcb65952c631d7fa22c'}]"
