id,pageNum,searchTerm,type,contributer,description,keywords,image_urls,images
1028245762,1,seamless+pattern+botanical,illustration,lisima,Seamless pattern with spring flowers and leaves. Hand drawn background.  floral pattern for wallpaper or fabric. Flower rose. Botanic Tile.,"pattern,floral,flower,seamless,rose,wallpaper,watercolor,pink,background,print,vintage,texture,fabric,ornament,painting,design,abstract,spring,white,gray,tile,wall,textile,decorative,valentine,structure,art,blossom,branch,furniture,graphic,retro,card,leaf,panting,paper,template,artistic,bedclothes,floral background,hand drawn,illustration,invitation,pastel color,postcard,vintage style,wrapper,wrapping paper",https://image.shutterstock.com/image-illustration/seamless-pattern-spring-flowers-leaves-600w-1028245762.jpg,"[{'url': 'https://image.shutterstock.com/image-illustration/seamless-pattern-spring-flowers-leaves-600w-1028245762.jpg', 'path': 'full/3f65148f17566b2ad48a55056d2a4ea50b374b29.jpg', 'checksum': '8dacca4e974253d22037785a1df6d6d1'}]"
765759037,1,seamless+pattern+botanical,vector,woodhouse,"Seamless Pattern with Blooming Flowers and Flying Butterflies in Watercolor Style. Beauty in Nature. Background for Fabric, Textile, Print and Invitation. Vector illustration","flower,butterfly,pattern,spring,seamless,floral,summer,vector,watercolor,purple,background,design,card,cute,pink,print,illustration,ornament,texture,vintage,violet,colorful,decorative,elegance,fabric,garden,graphic,leaf,retro,romantic,beautiful,blooming,blossom,botanical,butterflies,cover,decoration,dogwood,drawing,elegant,fashion,flying,insect,natural,nature,paper,plant,pretty,textile,wallpaper",https://image.shutterstock.com/image-vector/seamless-pattern-blooming-flowers-flying-600w-765759037.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/seamless-pattern-blooming-flowers-flying-600w-765759037.jpg', 'path': 'full/1ddd5850b8727e7a227609dc2bb684aa16a04306.jpg', 'checksum': 'd63b523788554525c1d5936cbcc3b489'}]"
518568367,1,seamless+pattern+botanical,vector,Anastasiia+Stepanova,"Abstract blue background with foliage & spots. Oak leaves, birch, alder, beech, maple, aspen. The leaves of trees and shrubs. Seamless floral pattern. Watercolor effect. Transparency. Overlay. Overlap","pattern,seamless,abstract,floral,watercolor,texture,background,vector,leaf,foliage,print,blue,forest,maple,overlay,repeat,tree,fabric,black,garden,monochrome,random,wallpaper,wood,alder,beech,chaotic,complicated,aquarelle,aspen,backdrop,birch,botanical,continuity,editable,eps10,mixed,oak,plants,polygon,spots,template,transparent,undergrowth,wrapping",https://image.shutterstock.com/image-vector/abstract-blue-background-foliage-spots-600w-518568367.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/abstract-blue-background-foliage-spots-600w-518568367.jpg', 'path': 'full/e45f8733eca4a0639a9811ecf25afad1d81e77d4.jpg', 'checksum': '02865304c4ab4a424e55179472a29b3f'}]"
1075936367,1,seamless+pattern+botanical,vector,momosama,"Floral seamless pattern, split-leaf Philodendron and palm leaves on orange background, line art ink drawing","pattern,leaf,seamless,floral,line,outline,plant,foliage,print,stripe,vintage,palm,texture,pastel,background,collage,ink,retro,art,wallpaper,greenery,textile,backdrop,fabric,balazo,botanical,ceriman,decoration,drawing,fruit salad plant,fruit salad tree,garden,hand drawn,houseplant,illustration,mexican breadfruit,monster fruit,monstera deliciosa,monstereo,monsterio delicio,nature,penglai banana,philodendron,repeat,spring,swiss cheese plant,tropical,windowleaf",https://image.shutterstock.com/image-vector/floral-seamless-pattern-splitleaf-philodendron-600w-1075936367.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/floral-seamless-pattern-splitleaf-philodendron-600w-1075936367.jpg', 'path': 'full/0eff87fc67c965959fd223d43634c81c2169cd24.jpg', 'checksum': '3948dcdc4780540d796e05e358e8c289'}]"
1119470465,1,seamless+pattern+botanical,vector,MSNTY,"Beautiful garden blooming flower in many kind of floral seasonal seamless pattern vector ,hand drawing style for fashion, fabric and all prints in cute green mint background.","floral,pattern,seamless,repeat,garden,vector,print,illustration,vintage,abstract,small,ditsy,ornament,rose,summer,texture,drawing,pink,spring,background,cute,little,plant,retro,wallpaper,beautiful,beauty,bloom,blossom,botanical,color,decoration,elegance,fashion,flora,flowers,graphic,leaf,nature,style,sweet",https://image.shutterstock.com/image-vector/beautiful-garden-blooming-flower-many-600w-1119470465.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/beautiful-garden-blooming-flower-many-600w-1119470465.jpg', 'path': 'full/7df85eb1e4fb9f5b1ab00b12923d33def30ece2c.jpg', 'checksum': 'b13a8d6e0c96be518f1fdd1266ea605d'}]"
1838043025,1,seamless+pattern+botanical,illustration,JOY8046,"Seamless pattern of chrysanthemum, rose, peony and Blooming flowers with watercolor on pastel colors. Design for fabric luxurious and wallpaper, vintage style. Hand drawn floral pattern.Botany garden.","seamless,pattern,watercolor,floral,flower,peony,design,retro,spring,drawing,illustration,rose,tile,wallpaper,art,background,beautiful,bloom,blooming flowers,blossom,botanical,bouquet,branch,chrysanthemum,colorful,decoration,decorative,elegant,fabric,fashion,flora,garden,graphic,leaf,nature,painting,paper,pastel,pink,plant,print,romantic,summer,template,textile,texture,tropic,valentine,valentines,vintage",https://image.shutterstock.com/image-illustration/seamless-pattern-chrysanthemum-rose-peony-600w-1838043025.jpg,"[{'url': 'https://image.shutterstock.com/image-illustration/seamless-pattern-chrysanthemum-rose-peony-600w-1838043025.jpg', 'path': 'full/643c9a42be770cb5fe0cbfd37c6990aa22b34b18.jpg', 'checksum': '540c943190e89da551010584245679d4'}]"
1797954880,1,seamless+pattern+botanical,vector,ANA_KOTO,seamless textile trendy vector pattern with toucans on a branch in tropical nature in exotic with tropical leaves abstract painting,"jungle,seamless,pattern,tropical,foliage,vector,botanical,parrot,toucan,watercolor,beach,colorful,design,hawaii,party,texture,vintage,wild,animal,art,background,bird,collection,creative,decoration,decorative,drawing,exotic,fabric,fashion,floral,flower,garden,green,greenery,illustration,isolated,landscape,leaf,monstera,nature,palm,plant,print,spring,summer,textile,trendy,wallpaper",https://image.shutterstock.com/image-vector/seamless-textile-trendy-vector-pattern-600w-1797954880.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/seamless-textile-trendy-vector-pattern-600w-1797954880.jpg', 'path': 'full/7943093c1b1bce1155c5a6403fd53a1cb12f4edf.jpg', 'checksum': '30dfc4060f7b01a3609d24f025ae3c8e'}]"
1823016320,1,seamless+pattern+botanical,vector,MURRIRA,Modern minimalist abstract leaves illustration pattern. Creative collage contemporary seamless pattern. Fashionable template for design. Bohemian style. ,"pattern,abstract,seamless,geometric,tropical,vector,leaf,autumn,floral,aesthetic,background,garden,geometry,print,contemporary,illustration,jungle,minimal,modern,monstera,summer,art,artwork,backdrop,bohemian,botanical,collage,colorful,cover,creative,decor,decoration,decorative,design,element,exotic,fabric,fashion,flora,flower,nature,plant,shape,spring,style,template,textile,texture,trendy,wallpaper",https://image.shutterstock.com/image-vector/modern-minimalist-abstract-leaves-illustration-600w-1823016320.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/modern-minimalist-abstract-leaves-illustration-600w-1823016320.jpg', 'path': 'full/87ff7fb25221d71cf4352308a1b184d8a0889ed4.jpg', 'checksum': '5488a86f19e4efec632c112dcfdc6df4'}]"
562806100,1,seamless+pattern+botanical,vector,julia_blnk,Seamless pattern with banana and golden palm leaves in vector,"pattern,leaf,fashion,palm,gold,flower,vector,background,seamless,tree,golden,plant,wallpaper,summer,banana,abstract,print,design,beach,vintage,spring,graphic,hawaii,art,hawaiian,silhouette,exotic,retro,sunshine,california,green,aloha,textile,bright,miami,shirt,style,paradise,triangle,vacation,beautiful,botanical,illustration,luau,texture,tropical",https://image.shutterstock.com/image-vector/seamless-pattern-banana-golden-palm-600w-562806100.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/seamless-pattern-banana-golden-palm-600w-562806100.jpg', 'path': 'full/7b06dd54cf69cf54bf8f2d083ec29beead83ae04.jpg', 'checksum': '94886c61d360a4bc39df92c1e0b41499'}]"
1726554610,1,seamless+pattern+botanical,vector,ModernModel,Daisy flower seamless on blue background illustration. Pretty floral pattern for print. Flat design vector.,"daisy,flower,pattern,vector,seamless,cute,illustration,background,chamomile,spring,design,flat,floral,summer,wallpaper,white,meadow,print,texture,yellow,abstract,art,beautiful,beauty,bloom,blossom,blue,botanical,bouquet,decoration,decorative,fabric,flora,flower pattern,garden,graphic,hand drawn,isolated,leaf,natural,nature,ornament,paper,petal,plant,repeat,retro,style,textile,wrapping",https://image.shutterstock.com/image-vector/daisy-flower-seamless-on-blue-600w-1726554610.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/daisy-flower-seamless-on-blue-600w-1726554610.jpg', 'path': 'full/7c78f7e23739dd7576decfe7a5b21c8912d11a77.jpg', 'checksum': 'd451f599425b89b119263fd405a81be5'}]"
1542758171,1,seamless+pattern+botanical,vector,Nadezda+Grapes,"Floral seamless patterns. Vector design for paper, cover, fabric, interior decor and other users","pattern,floral,flower,spring,vector,modern,seamless,print,simple,wild,collection,brush,cute,retro,set,stroke,abstract,background,bloom,botanical,graphic,leaf,summer,calendula,design,vintage,art,artistic,field,grass,textile,texture,beautiful,blossom,botany,branches,chamomile,decoration,decorative,drawing,fabric,fashion,flora,garden,illustration,nature,paint,plant,stems,wallpaper",https://image.shutterstock.com/image-vector/floral-seamless-patterns-vector-design-600w-1542758171.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/floral-seamless-patterns-vector-design-600w-1542758171.jpg', 'path': 'full/9d34194be818821bef427ee2f3f2ecc7d9eb4d38.jpg', 'checksum': 'fb632ecba738e0315b5f1757418f9879'}]"
759771154,1,seamless+pattern+botanical,vector,Natallia+Novik,"Watercolor seamless pattern with tropical leaves: palms, monstera, passion fruit. Beautiful allover print with hand drawn exotic plants. Swimwear botanical design. Vector.","pattern,tropic,flower,watercolor,seamless,leaf,abstract,floral,print,palm,vector,banana,texture,jungle,foliage,background,bamboo,vintage,illustration,tree,art,painting,wallpaper,fashion,green,hawaiian,nature,textile,fabric,set,botany,element,exotic,garden,branch,beautiful,botanical,california,card,decoration,drawing,natural,paradise,plant,tropical",https://image.shutterstock.com/image-vector/watercolor-seamless-pattern-tropical-leaves-600w-759771154.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/watercolor-seamless-pattern-tropical-leaves-600w-759771154.jpg', 'path': 'full/5639465ebbb61e79e57bb8b3b1cf6e604bf6fb2d.jpg', 'checksum': '722aca9d0282b824ae801ef442b9ab6b'}]"
