id,pageNum,searchTerm,type,contributer,description,keywords,image_urls,images
571024864,1,seamless+pattern+elegant,vector,Afishka,Seamless pattern with image of a gold rose flowers on a white background. Vector illustration.,"pattern,flower,seamless,floral,vector,rose,gold,abstract,black,line,white,background,modern,elegant,metal,golden,sketch,art,texture,romantic,leaf,hand,outline,fabric,nature,wallpaper,decoration,drawn,textile,beautiful,shine,blossom,shape,card,garden,ornate,shiny,unusual,botanical,bud,decorative,drawing,element,illustration,metallic,natural,petal,plant,style",https://image.shutterstock.com/image-vector/seamless-pattern-image-gold-rose-600w-571024864.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/seamless-pattern-image-gold-rose-600w-571024864.jpg', 'path': 'full/ca2b0546718c686e114bf1c082f4cb1582b68512.jpg', 'checksum': '8ec4a1de7f16572641c83d560174d5c7'}]"
1096176635,1,seamless+pattern+elegant,vector,galuniki,"gold and pale rose abstract leaves seamless pattern for background, wrapping paper, fabric on blue checkered background. floral botalical endless repeatable motif for surface design. stock  illustrati","pattern,nature,abstract,seamless,luxury,motif,background,leaves,palm,vector,geometric,tropical,chic,geometry,design,elegant,floral,jungle,print,botanical,art,foliage,illustration,modern,plant,repeat,contour,fashion,glamor,textile,decoration,rain,surface,chaos,concept,element,exotic,fine,garden,line,lush,messy,metallic,natural,paradise,swatch,tripical,tropic,wrap,wrapping paper",https://image.shutterstock.com/image-vector/gold-pale-rose-abstract-leaves-600w-1096176635.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/gold-pale-rose-abstract-leaves-600w-1096176635.jpg', 'path': 'full/1a154f3ef967034c839329d3cc7320574385212c.jpg', 'checksum': '3775dbfbd86bc440aa062c7ee5499664'}]"
1575520306,1,seamless+pattern+elegant,vector,kishacha_maty,Elegant seamless pattern with green hand drawn line tropical leaves and flowers. Floral pattern. Vintage green background.,"pattern,tropic,line,plant,seamless,leaf,floral,outline,palm,silhouette,illustration,simple,tree,foliage,sketch,summer,vintage,abstract,black,branch,leaves,nature,ornament,rainforest,white,element,hawaii,vector,art,background,beach,beautiful,contour,decoration,design,drawing,exotic,fabric,fan palm,fashion,graphic,hipster,natural,pencil,print,retro,textile,texture,tropical,wallpaper",https://image.shutterstock.com/image-vector/elegant-seamless-pattern-green-hand-600w-1575520306.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/elegant-seamless-pattern-green-hand-600w-1575520306.jpg', 'path': 'full/7d51167461c96c2270e713c81b80504e6d286cd4.jpg', 'checksum': '039e4f2c5e4eb329517209df3a13aa5e'}]"
111493025,1,seamless+pattern+elegant,vector,bipsun,"Floral seamless pattern.Seamless pattern can be used for wallpaper, pattern fills, web page background,surface textures.","pattern,seamless,wallpaper,vector,swirl,background,abstract,design,leaf,branch,repeat,plant,modern,spring,fall,nature,texture,vintage,graphic,foliage,ornament,paper,silhouette,tree,orange,summer,autumn,illustration,round,set,retro,art,decor,fashion,garden,painting,scroll,style,tile,decoration,decorative,drawing,elegance,element,ornate,season,textile",https://image.shutterstock.com/image-vector/floral-seamless-patternseamless-pattern-can-600w-111493025.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/floral-seamless-patternseamless-pattern-can-600w-111493025.jpg', 'path': 'full/e42e4ce02b9c51fbdd1cfd804b47276f213d893d.jpg', 'checksum': '4afcae4a630aaaef7b6552f1c7d23f3f'}]"
1511440106,1,seamless+pattern+elegant,vector,NikaMooni,Geometric gold glitter flowers lattice seamless pattern.,"pattern,gold,seamless,background,flower,foil,winter,snowflake,elegant,geometric,poinsettia,print,bronze,fabric,holiday,pink,plant,shape,simple,vector,abstract,art,backdrop,beautiful,card,celebration,creative,decoration,design,element,floral,glitter,lattice,luxury,merry christmas,metallic,nature,new year,ornament,party,petal,rhombus,scrapbook,sparkle,star,textile,texture,tile,wallpaper,wrapping paper",https://image.shutterstock.com/image-vector/geometric-gold-glitter-flowers-lattice-600w-1511440106.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/geometric-gold-glitter-flowers-lattice-600w-1511440106.jpg', 'path': 'full/4bb9b661d2fd08461536b999769562cff9e6f72b.jpg', 'checksum': '6b1f715561d498bd7071c1948e276a0b'}]"
727151695,1,seamless+pattern+elegant,vector,Studio+Lulu,Trendy Seamless Floral Pattern in Vector,"pattern,floral,flower,seamless,vector,small,print,background,ditsy,pink,girl,little,cute,spring,wallpaper,abstract,fabric,fashion,garden,art,color,illustration,paper,summer,trendy,fresh,graphic,repeat,rose,beautiful,feminine,leaf,textile,trend,backdrop,beauty,bloom,blossom,decor,elegance,flora,leave,nature,ornament,painted,retro,style,texture,wrapping",https://image.shutterstock.com/image-vector/trendy-seamless-floral-pattern-vector-600w-727151695.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/trendy-seamless-floral-pattern-vector-600w-727151695.jpg', 'path': 'full/9ff7ec7dbf5a35a47eb05a7f67252476a25a0a3e.jpg', 'checksum': '3b0970aea72f729be1a1c5cdc247a8dc'}]"
124372213,1,seamless+pattern+elegant,vector,CurlyPat,Vector seamless pattern. Modern floral texture. Repeating abstract background with circles. Graphic stripes with diagonal direction,"pattern,seamless,vector,modern,background,circle,abstract,floral,flower,graphic,bead,flourish,ornament,fabric,repeat,black,fashion,nature,print,fine,art,beauty,design,trendy,element,textile,tile,creative,paper,decor,plant,repetition,ornate,simplicity,wallpaper,image,style,beading,beautiful,chaplet,concepts,continuity,decoration,dots,drawing,elegance,painted,texture,textured,wrapping",https://image.shutterstock.com/image-vector/vector-seamless-pattern-modern-floral-600w-124372213.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/vector-seamless-pattern-modern-floral-600w-124372213.jpg', 'path': 'full/fb8dd28772321ea0c7353e4d958f9a240cc17211.jpg', 'checksum': 'd976bc4be318ab0ccfdc155a28cc70aa'}]"
134071259,1,seamless+pattern+elegant,vector,arturaliev,Seamless pattern in islamic style. Vector background,"pattern,seamless,geometric,vector,arab,islam,background,oriental,ornament,tile,classic,white,mosaic,abstract,motif,muslim,style,religious,design,ramadan,grey,symbol,decoration,asia,art,delicate,illustration,star,culture,monochrome,arabic,arabic pattern,black and white,classical,cultural,decorative,eastern pattern,elegant,element,islamic,islamic design,lace pattern,monochromatic,openwork,ornamental,repeats,repetitive,shapes,traditional",https://image.shutterstock.com/image-vector/seamless-pattern-islamic-style-vector-600w-134071259.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/seamless-pattern-islamic-style-vector-600w-134071259.jpg', 'path': 'full/b404dd966bd36495170fc50442a47e087acacdc9.jpg', 'checksum': 'f9b5e250550e179bf6e272a41cc6df89'}]"
160009514,1,seamless+pattern+elegant,vector,GarryKillian,"Vector damask seamless pattern background. Elegant luxury texture for wallpapers, backgrounds and page fill.","pattern,seamless,damask,vintage,wallpaper,vector,luxury,floral,royal,ornate,victorian,baroque,ornament,flower,background,carpet,antique,wall,design,retro,decorative,paper,old,textile,nostalgia,silk,style,art,leaf,swirl,backdrop,curve,element,illustration,template,vertical,classical,decor,elegance,flora,foliate,ornamental,plants,repetition,textured,vignette,wealth",https://image.shutterstock.com/image-vector/vector-damask-seamless-pattern-background-600w-160009514.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/vector-damask-seamless-pattern-background-600w-160009514.jpg', 'path': 'full/e9e898458d4d9aff21fe1957f138174c8952a6f3.jpg', 'checksum': '3cc8fee84fd175e2fe43c4aee6813cd1'}]"
388795519,1,seamless+pattern+elegant,vector,Artnis,"Abstract hand drawn geometric seamless pattern  or background with glitter, sharpen textures, brush painted elements. Poster, card, textile, wallpaper template. Gold, pink, black and white colors. ","pattern,geometric,background,seamless,gold,abstract,vector,wallpaper,trendy,triangle,hand,color,drawn,glitter,paint,print,texture,cool,retro,modern,trend,pastel,card,design,brush,golden,vintage,confetti,element,decor,elegant,poster,fabric,printable,tile,creative,greeting,stylish,backdrop,style,template,decoration,decorative,dots,hand-drawn,illustration,repeating,sharp,textile,textured",https://image.shutterstock.com/image-vector/abstract-hand-drawn-geometric-seamless-600w-388795519.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/abstract-hand-drawn-geometric-seamless-600w-388795519.jpg', 'path': 'full/6345bf82345f0c1e2f1b598ee9d1d567a15bcc44.jpg', 'checksum': '37b89a196b9aebe507cc42ddc6a322f5'}]"
