id,pageNum,searchTerm,type,contributer,description,keywords,image_urls,images
437565355,1,seamless+pattern+boho,vector,yulianas,Seamless pattern Tribal Art Ikat Ogee in traditional classic blue and white colors. Boho style.,"pattern,boho,ikat,tribal,fabric,texture,aztec,blue,geometric,winter,ethnic,fall,home,navajo,print,summer,abstract,background,design,ogee,wedding,accessory,autumn,case,decor,elegant,old,spring,style,template,arabic,backdrop,birthday,card,curtains,fashion,indian,invitation,paper,phone,pillow,retro,scrapbooking,textile,traditional,wallpaper,wrapping,zag,zig",https://image.shutterstock.com/image-vector/seamless-pattern-tribal-art-ikat-600w-437565355.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/seamless-pattern-tribal-art-ikat-600w-437565355.jpg', 'path': 'full/85909091b395f17f58862f8614f4c6ee6c591df7.jpg', 'checksum': '1769116bd9c23d2582cc57e96ad722c9'}]"
450842446,1,seamless+pattern+boho,vector,bosotochka,"Tribal hand drawn background, ethnic pattern set. Boho seamless texture. Ethnic background with shape elements. Wallpaper for pattern fills, web page","pattern,cute,scandinavian,set,seamless,geometric,vector,feather,background,collection,graphic,rustic,fashion,card,motif,ethnic,triangle,arrow,wallpaper,pastel,summer,tribe,hand,shape,tribal,decor,drawn,navajo,postcard,doodle,hippie,brush,indian,style,african,trendy,american,ethno,ornament,aztec,folk,gentle,mexican,sign,native,peru,invitation,lines,repetition,stripes",https://image.shutterstock.com/image-vector/tribal-hand-drawn-background-ethnic-600w-450842446.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/tribal-hand-drawn-background-ethnic-600w-450842446.jpg', 'path': 'full/557c1c9b689b2a20264448d4881857fc7bd381b6.jpg', 'checksum': '7c1dcad06e153b5db9902599fcdedce0'}]"
632920205,1,seamless+pattern+boho,vector,galuniki," Rice seamless pattern for background, fabric, wrapping paper. Concept simple rice grain pattern on light background. print and web design with traditional wealth and happiness symbol","pattern,rice,boho,background,food,texture,seed,sushi,japanese,motif,seamless,simple,grain,grass,geometric,tribal,chinese,wallpaper,asian,paper,decor,folk,light,white,canvas,repeat,wave,concept,textile,tile,wedding,asia,ethnic,fabric,grunge,symbol,woven,abundance,backdrop,decoration,decorative,native,ornament,print,swatch,tracery,traditional,trendy",https://image.shutterstock.com/image-vector/rice-seamless-pattern-background-fabric-600w-632920205.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/rice-seamless-pattern-background-fabric-600w-632920205.jpg', 'path': 'full/111e5a4bb5ee570197e9dd9648da74f467aa32d9.jpg', 'checksum': '1283f94b94245cc38d75a53785ee4b67'}]"
1034351542,1,seamless+pattern+boho,vector,oking,"Ikat geometric folklore ornament. Tribal ethnic vector texture. Seamless striped  pattern in Aztec style. Figure tribal  embroidery. Indian, Scandinavian, Gypsy, Mexican, folk pattern. ","pattern,ethnic,boho,seamless,vector,indian,mexico,texture,aztec,folk,geo,geometric,decoration,indonesia,ikat,background,batik,design,geometry,tribal,african,patchwork,traditional,vintage,cute,motif,chevron,hipster,line,repeat,american,diagonal,gypsy,jacquard,south,stitch,textile,zigzag,decorative,endless,folklore pattern,native,navajo,peru,scandinavian embroidery,slavic,stripes,triangle,zag,zig",https://image.shutterstock.com/image-vector/ikat-geometric-folklore-ornament-tribal-600w-1034351542.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/ikat-geometric-folklore-ornament-tribal-600w-1034351542.jpg', 'path': 'full/9b5b988e0d53c9765910eb1badad7367c7d0094c.jpg', 'checksum': 'd4b58b4e901069d54e6acdc311626604'}]"
1334192357,1,seamless+pattern+boho,vector,yulianas,Sea turtle in psychedelic multicolor colors with lotuses and mandala in the style of boho - seamless pattern,"seamless,pattern,turtle,psychedelic,mandala,tattoo,vector,tribal,abstract,animal,floral,flower,ink,mehndi,tortoise,totem,trendy,vintage,art,artistic,background,book,coloring,cover,curve,decoration,decorative,design,drawing,element,folk,graphic,illustration,india,lotus,modern,motif,multicolor,ornament,ornamental,postcard,scroll,shape,style,symbol,tatoo,template,traditional,vinyl,wallpaper",https://image.shutterstock.com/image-vector/sea-turtle-psychedelic-multicolor-colors-600w-1334192357.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/sea-turtle-psychedelic-multicolor-colors-600w-1334192357.jpg', 'path': 'full/1c5d6d4ddd92f914069039550c02bf5b4719e4db.jpg', 'checksum': 'e1d2b483389ec9bb5b1e098b21c81217'}]"
307170551,1,seamless+pattern+boho,vector,Nataleana,"Ethnic boho seamless pattern. Tribal art print. Colorful border background texture. Fabric, cloth design, wallpaper, wrapping","pattern,ethnic,boho,seamless,border,print,art,indian,tribal,vector,texture,african,design,floral,flower,ornament,arabic,fabric,batik,rug,bohemian,chevron,ethno,abstract,drawn,graphic,hand,patchwork,background,persian,rustic,aztec,handdrawn,wallpaper,east,peru,peruvian,wall,fiesta,folk,mexican,sewing,american,clothing,color,colorful,craft,dots,illustration,lines,repeatable,stitch,stripes,waves",https://image.shutterstock.com/image-vector/ethnic-boho-seamless-pattern-tribal-600w-307170551.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/ethnic-boho-seamless-pattern-tribal-600w-307170551.jpg', 'path': 'full/372a79dbd5ed07f61c0a64c09edaa893e5b800bc.jpg', 'checksum': 'afd1565fa4dd89f0fbdc1eef796169a0'}]"
1115923313,1,seamless+pattern+boho,vector,oking,"Talavera pattern.  Azulejos portugal. Turkish ornament. Moroccan tile mosaic. Spanish porcelain. Ceramic tableware, folk print. Spanish pottery. Ethnic background. Mediterranean seamless  wallpaper.","seamless,damask,flower,design,floral,watercolor,boho,geometric,print,vintage,ceramic,blue,arabesque,motif,texture,portugal,majolica,mexico,mosaic,leaf,pottery,modern,navajo,square,white,barcelona,oriental,american,cute,islamic,peru,talavera,arab,baroque,chinese wallpaper,dutch tiles,ethnic background,folklore frame,geometrical,indian art,indian patchwork,japanese pattern,moroccan tile,portuguese azulejo,south,spanish porcelain,texture border,tunisian,turkish embroidery,vector ornament",https://image.shutterstock.com/image-vector/talavera-pattern-azulejos-portugal-turkish-600w-1115923313.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/talavera-pattern-azulejos-portugal-turkish-600w-1115923313.jpg', 'path': 'full/f7c0eea48260c71137b8780cae141324cc16d93a.jpg', 'checksum': '311fe01689fe77c2ef9c600d63cd196f'}]"
1067168501,1,seamless+pattern+boho,vector,Hanna+Kh,"Beautiful seamless vector tropical pattern with koi fish, anchor, corals. Abstract geometric texture, stripes. Perfect for wallpapers, web page backgrounds, surface textures, textile.","pattern,seamless,sea,wallpaper,floral,beach,japanese,tropical,vector,anchor,coral,fashion,flower,vintage,abstract,watercolor,illustration,summer,animal,boho,art,background,carp,japan,jungle,red,spring,aloha,botanical,foliage,invitation,party,branch,california,card,colorful,design,diving,drawing,fishing,hawaii,koi fish,leaf,miami,ornament,paradise,reef,romantic,surfing,wedding",https://image.shutterstock.com/image-vector/beautiful-seamless-vector-tropical-pattern-600w-1067168501.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/beautiful-seamless-vector-tropical-pattern-600w-1067168501.jpg', 'path': 'full/bf3cc1fb950bc2dc5d633c8d6cf71dec6dffe909.jpg', 'checksum': '98500e53701d4b6e70904abe2db80099'}]"
421975279,1,seamless+pattern+boho,vector,Olga+Rom,"Vector seamless pattern with hand drawn gold glitter textured brush strokes and stripes hand painted. Black, gold, pink, green, brown colors.","pattern,geometric,gold,stripe,glitter,color,fabric,seamless,background,watercolor,abstract,vector,brush,retro,stroke,pink,foil,line,modern,contemporary,hand,paint,plaid,print,boho,cross,fashion,tartan,geometry,golden,white,drawn,graffiti,grunge,bohemian,green,1950s,bold,bright,diagonal,hipster,1960s,grungy,hatch,mark,shapes,stipple,striped,style,textile,wrap",https://image.shutterstock.com/image-vector/vector-seamless-pattern-hand-drawn-600w-421975279.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/vector-seamless-pattern-hand-drawn-600w-421975279.jpg', 'path': 'full/614dfa27450bfef0d358131cc65d7181c57df727.jpg', 'checksum': '93b381e38034ec7328509ccc340e0dbb'}]"
421975582,1,seamless+pattern+boho,vector,Olga+Rom,"Vector seamless pattern with hand drawn gold glitter textured brush strokes and stripes hand painted. Black, gold, pink, green, brown colors.","pattern,geometric,stripe,watercolor,background,seamless,paint,vector,gold,boho,brush,color,pink,hand,line,abstract,glitter,fabric,fashion,bohemian,grunge,white,geometry,green,mark,stroke,hipster,print,shape,drawn,textile,bold,cross,plaid,retro,graffiti,style,tartan,golden,bright,diagonal,hatch,stipple,1960s,contemporary,1950s,horizontal,wrap,grungy,striped,stripes",https://image.shutterstock.com/image-vector/vector-seamless-pattern-hand-drawn-600w-421975582.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/vector-seamless-pattern-hand-drawn-600w-421975582.jpg', 'path': 'full/72b468e2f256d1461f245cbc565fe749d78b8bc1.jpg', 'checksum': '02402956446b6b5ec8bd3171fb57e10b'}]"
640343557,1,seamless+pattern+boho,vector,varka,"Native American Indian talisman dreamcatcher with feathers, moon over black background. Seamless pattern. Vector illustration. Ethnic design, boho chic, tribal symbol. Good fabric, textile, wallpaper","seamless,pattern,dreamcatcher,tribal,background,dream,catcher,feather,magic,vector,ethnic,indian,illustration,native,vintage,american,bohemian,design,hippie,pink,print,style,art,aztec,bird,black,drawn,fashion,hand,hipster,sleep,texture,card,circle,culture,decoration,decorative,doodle,drawing,gradient,graphic,love,ornament,poster,retro,romantic,sign,symbol,textile,traditional",https://image.shutterstock.com/image-vector/native-american-indian-talisman-dreamcatcher-600w-640343557.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/native-american-indian-talisman-dreamcatcher-600w-640343557.jpg', 'path': 'full/4a2118567bb15ace18be5bb578e19c2e64655c66.jpg', 'checksum': '66e57d892c17953ef32994c021bdbaa5'}]"
