id,pageNum,searchTerm,type,contributer,description,keywords,image_urls,images
1613277286,1,seamless+pattern+traditional,vector,tashsat,seamless  abstract grey floral   background with leaves,"pattern,leaves,seamless,vector,abstract,texture,line,background,wallpaper,vintage,decor,feminine,floral,embroidery,design,fashion,textile,wave,lace,love,ornament,antique,frame,paper,birthday,crochet,deco,handmade,holiday,illustration,invitation,linen,sewing,white,celebration,crafts,decoration,doily,elegance,elements,flakes,hobby,needlework,openwork,ornamental,ornate,retro,traditional,victorian,wedding",https://image.shutterstock.com/image-vector/seamless-abstract-grey-floral-background-600w-1613277286.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/seamless-abstract-grey-floral-background-600w-1613277286.jpg', 'path': 'full/6d72cb9dfd41e0f368a53c9b6acb716cf3e86772.jpg', 'checksum': '450a64e5bf4a2ee2f2349de394067400'}]"
726091312,1,seamless+pattern+traditional,vector,Rodin+Anton,Big set of 24 vector ornamental seamless patterns. Collection of geometric patterns in the oriental style. Patterns added to the swatch panel.,"pattern,ornament,islam,arabesque,geometric,oriental,vector,background,seamless,texture,gold,set,ramadan,elegant,floral,luxury,modern,muslim,arab,moroccan,element,decor,fabric,asian,design,ethnic,art,turkish,wallpaper,arabian,graphic,beige,line,style,retro,textile,traditional,paper,white,vintage,abstract,illustration,wrapping,eastern,tracery,arabic,decoration,islamic,ornamental,tile",https://image.shutterstock.com/image-vector/big-set-24-vector-ornamental-600w-726091312.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/big-set-24-vector-ornamental-600w-726091312.jpg', 'path': 'full/d7d3dfafdeb2e0255cb40289c8f5fee318b8ff54.jpg', 'checksum': 'd9c7700d603ade988be7f23cced0e60a'}]"
165568952,1,seamless+pattern+traditional,vector,Cartone+Animato,seamless pattern ,"pattern,seamless,line,geometric,abstract,vector,texture,stripe,structure,design,background,cross,repeat,traditional,network,shape,fabric,hand,creative,drawn,ornament,overlay,wallpaper,artistic,curves,decor,decoration,element,graphic,imposition,intersection,ornamental,ornate,packaging,plexus,print,repetition,structured,style,superposition,textile,tile,tracery,traversal,wattled,weave",https://image.shutterstock.com/image-vector/seamless-pattern-600w-165568952.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/seamless-pattern-600w-165568952.jpg', 'path': 'full/3abb52c82c7eb68a179bab8a8c35f0002a285ad1.jpg', 'checksum': '9b73c6acc2bd0d4105d11f87709cd43f'}]"
1793091946,1,seamless+pattern+traditional,vector,ZillaDigital,"Plaid pattern in blue and yellow. Tartan woven pixel texture for skirt, blanket, throw, duvet cover, or other modern autumn winter textile print.","pattern,seamless,plaid,fabric,texture,diagonal,duvet,modern,abstract,autumn,backdrop,background,blanket,blue,check,checkered,clothing,cotton,cover,design,dress,fashion,flannel,graphic,jacket,print,scotland,scottish,shirt,skirt,tartan,textile,textured,throw,traditional,vector,winter,wool,yellow",https://image.shutterstock.com/image-vector/plaid-pattern-blue-yellow-tartan-600w-1793091946.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/plaid-pattern-blue-yellow-tartan-600w-1793091946.jpg', 'path': 'full/4d8a38d0425c7c0e7e7819ed65f6e9ec969e8ebb.jpg', 'checksum': 'aac9bc465268052568162fab0790a6d3'}]"
509261530,1,seamless+pattern+traditional,vector,Chernushka,Tribal seamless colorful geometric pattern. Ethnic vector texture.Traditional ornament.,"pattern,aztec,mexican,seamless,ethnic,native,american,vector,indian,tribal,texture,geometric,hipster,mexico,fabric,zigzag,peruvian,rug,navajo,art,background,maya,culture,design,indigenous,tribe,abstract,peru,apache,motif,modern,textile,fashion,illustration,pagan,traditional,decoration,element,ornament,primitive,trendy,wallpaper,backdrop,colorful,decor,graphic,national,paper,repeating,rhombus",https://image.shutterstock.com/image-vector/tribal-seamless-colorful-geometric-pattern-600w-509261530.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/tribal-seamless-colorful-geometric-pattern-600w-509261530.jpg', 'path': 'full/13dc0303e8cd1fa35a91ac8cd397d782fd8f5ef2.jpg', 'checksum': '096a6c594ef58588026839f640c23e73'}]"
124370296,1,seamless+pattern+traditional,vector,CurlyPat,Seamless pattern. Floral stylish background. Vector repeating texture,"pattern,floral,seamless,vector,line,modern,background,graphic,vintage,texture,fashion,leaf,wallpaper,fabric,art,plant,textile,beauty,black,repeat,design,flourish,ornament,trendy,print,creative,linear,ornate,delicate,decoration,tile,repetition,smooth,style,weave,web,tracery,decor,drawing,elegance,element,floral pattern,flowers,graphical,natural,painted,petals,seamless pattern,textured,traditional",https://image.shutterstock.com/image-vector/seamless-pattern-floral-stylish-background-600w-124370296.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/seamless-pattern-floral-stylish-background-600w-124370296.jpg', 'path': 'full/90913af341f2fd81e5f87f70ba74fc871dbb103b.jpg', 'checksum': 'f3dd2a32155271ac4e75945bf3fbf483'}]"
1032314230,1,seamless+pattern+traditional,vector,akilev,"Oriental floral vintage ornament. Simple geometric all over design. Gold lineal flowers indigo blue decorative chinoiserie motif. Print block for interior textile, wallpaper, fabric cloth, phone case.","korea,vietnam,korean,singapore,taiwan,myanmar,china,lebanese,coastal,cambodia,pakistani,thai,mooncake,japan,laos,madhubani,sarong,arabesque background,bangladesh,boho print,burma,ceramic,chinese window,damask lattice,ditsy,golden blue tile,indian painting,indonesian,japanese kimono,java indonesia,kawung,lotus line,malaysian batik,mid autumn festival,mini medallion,minimal pattern,moon cake,moroccan trellis,philippines,porcelain,seamless geo surface,seventies fashion,sherwani,small square rapport,sri lanka,tenugui allover print,traditional art,vector graphic arabian arch,wood cut stamp,woodblock type",https://image.shutterstock.com/image-vector/oriental-floral-vintage-ornament-simple-600w-1032314230.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/oriental-floral-vintage-ornament-simple-600w-1032314230.jpg', 'path': 'full/f5eee6bc9d3b97f936311036c6ece0b581028e34.jpg', 'checksum': '31447c7974babfa59ac6717891d23fee'}]"
1801860700,1,seamless+pattern+traditional,vector,marukopum,Abstract seamless background with watercolor texture vector. Peony flower flower with brush stroke illustration in vintage style. Pastel colorful concept.,"watercolor,flower,pattern,abstract,seamless,art,background,vector,print,texture,vintage,floral,japan,paint,decorative,design,flyer,grunge,illustration,layout,poster,abstract arts background,art landscape,artistic,asian style,backdrop,banner,brush stroke texture,chinese,color,creative,elegance,element,fall,fluid,graphic,japanese pattern,liquid,modern,nature,new year cards material,ornament,retro,shape,template,textured,traditional,wallpaper,wave",https://image.shutterstock.com/image-vector/abstract-seamless-background-watercolor-texture-600w-1801860700.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/abstract-seamless-background-watercolor-texture-600w-1801860700.jpg', 'path': 'full/94c5d10fe810e4a03834758a82b14ae6b4564a47.jpg', 'checksum': '33915f69bcecb0a796300fe2fab6ddd2'}]"
520817146,1,seamless+pattern+traditional,vector,alexlanda,Abstract Dot Pattern.,"pattern,geometric,dot,circle,seamless,vector,modern,simple,background,texture,abstract,black,art,white,graphic,design,ethnic,line,stripe,monochrome,repetition,fabric,textile,print,trend,triangle,decor,illusion,illustration,vintage,distortion,ornament,wallpaper,banner,decoration,decorative,elegance,geometrical,retro,stripped,style,tiling,tradition",https://image.shutterstock.com/image-vector/abstract-dot-pattern-600w-520817146.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/abstract-dot-pattern-600w-520817146.jpg', 'path': 'full/6ee0c96195f45cfd489a347018c475a5fbb6f2ce.jpg', 'checksum': '00dfb20032d01f52cb7bab3cd5491b0b'}]"
458974003,1,seamless+pattern+traditional,vector,RODINA+OLENA,Abstract pattern in Arabian style. Seamless vector background. Gold and white texture. Graphic modern pattern.,"pattern,geometric,damask,vector,background,seamless,ornament,islam,moroccan,arabian,antique,royal,arab,gold,texture,oriental,wallpaper,arabesque,design,abstract,geometry,wall,art,silver,style,deco,fabric,white,tile,graphic,repeat,mosaic,cover,backdrop,monochrome,silk,abstraction,arabic,artistic,decor,decoration,element,islamic,surface,symmetry,textured,traditional,unusual,wrapping",https://image.shutterstock.com/image-vector/abstract-pattern-arabian-style-seamless-600w-458974003.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/abstract-pattern-arabian-style-seamless-600w-458974003.jpg', 'path': 'full/b3a89deee22386c76f709850ca505af5a1e48fe0.jpg', 'checksum': '8ced0c53d6b5216cbfc2c2d1f06f7a0f'}]"
