id,pageNum,searchTerm,type,contributer,description,keywords,image_urls,images
606477302,1,seamless+pattern+chevron,vector,Akrain,Abstract seamless pattern of a plurality of triangles and stripes. Textured background.,"seamless,texture,abstract,geometric,blue,fabric,grunge,print,zigzag,chevron,drawing,illustration,vector,wallpaper,yellow,art,background,brush,decor,decoration,design,fashion,graphic,hipster,modern,mosaic,ornament,psychedelic,retro,style,textile,tile,wrapping",https://image.shutterstock.com/image-vector/abstract-seamless-pattern-plurality-triangles-600w-606477302.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/abstract-seamless-pattern-plurality-triangles-600w-606477302.jpg', 'path': 'full/341ec37073afa6a921b61d01325bbf09edf37bc9.jpg', 'checksum': 'd05e31aa8ded2db2eedd5517f827795f'}]"
567427987,1,seamless+pattern+chevron,vector,ANNA_KOVA,Light grey seamless pattern background. Vector illustration for elegant design. Abstract geometric frame. Stylish decorative label set. Fashion universal background.,"pattern,background,texture,vector,seamless,vintage,design,classic,line,frame,geometric,retro,package,light,abstract,wallpaper,modern,border,fabric,graphic,gray,box,fashion,shape,decor,repeat,illustration,white,business,cover,chevron,collection,element,ornament,template,paper,style,interior,perfume,diamond,backdrop,beautiful,decoration,decorative,diagonal,elegant,grid,stripe,tile,zig zag",https://image.shutterstock.com/image-vector/light-grey-seamless-pattern-background-600w-567427987.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/light-grey-seamless-pattern-background-600w-567427987.jpg', 'path': 'full/03bb3f6afdd552d3ddfa3cd5e17e262f8230fef1.jpg', 'checksum': '6983db7bf9d7be138dacc96640497576'}]"
358888538,1,seamless+pattern+chevron,illustration,IraChe,Watercolor chevron rainbow colors. Seamless pattern for fabric,"watercolor,stripe,geometric,pattern,rainbow,seamless,watercolour,chevron,abstract,background,color,illustration,shape,water,celebration,brush,light,paint,yellow,blue,design,drawing,green,hand,pink,bright,colorful,colour,decor,decoration,fabric,graphic,hue,life,orange,paper,peace,red,stain,texture,textured,tint,tone,triangular,wallpaper,white,zag,zig,zigzag",https://image.shutterstock.com/image-illustration/watercolor-chevron-rainbow-colors-seamless-600w-358888538.jpg,"[{'url': 'https://image.shutterstock.com/image-illustration/watercolor-chevron-rainbow-colors-seamless-600w-358888538.jpg', 'path': 'full/401364260f9c8a52fe82eed00e3213bdca26261f.jpg', 'checksum': '681c5a707d70ef19698b87d84e62452c'}]"
532199482,1,seamless+pattern+chevron,vector,cepera,Abstract irregular herringbone textured background. Seamless pattern.,"texture,fabric,seamless,pattern,vector,cloth,background,tile,print,material,abstract,black,vintage,chevron,design,white,elegant,graphic,square,illustration,monochrome,natural,retro,zigzag,classic,decor,noisy,backdrop,cover,fashion,refined,strokes,surface,creative,decoration,decorative,herringbone,ornate,stamp,striped,template,textile,textured,timeless,versatile",https://image.shutterstock.com/image-vector/abstract-irregular-herringbone-textured-background-600w-532199482.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/abstract-irregular-herringbone-textured-background-600w-532199482.jpg', 'path': 'full/cc66620bad50f2ea6a2841f29a1cf0b3fed67b68.jpg', 'checksum': '7a04689d5c056ea27e341f6047d54629'}]"
1876520539,1,seamless+pattern+chevron,vector,oking,"Ikat geometric folklore ornament with diamonds. Tribal ethnic vector texture. Seamless striped pattern in Aztec style. Folk embroidery. Indian, Scandinavian, Gypsy, Mexican, African rug. ","abstract,african,gypsy,indian,seamless,stripes,swimwear,art,asia,asian design,aztec,background,batik,bohemian,boho,border,brush,carpet,chevron,creative,diamonds,dye,embroidery,ethnic nativity,fabric,fashion,geo,geometric,ikat pattern,indonesian,japanese,mexican,organic,paint,patchwork,print,rug,scandinavian,shibori,squares,texture,tibetan,tie,tribal,vector,watercolor,watercolour,wave,woven",https://image.shutterstock.com/image-vector/ikat-geometric-folklore-ornament-diamonds-600w-1876520539.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/ikat-geometric-folklore-ornament-diamonds-600w-1876520539.jpg', 'path': 'full/f7b46bae0b7a851942219f15e7477a1dfa888454.jpg', 'checksum': '24a064e96854bc53d6700c7f75ef9d31'}]"
1878021373,1,seamless+pattern+chevron,vector,ihavexidea,"Scribble pattern design. Abstract 3 color seamless pattern with diagonal  lines.Good for fashion design, fabric, textile, packaging and finishing.","pattern,seamless,abstract,africa,animal,black,camouflage,chevron,creative,decorating,decorative,design,doodles,drawing,exotic,fabric,fashion,fur,grunge,hatching,illustration,ink,jungle,leopard,monochrome,natural,nature,paintbrush,painter,poster,repeat,reptile texture,retro,safari,scrawl,scribble,skin,stroke,surface,t shirt,textile,texture,tiger,tile,trendy,white,wild,wildlife,zebra",https://image.shutterstock.com/image-vector/scribble-pattern-design-abstract-3-600w-1878021373.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/scribble-pattern-design-abstract-3-600w-1878021373.jpg', 'path': 'full/832116fdd66fd8ab9bd5efbcdfd9f78333844a2f.jpg', 'checksum': '33bdd1c9c8313bfda86ac69542306ee4'}]"
167319050,1,seamless+pattern+chevron,vector,Baksiabat,Herringbone fabric seamless pattern. Vector illustration.,"pattern,seamless,abstract,chevron,geometric,pink,vector,zigzag,background,stamp,white,bright,fashion,grunge,illusion,print,retro,texture,tweed,apparel,art,backdrop,classic,cloth,clothes,clothing,cotton,decor,decoration,design,diagonal,fabric,female,frame,graphic,illustration,natural,ornament,paper,repeat,simple,stripes,style,textile,tile,traditional,vintage,wallpaper,weave",https://image.shutterstock.com/image-vector/herringbone-fabric-seamless-pattern-vector-600w-167319050.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/herringbone-fabric-seamless-pattern-vector-600w-167319050.jpg', 'path': 'full/57dd6f1674e773e03d12370003ccb35e89ebf89e.jpg', 'checksum': '35bdf22c97994d2eba88bdfdaaaa233d'}]"
1823845250,1,seamless+pattern+chevron,vector,kidstudio852,"Vector set of four teal, aqua and yellow chevron seamless patterns. Repeated braid & scallop backgrounds
","pattern,seamless,yellow,green,retro,simple,abstract,aqua,backdrop,background,braid,chevron,cloth,colorful,cover,creative,cushion,decoration,decorative,elegant,element,fabric,fashion,furniture,geometric,graphic,herringbone,illustration,interior,lines,modern,ornament,paper,patterns,print,repeated,scallop,set,stripe,striped,teal,textile,texture,trendy,vector,wallpaper,wave,wavy,zig zag,zigzag",https://image.shutterstock.com/image-vector/vector-set-four-teal-aqua-600w-1823845250.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/vector-set-four-teal-aqua-600w-1823845250.jpg', 'path': 'full/229baa313a2c8b6dca93be4baca1323fb4444049.jpg', 'checksum': '41eb9e590a91bc9c4091d971da7e77a7'}]"
1863640102,1,seamless+pattern+chevron,illustration,Creativeway,"Geometric damask seamless pattern with grunge texture
","pattern,seamless,damask,grunge,texture,vintage,floral,geometric,ikat,abstract,american,art,autumn,aztec,background,batik,block,chevron,circle,classic,colorful,creative,cushion,decor,design,diamond,distressed,dots,ethnic,fall,fashion,glitter,glossy,graphic,lines,metallic,ombre,ornamental,paint,print,repeat,rugs,spring,square,stylish,textile,triangles,turkish,watercolor,winter",https://image.shutterstock.com/image-illustration/geometric-damask-seamless-pattern-grunge-600w-1863640102.jpg,"[{'url': 'https://image.shutterstock.com/image-illustration/geometric-damask-seamless-pattern-grunge-600w-1863640102.jpg', 'path': 'full/3f7eaa3941c0dbadcc7945e30320044612218975.jpg', 'checksum': '1ece5cfc99b55a9e08e32f71f7456d8e'}]"
753387211,1,seamless+pattern+chevron,vector,DDOK,Seamless pattern with geometric Christmas trees. Winter holidays collection. Merry Christmas and Happy New year. Abstract textured background design. Modern elegant wallpaper. Vector illustration.,"ethnic,xmas,rustic,tree,modern,winter,christmas,design,elegant,print,retro,background,geometric,simple,texture,triangle,vector,vintage,angle,beige,chevron,classic,cloth,collection,cute,decoration,decorative,delicate,diagonal,fabric,gift,greeting card,holidays,illustration,line,lozenge,merry,new year,ornament,party,plaid,rhombus,seamless pattern,style,textile,traditional,trendy,wallpaper,white,wrapping paper",https://image.shutterstock.com/image-vector/seamless-pattern-geometric-christmas-trees-600w-753387211.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/seamless-pattern-geometric-christmas-trees-600w-753387211.jpg', 'path': 'full/9efc883590b741f9187010002619e40b33ecd7c5.jpg', 'checksum': 'bacfebab3a1cddf3e30d4b77243fb9eb'}]"
553146340,1,seamless+pattern+chevron,vector,CurlyPat,Vector seamless pattern with chevron. Modern geometric texture. Repeating abstract background. Polygonal grid with bold striped elements.,"pattern,geometric,hexagon,modern,vector,repeat,graphic,seamless,background,abstract,frame,chevron,black,line,triangular,stripe,flat,contemporary,design,element,linen,ornament,carpet,decoration,ornate,print,tile,array,blend,concentric,creative,fabric,fine,linear,subtle,swatch,twist,continuous,cover,curve,decorative,package,rotated,striped,tangled,texture,tileable,tracery,wallpaper,wrapping",https://image.shutterstock.com/image-vector/vector-seamless-pattern-chevron-modern-600w-553146340.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/vector-seamless-pattern-chevron-modern-600w-553146340.jpg', 'path': 'full/4e92fdd6dcb2c28fc2e138c02cbd014df490b357.jpg', 'checksum': '0f7f7a6d7a176407d9b1bf87d78ed7c5'}]"
788357278,1,seamless+pattern+chevron,vector,aunaauna,Herringbone seamless pattern for home decor ideas. Fashion ikat chevron wallpaper. Pillow textile decoration. Tribal vector background. Black and white graphic design.,"pattern,ethnic,boho,chevron,white,black,ikat,vector,herringbone,print,seamless,decor,design,rug,pillow,graphic,tribal,background,abstract,illustration,tapestry,textile,vintage,retro,cover,elegant,fashion,leaves,ornament,pillowcase,wallpaper,repeat,template,zigzag,art,backdrop,creative,decoration,decorative,fabric,idea,ikat pattern,ornate,scribble,texture,wrapping",https://image.shutterstock.com/image-vector/herringbone-seamless-pattern-home-decor-600w-788357278.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/herringbone-seamless-pattern-home-decor-600w-788357278.jpg', 'path': 'full/cbb0dff22f2c2296b0fb70f44d8e3b1d05f95936.jpg', 'checksum': 'c0582856a2017c63585b4f1d764407d4'}]"
