id,pageNum,searchTerm,type,contributer,description,keywords,image_urls,images
1750409375,1,seamless+pattern+baby,vector,MeetBlackRabbit,Cute elephant baby with floral backdrop. Jungle animal cartoon character. Alphabetical Kids card print template and seamless background pattern. Hand drawn fabric surface design.,"baby,cute,elephant,pattern,animal,seamless,print,character,jungle,fabric,trendy,wallpaper,african,alphabetical,backdrop,background,card,cartoon,cheerful,childhood,clothes,decorative,design,doodle,flat,floral,flower,foliage,graphic,greeting,hand drawn,icon,isolated,kids,little,nature,nursery,pajamas,poster,shirt,shower,summer,surface,tee,template,textile,trunk,wear,wild,wildlife",https://image.shutterstock.com/image-vector/cute-elephant-baby-floral-backdrop-600w-1750409375.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/cute-elephant-baby-floral-backdrop-600w-1750409375.jpg', 'path': 'full/330aed5533365e296c54476376f958f1ff699b3e.jpg', 'checksum': '241f2bbe9d004b8d39d7496f73c3fa58'}]"
618832043,1,seamless+pattern+baby,vector,indiesmagis,"Seamless pattern with cute cartoon whales on polka dots background. Vector sea background for kids. Child drawing style cartoon baby animals underwater illustration. Design for fabric, textile, decor.","pattern,seamless,cute,print,animal,vector,background,girl,summer,wallpaper,sailor,boy,fish,whale,design,fabric,sea,cartoon,illustration,toy,fun,funny,marine,pretty,simple,gift,love,postcard,textile,underwater,baby shower,character,cheerful,decoration,drawing,happy,joyful,marine life,naive,nautical,newborn,polka dots,smile,stripes,sweet,wrapping",https://image.shutterstock.com/image-vector/seamless-pattern-cute-cartoon-whales-600w-618832043.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/seamless-pattern-cute-cartoon-whales-600w-618832043.jpg', 'path': 'full/ef25e0e2ba8b2c0a4c50d58b51b344176c6e6739.jpg', 'checksum': 'f1fa70184466882761c4d89de924be2e'}]"
598993322,1,seamless+pattern+baby,vector,Adrienn+Toth,seamless sun and clouds pattern vector illustration,"pattern,baby,cute,seamless,sun,vector,background,star,pastel,cartoon,print,spring,summer,smile,happy,nursery,funny,sweet,bow,doodle,face,illustration,love,character,fabric,childish,decoration,design,graphic,shine,style,weather,yellow,abstract,art,beach,cheerful,childishness,clouds,comic,drawing,fashion,graphic design,happiness,holiday,kids fashion,nature,repeat,sunny,textile",https://image.shutterstock.com/image-vector/seamless-sun-clouds-pattern-vector-600w-598993322.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/seamless-sun-clouds-pattern-vector-600w-598993322.jpg', 'path': 'full/26dec6acc06e80ae60ddca4f48d4a86ec380caa6.jpg', 'checksum': '2b9e190b20758fec31273591336763ce'}]"
1255006345,1,seamless+pattern+baby,vector,Gabriel+Onat,"Panda Seamless Pattern Background, Happy cute panda flying in the sky between clouds and star, Cartoon Panda Bears Vector illustration for kids forest background with rain dots","panda,pattern,seamless,cute,baby,bear,vector,kawaii,cartoon,illustration,koala,cloud,animal,face,repeat,teddy,adorable,background,bamboo,love,set,abstract,asia,balloon,boy,character,doodle,dream,fox,fun,girl,graphic,happy,heart,interior,kid,modern,nursery,pastel,paw,print,raccoon,rainbow,scandinavian,silhouette,sky,smile,star,wallpaper,winter",https://image.shutterstock.com/image-vector/panda-seamless-pattern-background-happy-600w-1255006345.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/panda-seamless-pattern-background-happy-600w-1255006345.jpg', 'path': 'full/0d951c9e207b32ee3b2e95161bbddb7e13e99617.jpg', 'checksum': '46d786be58c04e12799469fd7ceb029f'}]"
1488761258,1,seamless+pattern+baby,vector,sienkie,Cute Irregular Dotted Seamless Vector Patterns. Black Tiny Dots with Pink Ones Isolated on a White Background. Simple Print with Light Pink Polka Dots on a White. Lovely Pastel Color Dots Design.,"pattern,baby,geometric,seamless,circle,cute,irregular,print,abstract,kids,pink,retro,trendy,white,backdrop,background,big,black,color,decoration,decorative,design,dots,dotted,fabric,funny,girl,girly,graphic,happy,illustration,infantile,layout,lovely,modern,ornament,paper,pastel,polka,repeat,round,set,shape,simple,small,textile,tile,tiny,vector,wrapping paper",https://image.shutterstock.com/image-vector/cute-irregular-dotted-seamless-vector-600w-1488761258.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/cute-irregular-dotted-seamless-vector-600w-1488761258.jpg', 'path': 'full/1124ad4c081a5cfcbe35148909e7a573fd734097.jpg', 'checksum': 'ca0f779377b0f3fc6c24014f17dace4b'}]"
1727626771,1,seamless+pattern+baby,vector,nataka,"seamless pattern with beautiful moon
 -  vector illustration, eps","cute,flower,vector,baby,butterfly,design,moon,character,floral,princess,baby girl,baby shower,background,beautiful,beauty,blossom,cartoon,child,childhood,children room,decor,decoration,decorative,dream,girl,happy,illustration,insect,kid,leaf,little,lovely,magic,magical,moon phases,nature,newborn,night,nursery,pastel colors,people,print,seamless pattern,sky,sleep,star,summer,texture,trendy,wallpaper",https://image.shutterstock.com/image-vector/seamless-pattern-beautiful-moon-vector-600w-1727626771.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/seamless-pattern-beautiful-moon-vector-600w-1727626771.jpg', 'path': 'full/6b55c82ae4b4e1d6bf3ebde56723e0fbb99180d4.jpg', 'checksum': '4aa1008caac755aafe8a1a4a7ffdf24b'}]"
768077140,1,seamless+pattern+baby,vector,MGDrachal,"Cute smiling stars pattern. Night sky in pastel colors. Vector background for baby and kids design.

","pattern,baby,cute,star,cloud,background,kawaii,vector,seamless,sky,pastel,smile,love,nursery,pink,print,cartoon,face,happy,night,design,wallpaper,shower,soft,adorable,clouds,decorative,fabric,fashion,graphic,illustration,little,pajamas,sleeping,smiling,stars,sweet,textile,white",https://image.shutterstock.com/image-vector/cute-smiling-stars-pattern-night-600w-768077140.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/cute-smiling-stars-pattern-night-600w-768077140.jpg', 'path': 'full/145b81338ee64e5d7d6d16dc20b662b8070a007a.jpg', 'checksum': '5a6a0a0805a1e0346b4b3989079cf00f'}]"
570841351,1,seamless+pattern+baby,vector,MaryCo,Little bear in car. Surface design and 3 seamless pattern. Cartoon vector illustration,"baby,pattern,seamless,cute,design,bear,boy,car,cartoon,vector,illustration,kid,print,summer,child,rider,teddy,animal,art,auto,automobile,card,comic,drawing,driver,driving,fashion,funny,graphic,greeting,happy,image,motor,race,racer,retro,road,speed,sport,surface,t shirt,t shirt template,textile,transport,transportation,typography,wear",https://image.shutterstock.com/image-vector/little-bear-car-surface-design-600w-570841351.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/little-bear-car-surface-design-600w-570841351.jpg', 'path': 'full/31a38b1d84667176a28b21ef7f2b75276b844f6c.jpg', 'checksum': '3bbb51174a4e93b5ad4ae1478173cef9'}]"
1748912612,1,seamless+pattern+baby,vector,limolida,Seamless background forest tree gender neutral baby pattern. Simple whimsical minimal earthy 2 tone color. Kids nursery wallpaper or boho woodland nature fashion all over print.,"pattern,minimalist,baby,seamless,wallpaper,kid,minimal,nordic,allover,boho,fashion,modern,nursery,organic,paper,scandi,scandinavian,simple,all over print,background,calm,camping,child,childish,doodle,drawing sketch,flat color,forest,gender neutral,genderless,graphic design,hand drawn,illustration,monochrome,naive,natural,nature,neutral color,patterned,playful,repeat,soft,textile,two tone,unisex,vector,wall paper,whimsical,woodland trees",https://image.shutterstock.com/image-vector/seamless-background-forest-tree-gender-600w-1748912612.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/seamless-background-forest-tree-gender-600w-1748912612.jpg', 'path': 'full/2d272bc7f6636b11452f037980fdb03b3bfbb619.jpg', 'checksum': '498c31fde036bf48f0c442a2220a7ed9'}]"
709690234,1,seamless+pattern+baby,vector,Skokan+Olena,Tribal seamless pattern with cartoon bears. Abstract geometric art print. Hand drawn ethnic background with cute animals. Vector illustration,"pattern,baby,boy,kid,cute,animal,bear,print,vector,seamless,forest,background,geometric,wallpaper,illustration,sketch,fashion,arrow,design,drawn,girl,hand,abstract,card,toy,aztec,decor,doodle,ethnic,fabric,happy,texture,tribal,wild,beautiful,cartoon,character,child,decorative,element,funny,graphic,little,native,nature,ornament,style,sweet,textile,wildlife",https://image.shutterstock.com/image-vector/tribal-seamless-pattern-cartoon-bears-600w-709690234.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/tribal-seamless-pattern-cartoon-bears-600w-709690234.jpg', 'path': 'full/ffc56ab6fa61ab38a83c532f5380e401c2b02ea7.jpg', 'checksum': 'ebd964fa927568016b8e9aa3e5605fea'}]"
