id,pageNum,searchTerm,type,contributer,description,keywords,image_urls,images
1014551212,1,seamless+pattern+batik,vector,Vialeta+Novik,Tie dye indigo seamless pattern. Vector tradition shibori print. Geometric ikat endless tile. Stripped texture. Japan endless rapport.  Vector hand drawn tie dye oriental seamless pattern.,"pattern,seamless,vector,print,tie,watercolor,abstract,batik,blue,cloth,dye,indigo,japan,optical,background,bed,brush,china,cotton,design,fabric,fashion,folk,geometrical,hippie,indonesian,ink,japanese,kaleidoscope,kimono,material,minimalism,modern,natural,old-fashioned,organic,ornament,paint,psychedelic,retro,rustic,shibori,stripes,surface,swimwear,textile,texture,tile,traditional,watercolour",https://image.shutterstock.com/image-vector/tie-dye-indigo-seamless-pattern-600w-1014551212.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/tie-dye-indigo-seamless-pattern-600w-1014551212.jpg', 'path': 'full/95df600deeea9ce9cae1d4606904cfdb33446da8.jpg', 'checksum': 'd6cddfa75be4a2c529caa2d058b8a096'}]"
1032314230,1,seamless+pattern+batik,vector,akilev,"Oriental floral vintage ornament. Simple geometric all over design. Gold lineal flowers indigo blue decorative chinoiserie motif. Print block for interior textile, wallpaper, fabric cloth, phone case.","korea,vietnam,korean,singapore,taiwan,myanmar,china,lebanese,coastal,cambodia,pakistani,thai,mooncake,japan,laos,madhubani,sarong,arabesque background,bangladesh,boho print,burma,ceramic,chinese window,damask lattice,ditsy,golden blue tile,indian painting,indonesian,japanese kimono,java indonesia,kawung,lotus line,malaysian batik,mid autumn festival,mini medallion,minimal pattern,moon cake,moroccan trellis,philippines,porcelain,seamless geo surface,seventies fashion,sherwani,small square rapport,sri lanka,tenugui allover print,traditional art,vector graphic arabian arch,wood cut stamp,woodblock type",https://image.shutterstock.com/image-vector/oriental-floral-vintage-ornament-simple-600w-1032314230.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/oriental-floral-vintage-ornament-simple-600w-1032314230.jpg', 'path': 'full/f5eee6bc9d3b97f936311036c6ece0b581028e34.jpg', 'checksum': '31447c7974babfa59ac6717891d23fee'}]"
1326090647,1,seamless+pattern+batik,illustration,Elena0770,Blue Tie Dye Light Print,"dye,tie,pattern,seamless,abstract,batik,blue,repeat,background,effect,blot,light,turquoise,fabric,gradient,ink,print,white,all over print,boho,concept,design,fashion,hippie,indigo,paint,textile,texture,tie dye,washed",https://image.shutterstock.com/image-illustration/blue-tie-dye-light-print-600w-1326090647.jpg,"[{'url': 'https://image.shutterstock.com/image-illustration/blue-tie-dye-light-print-600w-1326090647.jpg', 'path': 'full/777cc1526269a2310e66da12f1ae24d96391933d.jpg', 'checksum': 'cb1c2094815efa93061aa40904cc376d'}]"
447488293,1,seamless+pattern+batik,vector,Zawada+chin,"Oriental ethnic seamless pattern traditional background Design for carpet,wallpaper,clothing,wrapping,batik,fabric,Vector illustration embroidery style. ","pattern,batik,ethnic,seamless,geometric,fabric,flower,ikat,ornament,vector,design,ukrainian,abstract,boho,carpet,background,decorative,floral,handcraft,moroccan,repetitive,textile,texture,vertical,antique,embroidery,horizontal,motif,vintage,wallpaper,arabic,backdrop,beautiful,clothing,decoration,element,kaftan,mandalas,oriental,ornamental,regular,repeat,retro,traditional,triangle,tribal,wrapping,zigzag",https://image.shutterstock.com/image-vector/oriental-ethnic-seamless-pattern-traditional-600w-447488293.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/oriental-ethnic-seamless-pattern-traditional-600w-447488293.jpg', 'path': 'full/69d21adb5ae2f1a7b25c11e38aadca08c8455a4d.jpg', 'checksum': 'b4b647fe6dff1e0d576a9ac1ce8f05ea'}]"
1045877734,1,seamless+pattern+batik,vector,Anastasiia+Stepanova,"Abstract seamless texture with floral elements, arrows, stripes. Pink, white, black, blue colors. Abstract vector background for web page, banners backdrop, fabric, home decor, wrapping, girls design","seamless,pattern,abstract,black,pink,batik,chaotic,floral,purple,red,vector,mixed,print,stripes,texture,abstraction,arrows,art,background,banner,blue,bright,chevrons,continuity,dark,design,drawing,endless,fabric,fashion,girls,graphic,irregular,light,mix,overlapping,overlay,package,packaging,paint,random,repeat,repeatable,scrapbook,textile,tissue,transparency,transparent,white",https://image.shutterstock.com/image-vector/abstract-seamless-texture-floral-elements-600w-1045877734.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/abstract-seamless-texture-floral-elements-600w-1045877734.jpg', 'path': 'full/3e46e778dc64871cbf87f78e13f46f771b70f40b.jpg', 'checksum': 'fb52de71136e2ed47dbc0c477caed5bf'}]"
765674569,1,seamless+pattern+batik,vector,pushenko,"beautiful seamless decorative ornament with flowers on a black background for design, colorful pattern with stylized abstract flowers in retro style for decoration","flower,seamless,pattern,batik,floral,decorative,vector,black,illustration,patchwork,backdrop,background,blue,branch,classic,decoration,embroidery,fabric,fantastic,fashion,frame,lace,leaf,ornamental,ornate,paper,print,red,spring,stylish,summer,swirl,tapestry,textile,texture,tile,wallpaper",https://image.shutterstock.com/image-vector/beautiful-seamless-decorative-ornament-flowers-600w-765674569.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/beautiful-seamless-decorative-ornament-flowers-600w-765674569.jpg', 'path': 'full/c8e9553bd820cd6070b7e8151a17b103a6cc4a7a.jpg', 'checksum': 'e9d25079c4f37b36ab42f983405bf492'}]"
626194997,1,seamless+pattern+batik,vector,Vialeta+Novik,Vector tie dye seamless pattern. Hand drawn shibori print with stripes. Ink textured japanese background.  ,"pattern,texture,stripe,japanese,seamless,background,watercolor,fabric,vector,organic,print,japan,indigo,rustic,shibori,batik,modern,paint,abstract,watercolour,tie,brush,design,dye,tile,blue,ornament,china,cotton,material,surface,cloth,ink,psychedelic,bed,fashion,folk,kimono,retro,geometrical,hippie,indonesian,kaleidoscope,minimalism,natural,old-fashioned,optical,swimwear,textile,traditional",https://image.shutterstock.com/image-vector/vector-tie-dye-seamless-pattern-600w-626194997.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/vector-tie-dye-seamless-pattern-600w-626194997.jpg', 'path': 'full/5cd8e7a30edd28c6d47bbdba97e99ba3ce94ece5.jpg', 'checksum': 'e67a6a0cf0e311ea985abe813ecb4273'}]"
564198625,1,seamless+pattern+batik,vector,TaniaAnisimova,"Light floral seamless pattern. Hand drawn backdrop. Light floral pattern. Colorful background. Pattern can be used for fabric, wallpaper or wrapping paper, web.","pattern,seamless,wallpaper,floral,flower,feminine,lace,spring,abstract,stylish,artistic,plant,summer,batik,decorative,fantasy,medieval,tropical,backdrop,background,bouquet,delicate,jungle,repeat,tile,able,art,botanical wallpaper,colorful,decor,decoration,decorative pattern,decoupage,endless,flourish,liana,light floral pattern,light leaves pattern,ornament,ornamental,ornate,style,textile,translucent,tree",https://image.shutterstock.com/image-vector/light-floral-seamless-pattern-hand-600w-564198625.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/light-floral-seamless-pattern-hand-600w-564198625.jpg', 'path': 'full/5a8e830266ce8617768bdecfa41ad6567472d0df.jpg', 'checksum': 'f855076b994cb65d0511a117e966dfbb'}]"
708521401,1,seamless+pattern+batik,vector,Vialeta+Novik,Vector tie dye seamless pattern. Hand drawn shibori print. Ink textured japanese background. Modern batik wallpaper tile. Watercolor indigo endless backdrop. Blue and white watercolour design.,"pattern,seamless,abstract,texture,watercolor,shibori,design,organic,fabric,vector,background,batik,china,ink,minimalism,bed,cloth,clothes,cotton,dye,fashion,folk,geometrical,hippie,indigo,indonesian,japan,japanese,kaleidoscope,kimono,knitting,material,modern,natural,old-fashioned,optical,ornament,paint,print,psychedelic,retro,rustic,surface,swimwear,textile,tie,tile,traditional,watercolour,wave",https://image.shutterstock.com/image-vector/vector-tie-dye-seamless-pattern-600w-708521401.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/vector-tie-dye-seamless-pattern-600w-708521401.jpg', 'path': 'full/f446a4bb15f1789f9d4bbbddbe2b7689caceab0b.jpg', 'checksum': '226f2b47c009779dffb04c0e643d7398'}]"
1811755921,1,seamless+pattern+batik,vector,Q3kia_Pictures,Rainbow Tie Dye Swirl. Spiral Tie Dye Paint. Stripe Dirty Art. Vector Dyed Repeat. Rainbow Tie Dye. Multi Swirl Tie Dye. Seamless Colorful Hippie. Rainbow Spiral Circle Batik. Vector Rainbow Pattern,"dye,tie,seamless,pattern,vector,repeat,spiral,flower,70s,design,tye,1960,60s,acid,ashbury,background,batik,blur,circle,color,colorful,culture,dead,dress,dyed,fabric,gradient,grateful,grunge,happy,hippie,international,multi,muslin,peace,print,psychedelic,rainbow,rock,roll,saturated,seventies,shirt,soft,spectrum,swirl,textile,texture,tshirt,watercolour",https://image.shutterstock.com/image-vector/rainbow-tie-dye-swirl-spiral-600w-1811755921.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/rainbow-tie-dye-swirl-spiral-600w-1811755921.jpg', 'path': 'full/66c22a0a7fd69173e2bc5a469ea38cbcf25a36f2.jpg', 'checksum': 'e90f9461584d6495efe509e5a606f375'}]"
356542055,1,seamless+pattern+batik,illustration,Lena+Bukovsky,black and white batik texture  - seamless pattern,"seamless,pattern,marble,batik,texture,abstract,dye,background,geometric,black,space,cloth,fabric,shibori,textile,vintage,white,art,backdrop,dark,decoration,material,abstraction,acrylic,and,banner,board,card,copy,cotton,decor,decorative,design,element,graphic,handmade,illustration,page,painting,panel,paper,scrap,scratches,shape,silk,textured,veined,veins,wallpaper,wrapping",https://image.shutterstock.com/image-illustration/black-white-batik-texture-seamless-600w-356542055.jpg,"[{'url': 'https://image.shutterstock.com/image-illustration/black-white-batik-texture-seamless-600w-356542055.jpg', 'path': 'full/9cb9d5b179bb74dd4fc195061829fe926b2ed6ff.jpg', 'checksum': 'd97ef9f102dc551cc725219f207fe6ae'}]"
1888384120,1,seamless+pattern+batik,illustration,Pixel88,Tie Dye 2 Tone Clouds Close Up Shot fabric texture background Pink Blue,"dye,tie,seamless,pattern,color,blue,pink,abstract,cloudy,dyed,ink,retro,sky,swirl,tye,watercolor,art,artistic,backdrop,background,batik,bohemian,bright,cloth,clouds,colorful,cotton,culture,decorate,design,fabric,fashion,hippie,material,paint,peace,print,psychedelic,rainbow,red,repeat,shirt,spiral,style,textile,texture,textured,tie dye,traditional,wallpaper",https://image.shutterstock.com/image-illustration/tie-dye-2-tone-clouds-600w-1888384120.jpg,"[{'url': 'https://image.shutterstock.com/image-illustration/tie-dye-2-tone-clouds-600w-1888384120.jpg', 'path': 'full/bbc8912d5aecc46151176e3ab7c2ed11fb44aeb6.jpg', 'checksum': 'c28b8fd231e74996fdbd9c24164435dc'}]"
633427640,1,seamless+pattern+batik,vector,TaniaAnisimova,"Colorful seamless pattern with decorative flowers. Paisley and roses. Indian style. Indonesian batik. Classic paisley. Design for fabric, carpet, textile, wrapping paper, home decor, postcards, print","pattern,paisley,seamless,flower,indian,floral,abstract,ethnic,design,fashion,vector,oriental,lace,vintage,fabric,ornament,background,fresco,style,wallpaper,decorative,india,persian,repeat,textile,graphic,modern,ancient,eastern,illustration,leaf,rose,tile,art,backdrop,elegant,flora,retro,beautiful,blooming,classic,decor,favorite,henna,hindi,mendy,repetition,revival,tiled,tradition",https://image.shutterstock.com/image-vector/colorful-seamless-pattern-decorative-flowers-600w-633427640.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/colorful-seamless-pattern-decorative-flowers-600w-633427640.jpg', 'path': 'full/a5a18774432b94336f020cddfb195d159daf8f06.jpg', 'checksum': 'e4ab7d5aef86fcd20384b01f0bd9a4cc'}]"
1069254458,1,seamless+pattern+batik,illustration,Elena0770,Colourful Tie Dye Print,"dye,tie,pattern,seamless,purple,blue,galaxy,unicorn,effect,background,batik,color,texture,abstract,all over print,bleach,distressed,fabric,faded,fashion,indigo,ink,material,print,repeat,space,textile,tonal",https://image.shutterstock.com/image-illustration/colourful-tie-dye-print-600w-1069254458.jpg,"[{'url': 'https://image.shutterstock.com/image-illustration/colourful-tie-dye-print-600w-1069254458.jpg', 'path': 'full/f8f18b1f6b9ed92c91c7b27f9095820b36b0248a.jpg', 'checksum': 'e69a6272119d58020852674be2b853a1'}]"
