id,pageNum,searchTerm,type,contributer,description,keywords,image_urls,images
1811755942,1,seamless+pattern+effect,vector,Q3kia_Pictures,Hippie Tie Dye Swirl. Spiral Tie Dye. Vector Dyed Repeat. Multi Swirl Watercolor. Seamless Seamless Hippie. White Unicorn Repeat. Seamless Dirty Tie Dye. Hippy Tie Dye Circle 1960. Spiral Dyed Pattern,"pattern,dye,seamless,tie,tye,color,texture,background,batik,endless,fabric,repeat,textile,vector,gradient,grunge,hippie,rainbow,spiral,tiedye,tshirt,1960,1970s,60s,blur,brush,child,circle,colorful,cotton,dyed,effect,festival,funky,happy,international,muslin,pop,print,psychedelic,roll,san,shirt,stain,swirl,teal,traditional,urban,water,white",https://image.shutterstock.com/image-vector/hippie-tie-dye-swirl-spiral-600w-1811755942.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/hippie-tie-dye-swirl-spiral-600w-1811755942.jpg', 'path': 'full/e96f25eec9ac376af93d66ed3b37cb1bd6ca32ee.jpg', 'checksum': '9a4bf479e0ec9ad68a07382c1b1c4ae6'}]"
1782420050,1,seamless+pattern+effect,illustration,limolida,"Blurry silk neutral tie dye texture background. Wavy irregular bleeding wave seamless pattern. Athmospheric ombre distorted watercolor effect. Space dyed all over print
","seamless,pattern,wavy,cloud,print,relaxing,silk,soft,watercolor,above,abstract,air,all over,atmospheric,backdrop,background,beautiful,beauty,bleed,blend,blended,blur,bright,cloudy,color,colorful,design,dyed,illustration,ink,light,marble,marbled,nature,neutral,ombre,paint,serene,shibori,silky,space dyed,summer,sun,texture,tie dye,wallpaper,water,wave,wavy lines,winter",https://image.shutterstock.com/image-illustration/blurry-silk-neutral-tie-dye-600w-1782420050.jpg,"[{'url': 'https://image.shutterstock.com/image-illustration/blurry-silk-neutral-tie-dye-600w-1782420050.jpg', 'path': 'full/9b169a4ed70863af56fa5ddd9626c2c0a8287a44.jpg', 'checksum': '467e4b4b109da00dbf4efe4a6e5e391d'}]"
613220651,1,seamless+pattern+effect,illustration,IS+Studio,"Seamless pattern tie-dye design. Multicolored background with watercolor effect. Textile shibori print for bed linen, jacket, package design, fabric and fashion concepts.","pattern,seamless,watercolor,dye,tie,background,batik,camouflage,abstract,summer,texture,camo,design,print,multicolor,fabric,painting,repeat,stain,water,artistic,backdrop,cloth,clothing,cotton,craft,decoration,ethnic,fashion,fashioned,graphic,handmade,hippie,illustration,ink,japanese,material,mixed,reflection,retro,shibori,silk,splash,spot,textile,tie-dye,tile,traditional,vibrant,wallpaper",https://image.shutterstock.com/image-illustration/seamless-pattern-tiedye-design-multicolored-600w-613220651.jpg,"[{'url': 'https://image.shutterstock.com/image-illustration/seamless-pattern-tiedye-design-multicolored-600w-613220651.jpg', 'path': 'full/fa6bc55e8e1902be9fb834006cbfca9e6f06220c.jpg', 'checksum': 'c28343dd8befa51b2eb138b3e34fce0b'}]"
1513744274,1,seamless+pattern+effect,vector,Koshtoris,Abstract urban chaotic seamless pattern.,"abstract,pattern,seamless,geometric,modern,print,artistic,background,chaotic,motion,vector,art,azure,backdrop,bright,chaos,color,colorful,creative,curved,decoration,decorative,design,drive,effect,element,fabric,fashion,graffiti,graphic,grunge,grungy,illustration,ink,ornament,shape,speed,splash,spot,style,teenager,textile,texture,triangle,urban,wall,wallpaper",https://image.shutterstock.com/image-vector/abstract-urban-chaotic-seamless-pattern-600w-1513744274.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/abstract-urban-chaotic-seamless-pattern-600w-1513744274.jpg', 'path': 'full/1c82873ca6b5bf1cb9d3bf42e1cf27ba4a4be771.jpg', 'checksum': '226bead18d41878b0ebd3fffdb6b170f'}]"
769372105,1,seamless+pattern+effect,vector,annamuse,"Black and White Abstract leaves silhouette seamless pattern. Hand drawn leaf silhouettes with scribble textures. Natural elements in monochrome colors. Vector grunge design for paper, fabric","brush,leaf,pattern,seamless,stroke,nature,abstract,vector,black,texture,floral,white,distress,ink,background,illustration,paint,silhouette,dot,grunge,vintage,design,old,rough,spray,effect,fabric,graphic,noise,dirt,frame,grain,paper,space,aged,backdrop,crack,damaged,dark,dust,element,foliage,powder,retro,sand,scratch,splatter,spot,stain,wallpaper",https://image.shutterstock.com/image-vector/black-white-abstract-leaves-silhouette-600w-769372105.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/black-white-abstract-leaves-silhouette-600w-769372105.jpg', 'path': 'full/b931b025f8c34d4372283f31d60c4d2137b88250.jpg', 'checksum': '94d7a0ea173ee9eea8f775f8951ddd5d'}]"
494428915,1,seamless+pattern+effect,vector,Gvais,Geometric crystal background. Polygonal vector illustration. Abstract seamless pattern.,"pattern,crystal,seamless,triangle,geometry,abstract,geometric,polygon,vector,hexagon,tile,light,square,diamond,effect,graphic,modern,mosaic,art,backdrop,background,color,cover,creative,decoration,decorative,design,digital,element,facet,futuristic,geometrical,green,illustration,minimalistic,ornament,paper,polygonal,poster,repeating,shape,shaped,structure,style,surface,template,texture,textured,wallpaper,wrapping",https://image.shutterstock.com/image-vector/geometric-crystal-background-polygonal-vector-600w-494428915.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/geometric-crystal-background-polygonal-vector-600w-494428915.jpg', 'path': 'full/32c7f6cd4be20bb12f73a31a927d29ad65de0824.jpg', 'checksum': '9314f05a4f3fcf5cf054a2d8e25cbd61'}]"
588274661,1,seamless+pattern+effect,illustration,IS+Studio,"Seamless pattern wild design. Snakeskin background with watercolor effect. Textile print for bed linen, jacket, package design, fabric and fashion concepts","pattern,watercolor,seamless,snake,texture,skin,animal,abstract,print,camouflage,design,background,nature,wallpaper,fabric,african,stripe,wild,fashion,jungle,blue,brown,snakeskin,decor,leather,scale,surface,cloth,illustration,repeat,safari,spot,africa,material,squama,anaconda,dot,exotic,rattler,rattlesnake,boa,chic,fashionable,natural,prey,textile,wildlife,zoo",https://image.shutterstock.com/image-illustration/seamless-pattern-wild-design-snakeskin-600w-588274661.jpg,"[{'url': 'https://image.shutterstock.com/image-illustration/seamless-pattern-wild-design-snakeskin-600w-588274661.jpg', 'path': 'full/d1dbe4065651e68a926a620909ffdca228a292b4.jpg', 'checksum': 'a304e8046fb364ffc5a874b1d7ea3ce1'}]"
521761591,1,seamless+pattern+effect,vector,essl,Seamless pattern. Abstract line geometric ornament. Light white and grey winter background,"pattern,winter,seamless,ice,diamond,abstract,background,vector,christmas,geometric,line,graphic,fashion,texture,frost,illustration,simple,star,triangle,crystal,art,contemporary,design,new,xmas,frosty,repeat,white,concept,effect,grey,light,monochrome,retro,technology,wallpaper,banner,decor,element,fabric,gray,illusion,iterative,optical,ornamental,polygonal,shape,structure,wrapping,year",https://image.shutterstock.com/image-vector/seamless-pattern-abstract-line-geometric-600w-521761591.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/seamless-pattern-abstract-line-geometric-600w-521761591.jpg', 'path': 'full/c8b6d8e84476b4992c90e6e84c142f7dd39bc1bf.jpg', 'checksum': '4d6d6e7117ffdd0f093d8b67a4c123c1'}]"
1235281369,1,seamless+pattern+effect,vector,cepera,Monochrome Degrade Effect Block Textured Graphic Motif. Seamless Pattern.,"texture,pattern,seamless,abstract,modern,print,linear,vector,vintage,degrade,geometric,grunge,motif,retro,irregular,halftone,rough,black,graphic,white,broken,mesh,monochrome,distressed,mottled,natural,noisy,wallpaper,worn,background,bold,damaged,grain,blocks,brushed,chaotic,cover,dashed,decorative,distortion,imperfect,striped,stroke,surface,textile,textured,urban,variegated,washed,wrapping",https://image.shutterstock.com/image-vector/monochrome-degrade-effect-block-textured-600w-1235281369.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/monochrome-degrade-effect-block-textured-600w-1235281369.jpg', 'path': 'full/4ef9b14a435a2aa69ae4ee48bc4b61d2ea19f0f8.jpg', 'checksum': '378d57e382c478a5330d048e386a3641'}]"
1465586519,1,seamless+pattern+effect,vector,Polli18,Tie dye stripe green and black brush vector seamless pattern texture grunge. Line ink abstract paint print on white textile background.,"stripe,pattern,dye,tie,vector,abstract,brush,seamless,zebra,paint,watercolor,ethnic,line,organic,print,grunge,textile,texture,black,effect,geometric,graphic,ink,background,color,design,ikat,paintbrush,water,batik,grungy,handmade,indigo,monochrome,spot,traditional,white,dirty,drawn,dry,illustration,indonesian,ornament,shape,sketch,splash,splat,stroke,swatch",https://image.shutterstock.com/image-vector/tie-dye-stripe-green-black-600w-1465586519.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/tie-dye-stripe-green-black-600w-1465586519.jpg', 'path': 'full/e6c165f1be540d48558994b315a4fc2d3bac2fcb.jpg', 'checksum': 'fb696f794ad24a9661cb260a2d5f2985'}]"
