id,pageNum,searchTerm,type,contributer,description,keywords,image_urls,images
1049159531,1,seamless+pattern+black,vector,mamita,"Peonies and roses. Floral vintage seamless pattern. Gold and white flowers, leaves, branches and berries on black background. Oriental style. Vector illustration art. For design textiles, paper.","floral,pattern,black,gold,white,vector,seamless,vintage,abstract,background,oriental,design,luxury,wallpaper,print,art,bloom,ornate,paper,graphic,sketch,bouquet,drawing,foil,plant,garden,old,retro,victorian,leaves,style,berries,botany,decor,spring,handmade,nature,summer,blooming,branches,decoration,engraving,flowers,graphics,illustration,peonies,precious,roses,template,textiles",https://image.shutterstock.com/image-vector/peonies-roses-floral-vintage-seamless-600w-1049159531.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/peonies-roses-floral-vintage-seamless-600w-1049159531.jpg', 'path': 'full/f77a6ee0abadd48848c13ec71f03279f0f9b4908.jpg', 'checksum': 'ab43819f5ca3b441387ed9af295da256'}]"
1134617462,1,seamless+pattern+black,vector,Yngvarr,"Abstract geometric seamless pattern. Graphic vector. Racing background for vinyl wrap and decal. Grunge, neon texture pattern. Sports textile. Fashion military.","pattern,sport,abstract,background,seamless,grunge,texture,geometric,extreme,line,graphic,black,modern,illustration,print,cloth,fabric,urban,art,retro,simple,stripe,textile,shape,color,monochrome,triangle,wallpaper,white,dot,geometry,fashion,halftone,hipster,backdrop,colorful,cover,creative,decor,decoration,decorative,element,ornament,repeat,style,template,tile,trendy",https://image.shutterstock.com/image-vector/abstract-geometric-seamless-pattern-graphic-600w-1134617462.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/abstract-geometric-seamless-pattern-graphic-600w-1134617462.jpg', 'path': 'full/d0e2a12d5772703a69d8ac6a683c92876b390531.jpg', 'checksum': 'bef3b2459b5449bdde44afd6f3a28d89'}]"
375468052,1,seamless+pattern+black,vector,SeamlessPatterns,Vector Seamless Black And White Irregular Rounded Lines Halftone Transition Abstract Background Pattern,"pattern,vector,line,geometric,seamless,abstract,background,graphic,texture,shape,circle,flat,hipster,modern,fade,design,black,square,transition,white,rain,drip,liquid,drop,monochrome,vertical,random,flow,fluid,print,splash,irregular,tile,fabric,trendy,creative,backdrop,falling,squeeze,stream,decor,wrapping,stylish,halftone,melting,parallel,repetition,rounded,textile",https://image.shutterstock.com/image-vector/vector-seamless-black-white-irregular-600w-375468052.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/vector-seamless-black-white-irregular-600w-375468052.jpg', 'path': 'full/2ebb91714dc009f0d0a6766b39fb7beba62dbca2.jpg', 'checksum': 'c82e86140d452fd1f14e33d521342e35'}]"
555922009,1,seamless+pattern+black,vector,Softulka,Seamless geometric pattern. Vector abstract classical background in black and white color,"pattern,geometric,seamless,vector,black,abstract,modern,classic,linear,luxury,design,background,print,triangle,frame,minimal,texture,vintage,graphic,art,decoration,ornament,paper,thin,ornate,stylish,tile,trendy,wallpaper,fabric,repeat,arabic,backdrop,business,classical,decorative,element,geometrical,structure,swatch,textile,textured,tracery,wrapping",https://image.shutterstock.com/image-vector/seamless-geometric-pattern-vector-abstract-600w-555922009.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/seamless-geometric-pattern-vector-abstract-600w-555922009.jpg', 'path': 'full/9f985aec67953cef0ef86417df4b174a68dce316.jpg', 'checksum': '352ff8aa20dccffd7e50a328a075ed36'}]"
134071259,1,seamless+pattern+black,vector,arturaliev,Seamless pattern in islamic style. Vector background,"pattern,seamless,geometric,vector,arab,islam,background,oriental,ornament,tile,classic,white,mosaic,abstract,motif,muslim,style,religious,design,ramadan,grey,symbol,decoration,asia,art,delicate,illustration,star,culture,monochrome,arabic,arabic pattern,black and white,classical,cultural,decorative,eastern pattern,elegant,element,islamic,islamic design,lace pattern,monochromatic,openwork,ornamental,repeats,repetitive,shapes,traditional",https://image.shutterstock.com/image-vector/seamless-pattern-islamic-style-vector-600w-134071259.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/seamless-pattern-islamic-style-vector-600w-134071259.jpg', 'path': 'full/b404dd966bd36495170fc50442a47e087acacdc9.jpg', 'checksum': 'f9b5e250550e179bf6e272a41cc6df89'}]"
1077255860,1,seamless+pattern+black,vector,momosama,"Floral seamless pattern, blue, green and white Ficus Elastica / rubber plant on white background","pattern,seamless,floral,wallpaper,leaf,plant,texture,tropical,background,black,nature,retro,white,fabric,ornament,foliage,vintage,spring,print,design,flora,bright,fig,garden,indian,pastel,branch,collage,creative,repeat,rubber,backdrop,bouquet,bush,ficus,greenery,season,botanical,decoration,elastica,element,ficus elastica,houseplant,illustration,natural,textile,verdant",https://image.shutterstock.com/image-vector/floral-seamless-pattern-blue-green-600w-1077255860.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/floral-seamless-pattern-blue-green-600w-1077255860.jpg', 'path': 'full/ea84253acd14fd87a18f4e38879ad781deddd30d.jpg', 'checksum': '865876d654e071b222a851e2854f61e3'}]"
573952828,1,seamless+pattern+black,vector,RODINA+OLENA,"Abstract geometric pattern with lines, rhombuses A seamless vector background. Blue-black and gold texture","pattern,vector,background,seamless,abstract,line,wallpaper,gold,modern,texture,hexagon,black,graphic,tile,polygon,design,wall,blue,stripe,simple,fashion,square,ornament,rhombus,decoration,grid,monochrome,style,diagonal,template,backdrop,curtain,mesh,surface,wrapping,abstraction,decorative,geometric,geometrical,geometry,graphical,grating,hexahedron,islamic,quirky,repeating,tiled,unusual,unusually",https://image.shutterstock.com/image-vector/abstract-geometric-pattern-lines-rhombuses-600w-573952828.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/abstract-geometric-pattern-lines-rhombuses-600w-573952828.jpg', 'path': 'full/24e5554c45993de84588e6e330c1972f2726516c.jpg', 'checksum': '16169cfaa3b806dbc40ed9f12ae8c15a'}]"
490102348,1,seamless+pattern+black,vector,Irina+Qiwi,Abstract Seamless Pattern. Seamless Pattern with Triangles. Gold black and white triangle Pattern . Vector illustration,"pattern,black,seamless,modern,gold,background,white,abstract,texture,elegant,chevron,stripe,design,rhombus,graphic,square,shape,hipster,line,mosaic,simple,retro,print,trendy,memphis,stylish,wallpaper,ornament,element,golden,tile,ornate,fabric,funky,decorative,repeat,structure,textile,backdrop,regular,template,dots,geometric,monochrome,periodic,sample,striped,textured,tiling,wrapping",https://image.shutterstock.com/image-vector/abstract-seamless-pattern-triangles-gold-600w-490102348.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/abstract-seamless-pattern-triangles-gold-600w-490102348.jpg', 'path': 'full/ce6da2c8e9b75900250010a5dc2c14840a10c3e7.jpg', 'checksum': '58ce67eed8d45b99ec2d8d7f3a5f60f6'}]"
531335971,1,seamless+pattern+black,vector,crull,Abstract geometric hipster fashion design print triangle pattern,"pattern,triangle,vector,abstract,seamless,background,texture,black,white,design,graphic,line,shape,modern,art,fashion,hipster,simple,print,ornament,minimal,deco,trendy,vintage,cool,monochrome,random,fabric,retro,creative,textile,carpet,paper,subtle,70s,cover,bed,decorative,80s,boho,falling,sheet,pillow,apart,bedding,geometric,geometry,halftone,unique",https://image.shutterstock.com/image-vector/abstract-geometric-hipster-fashion-design-600w-531335971.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/abstract-geometric-hipster-fashion-design-600w-531335971.jpg', 'path': 'full/c0ddeaeaacbe92b7f707037ced4d9480e88d3240.jpg', 'checksum': '846af6d567442611966b28c65197b5e5'}]"
363325265,1,seamless+pattern+black,vector,Softulka,"100 Universal different geometric seamless patterns. Endless vector texture can be used for wrapping wallpaper, pattern fills, web background,surface textures. Set of monochrome ornaments","seamless,vector,abstract,background,black,line,set,collection,white,fractal,3d,print,minimal,triangle,vintage,graphic,space,design,fabric,dot,polygon,square,icon,halftone,stamp,classic,memphis,tile,floral,swatch,arabic,business,flat,circle,pointillism,decor,paper,sign,sphere,tone,constructivism,primitive,wrapping,futuristic,geometric,grain,minimalism,point,stippling,textile",https://image.shutterstock.com/image-vector/100-universal-different-geometric-seamless-600w-363325265.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/100-universal-different-geometric-seamless-600w-363325265.jpg', 'path': 'full/f9a7fdbf0b562f550f4cd9b629ba8ef418a01819.jpg', 'checksum': 'edae45af1128111e502876f1c22055cb'}]"
