id,pageNum,searchTerm,type,contributer,description,keywords,image_urls,images
1065332303,1,seamless+pattern+old,vector,Ezhevika,"Super Big set of 32 oriental patterns. White and gold background with Arabic ornaments. Patterns, backgrounds and wallpapers for your design. Textile ornament. Vector illustration.","pattern,arab,seamless,islam,ornament,background,gold,floral,orient,wallpaper,modern,line,arabesque,turkish,wall,set,arabian,abstract,paper,lace,decor,tile,graphic,spanish,style,art,asian,mosaic,muslim,vintage,eastern,old,repeat,ethnic,history,round,asia,east,ornate,arabic,curves,decoration,decorative,illustration,islamic,ornamental,sample,traditional",https://image.shutterstock.com/image-vector/super-big-set-32-oriental-600w-1065332303.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/super-big-set-32-oriental-600w-1065332303.jpg', 'path': 'full/f6879de1d5bdc1904e0bea1e2d3f73389a84282f.jpg', 'checksum': 'eaf338b70d966f10359704bb014b470e'}]"
116578882,1,seamless+pattern+old,vector,liliyashlapak,Vintage floral seamless pattern with hand drawn roses,"pattern,flower,floral,vintage,rose,seamless,vector,victorian,background,leaf,wallpaper,retro,fabric,print,abstract,old,texture,garden,romantic,branch,luxury,design,grunge,cute,element,love,silhouette,summer,nature,spring,romance,twig,petal,backdrop,botanical,engraving,greetings,hand drawn,illustration,lovely,natural,seasonal,tiling",https://image.shutterstock.com/image-vector/vintage-floral-seamless-pattern-hand-600w-116578882.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/vintage-floral-seamless-pattern-hand-600w-116578882.jpg', 'path': 'full/2c7af63fe91f9c9272aa830f2dc4107401734ee7.jpg', 'checksum': 'de402be1fd083472e004dd4989cec2f6'}]"
552018073,1,seamless+pattern+old,vector,yulianas,"Blue Ikat Ogee and Damascus ornament Seamless Background Pattern. Abstract background for textile design, wallpaper, surface textures.","pattern,ikat,boho,geometric,ethnic,abstract,tribal,texture,print,winter,design,indian,blue,wallpaper,aztec,background,ogee,damascus,home,retro,traditional,fabric,old,pillow,zag,zig,accessory,elegant,fashion,paper,case,fall,spring,style,summer,arabic,autumn,backdrop,birthday,card,curtains,decor,invitation,navajo,phone,scrapbooking,template,textile,wedding,wrapping",https://image.shutterstock.com/image-vector/blue-ikat-ogee-damascus-ornament-600w-552018073.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/blue-ikat-ogee-damascus-ornament-600w-552018073.jpg', 'path': 'full/ed9f1b5d71a18188a20d65e7e0a14b2e53b85479.jpg', 'checksum': '76bcc673365cc59333958f2b2e9d23d2'}]"
572778790,1,seamless+pattern+old,photo,Lena+Bukovsky,Blue marble texture. Abstract seamless background. Natural stone pattern. ,"marble,pattern,seamless,texture,blue,abstract,background,white,nature,floor,ceramic,stone,wall,dark,design,material,vintage,art,tile,decorative,graphic,illustration,interior,kitchen,paint,architecture,concrete,monochromatic,monochrome,old,rock,space,wallpaper,antique,backdrop,blue marble,closeup,decoration,detail,elegance,granite,marbled,natural,rustic,smooth,spot,stucco,surface,textured,wrapping",https://image.shutterstock.com/image-photo/blue-marble-texture-abstract-seamless-600w-572778790.jpg,"[{'url': 'https://image.shutterstock.com/image-photo/blue-marble-texture-abstract-seamless-600w-572778790.jpg', 'path': 'full/cc8434764ed47ce3480c98542425505d52ba15ab.jpg', 'checksum': '39865c66b4328c3e874fcfbe6cfc8515'}]"
166645079,1,seamless+pattern+old,vector,newline,Ornamental seamless pattern. Vector abstract background.,"pattern,geometric,vector,seamless,arab,ornament,islam,background,arabesque,orient,design,abstract,asian,motif,texture,turkish,morocco,muslim,architecture,vintage,mosaic,wallpaper,ethnic,culture,tile,art,arabian,religious,spanish,star,asia,east,element,old,illustration,ornate,decor,symmetry,arabic,decoration,islamic,oriental,ornamental,traditional",https://image.shutterstock.com/image-vector/ornamental-seamless-pattern-vector-abstract-600w-166645079.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/ornamental-seamless-pattern-vector-abstract-600w-166645079.jpg', 'path': 'full/5911f51004310bbac293688d5c82b032719fbd61.jpg', 'checksum': '66e730a6bea898b4c9ba0f88281a3eb5'}]"
1457946578,1,seamless+pattern+old,vector,mamita,"Luxury ornate pattern for creating textiles, wallpaper, paper. Print gold foil on a blue background. Seamless background with garden flowers peonies, bird and butterflies. Vintage. Vector Illustration","vintage,pattern,bird,gold,floral,antique,butterfly,chinese,seamless,animal,garden,japanese,art,oriental,nature,ornate,plant,bouquet,garland,sketch,leaves,old,romantic,blossom,blue,botany,cover,foil,sparkle,summer,wedding,flora,packaging,spring,brilliance,decor,berries,blooming,botanical,decoration,drawing,engraving,floristic,flowers,glittering,peonies,shimmering,twigs,vegetation,wreath",https://image.shutterstock.com/image-vector/luxury-ornate-pattern-creating-textiles-600w-1457946578.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/luxury-ornate-pattern-creating-textiles-600w-1457946578.jpg', 'path': 'full/4bf06d0a0f26edff870ede13a5434c64a195c6d8.jpg', 'checksum': 'af8afd174a61eb21f3aad651cefe226c'}]"
1724951245,1,seamless+pattern+old,vector,Rodin+Anton,Seamless vector gray concrete texture. Stone wall background.,"texture,stone,background,wall,seamless,cement,floor,pattern,grey,tile,vector,marble,rock,urban,wallpaper,construction,material,grunge,building,effect,structure,illustration,old,abstract,aged,antique,architecture,dirty,gray,retro,solid,design,rough,art,backdrop,blank,closeup,concrete,detail,element,empty,granite,grungy,natural,scratch,space,surface,textured,vintage,weathered",https://image.shutterstock.com/image-vector/seamless-vector-gray-concrete-texture-600w-1724951245.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/seamless-vector-gray-concrete-texture-600w-1724951245.jpg', 'path': 'full/7f8753896e4e41d966a851dc7eb8ade9f6811f2c.jpg', 'checksum': '5c2cd68175f89843ac560514b8d606d1'}]"
1813157362,1,seamless+pattern+old,vector,Q3kia_Pictures,Circle Tie Dye Swirl. Vector Swirl. Brush Unicorn Tie Dye. Multi Swirl Watercolor. Spiral Dyed Repeat. Colorful Multi Swirl Tie Dye. Hippie Print. Seamless Seamless Circle. Vector Neon Tie Dye Pattern,"tie,die,pattern,seamless,dye,rainbow,unicorn,background,print,shirt,tiedye,tye,batik,blur,boho,brush,circle,color,colorful,cotton,dark,dead,dyed,effect,endless,fabric,festival,funky,gradient,grateful,grunge,haight,hippie,japanese,multi,natural,old,psychedelic,repeat,rock,saturated,sixties,space,spiral,stripe,swirl,texture,tshirt,urban,vector",https://image.shutterstock.com/image-vector/circle-tie-dye-swirl-vector-600w-1813157362.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/circle-tie-dye-swirl-vector-600w-1813157362.jpg', 'path': 'full/2e41d792bb9acd1f2bd12b66468950e5fbf4372a.jpg', 'checksum': '1a13840974ec57021cd804904e623e18'}]"
174409004,1,seamless+pattern+old,vector,CurlyPat,Vector seamless pattern. Modern stylish texture. Repeating abstract background with tangled line,"pattern,seamless,elegant,line,vector,modern,abstract,circle,swirl,texture,ornament,ribbon,curve,background,decor,fashion,sketch,illustration,scroll,wallpaper,repeat,beauty,textile,graphic,ornate,monochrome,trendy,print,creative,fabric,linear,old,paper,wrapping,collection,complicated,confusion,continuity,decoration,decorative,drawing,elegance,element,fashionable,objects,repetition,tangled,textured",https://image.shutterstock.com/image-vector/vector-seamless-pattern-modern-stylish-600w-174409004.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/vector-seamless-pattern-modern-stylish-600w-174409004.jpg', 'path': 'full/19ab940416b5bbf2eadc1428d8ff5c1ccaca9f8a.jpg', 'checksum': 'cbd2aed1708104722b421f060ffff988'}]"
525438964,1,seamless+pattern+old,vector,cepera,Abstract irregular striped block motif. Seamless pattern.,"pattern,texture,abstract,seamless,fabric,vector,background,print,graphic,fashion,modern,block,design,glitch,square,rough,ink,vintage,monochrome,tile,cloth,decoration,material,old,stain,wallpaper,irregular,noisy,surface,variegated,decay,retro,blot,cover,backdrop,brushed,decorative,display,distressed,imperfect,lines,natural,spot,striped,strokes,textile,textured,tracery,washed,wrapping",https://image.shutterstock.com/image-vector/abstract-irregular-striped-block-motif-600w-525438964.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/abstract-irregular-striped-block-motif-600w-525438964.jpg', 'path': 'full/14ba189edbc3be72f5f262ef104a8824dfa5a4e1.jpg', 'checksum': '0003ad14a12eb4c49ee0b8a3f5c830fd'}]"
