id,pageNum,searchTerm,type,contributer,description,keywords,image_urls,images
1065332303,1,seamless+pattern+ethnic,vector,Ezhevika,"Super Big set of 32 oriental patterns. White and gold background with Arabic ornaments. Patterns, backgrounds and wallpapers for your design. Textile ornament. Vector illustration.","pattern,arab,seamless,islam,ornament,background,gold,floral,orient,wallpaper,modern,line,arabesque,turkish,wall,set,arabian,abstract,paper,lace,decor,tile,graphic,spanish,style,art,asian,mosaic,muslim,vintage,eastern,old,repeat,ethnic,history,round,asia,east,ornate,arabic,curves,decoration,decorative,illustration,islamic,ornamental,sample,traditional",https://image.shutterstock.com/image-vector/super-big-set-32-oriental-600w-1065332303.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/super-big-set-32-oriental-600w-1065332303.jpg', 'path': 'full/f6879de1d5bdc1904e0bea1e2d3f73389a84282f.jpg', 'checksum': 'eaf338b70d966f10359704bb014b470e'}]"
552018073,1,seamless+pattern+ethnic,vector,yulianas,"Blue Ikat Ogee and Damascus ornament Seamless Background Pattern. Abstract background for textile design, wallpaper, surface textures.","pattern,ikat,boho,geometric,ethnic,abstract,tribal,texture,print,winter,design,indian,blue,wallpaper,aztec,background,ogee,damascus,home,retro,traditional,fabric,old,pillow,zag,zig,accessory,elegant,fashion,paper,case,fall,spring,style,summer,arabic,autumn,backdrop,birthday,card,curtains,decor,invitation,navajo,phone,scrapbooking,template,textile,wedding,wrapping",https://image.shutterstock.com/image-vector/blue-ikat-ogee-damascus-ornament-600w-552018073.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/blue-ikat-ogee-damascus-ornament-600w-552018073.jpg', 'path': 'full/ed9f1b5d71a18188a20d65e7e0a14b2e53b85479.jpg', 'checksum': '76bcc673365cc59333958f2b2e9d23d2'}]"
1301308228,1,seamless+pattern+ethnic,illustration,Ozge+Basaran,"Shibori, tie dye, abstract batik brush seamless and repeat pattern design","dye,tie,pattern,seamless,batik,repeat,blue,print,indigo,background,psychedelic,brush,texture,ethnic,abstract,hippie,fabric,fashion,african,cloth,white,abstract pattern,african pattern,art,artistic,backdrop,beauty,color,cotton,dark blue,decorate,design,dyeing,indigo pattern,material,painting,retro,textile,tie dye,wallpaper",https://image.shutterstock.com/image-illustration/shibori-tie-dye-abstract-batik-600w-1301308228.jpg,"[{'url': 'https://image.shutterstock.com/image-illustration/shibori-tie-dye-abstract-batik-600w-1301308228.jpg', 'path': 'full/56fe4e2c6534660cf5a1703da1450f7e1430232d.jpg', 'checksum': 'dabb0df7a0eca9708f82ce4ebffc9083'}]"
338313980,1,seamless+pattern+ethnic,vector,amirage,"Vector abstract seamless patchwork pattern with geometric and floral  ornaments, stylized flowers, dots, snowflakes and lace. Vintage boho style.","geometric,seamless,flower,ethnic,tile,vector,ornament,tapestry,carpet,mosaic,patchwork,rug,blue,chintz,indian,indigo,background,moroccan,rustic,vintage,japan,textile,ceramic,decor,fabric,hand,jacquard,ornate,asian,fantasy,linen,needlework,texture,turkish,unusual,arabic,backdrop,blanket,canvas,decoration,decorative,drawing,material,oriental,ornamental,retro,scrapbook,silk,tissue,upholstery",https://image.shutterstock.com/image-vector/vector-abstract-seamless-patchwork-pattern-600w-338313980.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/vector-abstract-seamless-patchwork-pattern-600w-338313980.jpg', 'path': 'full/c9fe7324927a0a573648a3bcdf3946fc603aafea.jpg', 'checksum': '6ca8f153af2c3b0e2494d7094f196d3a'}]"
633427640,1,seamless+pattern+ethnic,vector,TaniaAnisimova,"Colorful seamless pattern with decorative flowers. Paisley and roses. Indian style. Indonesian batik. Classic paisley. Design for fabric, carpet, textile, wrapping paper, home decor, postcards, print","pattern,paisley,seamless,flower,indian,floral,abstract,ethnic,design,fashion,vector,oriental,lace,vintage,fabric,ornament,background,fresco,style,wallpaper,decorative,india,persian,repeat,textile,graphic,modern,ancient,eastern,illustration,leaf,rose,tile,art,backdrop,elegant,flora,retro,beautiful,blooming,classic,decor,favorite,henna,hindi,mendy,repetition,revival,tiled,tradition",https://image.shutterstock.com/image-vector/colorful-seamless-pattern-decorative-flowers-600w-633427640.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/colorful-seamless-pattern-decorative-flowers-600w-633427640.jpg', 'path': 'full/a5a18774432b94336f020cddfb195d159daf8f06.jpg', 'checksum': 'e4ab7d5aef86fcd20384b01f0bd9a4cc'}]"
1199062741,1,seamless+pattern+ethnic,vector,PinkCactus,Hand drawn circular lines vector seamless background design in black and white. ,"organic,pattern,seamless,art,white,black,ethnic,vector,background,indigenous,texture,drawing,simple,wavy,aboriginal art,abstract,aztec,backdrop,black and white,black and white pattern,circles,circular,creative,curve,dashed lines,decor,decoration,decorative,design,dots,dotted line,element,fashion,geometric,graphic,hand drawn,illustration,indigenous art,line,lines,modern,mosaic,print,repetition,round,seamless pattern,textile,tileable,tribal,wallpaper",https://image.shutterstock.com/image-vector/hand-drawn-circular-lines-vector-600w-1199062741.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/hand-drawn-circular-lines-vector-600w-1199062741.jpg', 'path': 'full/34b4a342e45295cb02be56807162c2029a378b91.jpg', 'checksum': '77f1d7b1ddcdcf9e0eb6e517f789e87a'}]"
213302479,1,seamless+pattern+ethnic,vector,newline, Seamless pattern. Traditional Arabic design. ,"pattern,seamless,vector,background,arabesque,graphic,abstract,ornament,design,morocco,turkish,asian,spanish,tile,wallpaper,arabian,decor,illustration,orient,ethnic,muslim,net,mosaic,mesh,backdrop,arabic,islamic",https://image.shutterstock.com/image-vector/seamless-pattern-traditional-arabic-design-600w-213302479.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/seamless-pattern-traditional-arabic-design-600w-213302479.jpg', 'path': 'full/fc295148867876e477dead4c2975da7a0901a38b.jpg', 'checksum': 'ac8f0f9e924d74211bf3b59095d6bec4'}]"
728037976,1,seamless+pattern+ethnic,illustration,Patelbk,seamless watercolor flower,"pattern,paisley,ethnic,flower,floral,indian,abstract,border,print,vintage,background,baroque,damask,bold,oriental,ornament,white,decorative,persian,wallpaper,blue,fabric,texture,arabesque,artistic,backdrop,bright,colorful,decor,decoration,grunge,grungy,islamic,moroccan,psychedelic,retro,summer,up,vibrant",https://image.shutterstock.com/image-illustration/seamless-watercolor-flower-600w-728037976.jpg,"[{'url': 'https://image.shutterstock.com/image-illustration/seamless-watercolor-flower-600w-728037976.jpg', 'path': 'full/368e36253d58023253126abd3142ade7c4863394.jpg', 'checksum': 'b35a3206879653e78faf3d910d6bf8d0'}]"
1570938457,1,seamless+pattern+ethnic,vector,TaniaAnisimova,"Colorful seamless arabian pattern with climbing plants and decorative elements. Indian vector wallpaper. Floral design for wrapping paper, wallpaper, fabric, textile, carpet, mat, rug, cover. Vector","pattern,seamless,wallpaper,baroque,vintage,arabian,damask,flower,paisley,background,floral,textile,antique,arabesque,arabic,art,batik indonesia,decor,decoration,decorative,ethnic,fabric,fantasy,fashion,geometric,graphic,illustration,indian,indonesian,islamic,leaves,malaysian,ornament,ornamental,ornate,rapport,repeat,retro,royal,sarong,silk,style,swirl,texture,traditional culture,turkish,wedding,wrapping",https://image.shutterstock.com/image-vector/colorful-seamless-arabian-pattern-climbing-600w-1570938457.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/colorful-seamless-arabian-pattern-climbing-600w-1570938457.jpg', 'path': 'full/599f6c0e5ebec065509dbacb2aa817785c3616fd.jpg', 'checksum': '754cedc727367195186d29994a8bbd71'}]"
166645079,1,seamless+pattern+ethnic,vector,newline,Ornamental seamless pattern. Vector abstract background.,"pattern,geometric,vector,seamless,arab,ornament,islam,background,arabesque,orient,design,abstract,asian,motif,texture,turkish,morocco,muslim,architecture,vintage,mosaic,wallpaper,ethnic,culture,tile,art,arabian,religious,spanish,star,asia,east,element,old,illustration,ornate,decor,symmetry,arabic,decoration,islamic,oriental,ornamental,traditional",https://image.shutterstock.com/image-vector/ornamental-seamless-pattern-vector-abstract-600w-166645079.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/ornamental-seamless-pattern-vector-abstract-600w-166645079.jpg', 'path': 'full/5911f51004310bbac293688d5c82b032719fbd61.jpg', 'checksum': '66e730a6bea898b4c9ba0f88281a3eb5'}]"
