id,pageNum,searchTerm,type,contributer,description,keywords,image_urls,images
1046210452,1,seamless+pattern+jungle,vector,Helenaa,Seamless pattern with tropical leaf palm . Vector illustration.,"pattern,gold,wallpaper,seamless,leaf,palm,vector,painting,background,design,modern,green,monstera,texture,print,floral,nature,tree,fabric,paper,rainforest,decor,jungle,spring,exotic,hawaii,illustration,graphic,trendy,botany,drawing,fashion,fresh,plant,style,summer,textile,white,wrapping,aurum,beautiful,branch,colorful,decoration,decorative,element,outline,season,tropical,vein",https://image.shutterstock.com/image-vector/seamless-pattern-tropical-leaf-palm-600w-1046210452.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/seamless-pattern-tropical-leaf-palm-600w-1046210452.jpg', 'path': 'full/ec263c67d886ac121c6cc9bd3d06d3b856f601b0.jpg', 'checksum': '9bfc5f1247c2a396fa18cb6ddf3099da'}]"
603902225,1,seamless+pattern+jungle,vector,Daria+Kubrak,Exotic leaves and flowers on geometrical ornament. Seamless tropical pattern. Vector background with paradise bird flower and rhombus.,"pattern,summer,flower,vector,seamless,background,beach,exotic,plant,bird,palm,pineapple,boho,fashion,pink,aloha,floral,jungle,leaf,design,wallpaper,hawaiian,hawaii,art,square,stripe,white,drawn,rainforest,backdrop,black,tree,hibiscus,monstera,nature,rhombus,green,heat,botany,south,beak,colorful,creature,illustration,natural,tropical,tropics",https://image.shutterstock.com/image-vector/exotic-leaves-flowers-on-geometrical-600w-603902225.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/exotic-leaves-flowers-on-geometrical-600w-603902225.jpg', 'path': 'full/749585ba642eeafa4ab5a058121a35c896146f1f.jpg', 'checksum': 'e9aa217d6b6e9f948c1d6c8fb05f7f92'}]"
1067168501,1,seamless+pattern+jungle,vector,Hanna+Kh,"Beautiful seamless vector tropical pattern with koi fish, anchor, corals. Abstract geometric texture, stripes. Perfect for wallpapers, web page backgrounds, surface textures, textile.","pattern,seamless,sea,wallpaper,floral,beach,japanese,tropical,vector,anchor,coral,fashion,flower,vintage,abstract,watercolor,illustration,summer,animal,boho,art,background,carp,japan,jungle,red,spring,aloha,botanical,foliage,invitation,party,branch,california,card,colorful,design,diving,drawing,fishing,hawaii,koi fish,leaf,miami,ornament,paradise,reef,romantic,surfing,wedding",https://image.shutterstock.com/image-vector/beautiful-seamless-vector-tropical-pattern-600w-1067168501.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/beautiful-seamless-vector-tropical-pattern-600w-1067168501.jpg', 'path': 'full/bf3cc1fb950bc2dc5d633c8d6cf71dec6dffe909.jpg', 'checksum': '98500e53701d4b6e70904abe2db80099'}]"
759771154,1,seamless+pattern+jungle,vector,Natallia+Novik,"Watercolor seamless pattern with tropical leaves: palms, monstera, passion fruit. Beautiful allover print with hand drawn exotic plants. Swimwear botanical design. Vector.","pattern,tropic,flower,watercolor,seamless,leaf,abstract,floral,print,palm,vector,banana,texture,jungle,foliage,background,bamboo,vintage,illustration,tree,art,painting,wallpaper,fashion,green,hawaiian,nature,textile,fabric,set,botany,element,exotic,garden,branch,beautiful,botanical,california,card,decoration,drawing,natural,paradise,plant,tropical",https://image.shutterstock.com/image-vector/watercolor-seamless-pattern-tropical-leaves-600w-759771154.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/watercolor-seamless-pattern-tropical-leaves-600w-759771154.jpg', 'path': 'full/5639465ebbb61e79e57bb8b3b1cf6e604bf6fb2d.jpg', 'checksum': '722aca9d0282b824ae801ef442b9ab6b'}]"
550994233,1,seamless+pattern+jungle,vector,NataliaKo,"Tropical palm leaves, jungle leaf seamless vector floral pattern background","tropic,palm,pattern,jungle,background,leaf,vector,tree,plant,wallpaper,texture,green,seamless,foliage,print,illustration,summer,exotic,beach,black,retro,brazil,dark,branch,garden,monstera,nature,fabric,flora,painting,hawaii,hawaiian,repeat,interior,miami,modern,spring,fashion,feminine,california,decoration,rapport,island,botanical,fashionable,popular,succulent,textile,tropical",https://image.shutterstock.com/image-vector/tropical-palm-leaves-jungle-leaf-600w-550994233.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/tropical-palm-leaves-jungle-leaf-600w-550994233.jpg', 'path': 'full/ad7c2cbefa90d21352ab5bd0c5c1a99e1cda9c99.jpg', 'checksum': '6b6d63fccb914121ee4b1a36592712ad'}]"
1024816108,1,seamless+pattern+jungle,vector,annandpen,Seamless floral pattern with a large-scale design of a woody vine with exotic flowers and smaller birds and tropic leaves on a  white background. The elegant the template for fashion prints. ,"flower,seamless,indian,jungle,wallpaper,background,simple,liberty,elegant,exotic,victorian,vintage,field,modern,pretty,texture,garden,fond,spring,blossom,cute,folklore,palm,plant,summer,tiny,forest,repeat,retro,fabric,leaf,bloom,colors,exotic flowers,fantasy background,fashion print,floral pattern,florals,gift wrap,leaves and flowers,patterns,prints,random,simplicity,smaller birds,tree of life,tropical,vector illustration,wild flowers,woody vine",https://image.shutterstock.com/image-vector/seamless-floral-pattern-largescale-design-600w-1024816108.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/seamless-floral-pattern-largescale-design-600w-1024816108.jpg', 'path': 'full/d5d45f8f23af10528e97b05b0492548477c88c6c.jpg', 'checksum': 'def33e122a0d4dd70c8e74be87c2d1ba'}]"
1542897317,1,seamless+pattern+jungle,vector,Yuli23,Jungle landscape with wild animals. Vector.,"jungle,animal,forest,wallpaper,landscape,pattern,vector,illustration,africa,art,flower,nature,plant,zoo,design,background,safari,adventure,floral,rainforest,monkey,panorama,seamless,tree,ecology,flat,grass,lion,palm,wildlife,banner,beautiful,exotic,flora,green,leaves,park,spring,water,animals,beauty,character,cow,farm,morning,outdoor,scenery,sun,tropical,white",https://image.shutterstock.com/image-vector/jungle-landscape-wild-animals-vector-600w-1542897317.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/jungle-landscape-wild-animals-vector-600w-1542897317.jpg', 'path': 'full/a6a2db217a0f9fb97d1e32f7dfd01aa5161560b5.jpg', 'checksum': 'cdfb9f5b148a8a6c1a51f635bead1d4c'}]"
428203480,1,seamless+pattern+jungle,vector,NataliaKo,"Tropical palm leaves, jungle leaves seamless vector floral pattern background","tropic,pattern,palm,leaf,background,vector,tree,green,seamless,plant,jungle,print,summer,wallpaper,texture,hawaii,beach,nature,spring,vintage,safari,white,design,exotic,painting,modern,art,artwork,isolated,beauty,brazil,fashion,fabric,flora,garden,branch,miami,popular,decoration,island,california,textile,feminine,botanical,colorful,fashionable,illustration,subtropical",https://image.shutterstock.com/image-vector/tropical-palm-leaves-jungle-seamless-600w-428203480.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/tropical-palm-leaves-jungle-seamless-600w-428203480.jpg', 'path': 'full/ad85550993d982d711d0b639d288dbd217ebba42.jpg', 'checksum': 'c5e66e06b73569eb292f2596daea48eb'}]"
1702484050,1,seamless+pattern+jungle,vector,Irina+Dolgikh,"Safari Zebras in Tropical Plants, Tropics Children Wallpaper Design, Nursery Seamless Pattern, Wildlife Exotic Landscape Africa, Cute Baby Room Print","print,botanical,children,drawing,jungle,palm,plants,wallpaper,wild,africa,animals,art,baby room,background,cute,desert,european,exotic,fabric design,fine line,floral,graphics,holiday,illustration,ink,leaves,nature,nude,nursery,oriental,outline,paradise,realistic,retro,safari,seamless pattern,summer,textile,trees,tropical,tropics,vacation,vector,vintage,wildlife,wrapping paper,zebra",https://image.shutterstock.com/image-vector/safari-zebras-tropical-plants-tropics-600w-1702484050.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/safari-zebras-tropical-plants-tropics-600w-1702484050.jpg', 'path': 'full/fc9cd786ec839efddc1d9003800e78cd195c774f.jpg', 'checksum': '86b11b148931d2b4674d5af26ff96b63'}]"
1257882820,1,seamless+pattern+jungle,vector,TOTSAAstudio,"Abstract pattern with leaves and flowers. Seamless with flowers vector on modern style. Hawaii's exotic landscape is a tropical paradise. Designed for fabrics, textiles, wrapping paper.","pattern,jungle,tropical,abstract,background,color,hawaii,textile,trendy,illustration,exotic,spring,vector,botanical,nature,summer,art,foliage,design,leaf,backdrop,graphic,holiday,leaves,beautiful,card,colorful,cover,decoration,decorative,drawing,drawn,fabric,fashion,flora,green,hawaiian,layout,ornament,palm,poster,print,repetition,style,template,texture,travel,tropic,tropical leaves,wallpaper",https://image.shutterstock.com/image-vector/abstract-pattern-leaves-flowers-seamless-600w-1257882820.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/abstract-pattern-leaves-flowers-seamless-600w-1257882820.jpg', 'path': 'full/f1ef081a27c9288e0e6fe458627ce864ef5ba698.jpg', 'checksum': '218bfa0c9703eb8eaba57b9c6f99460e'}]"
