id,pageNum,searchTerm,type,contributer,description,keywords,image_urls,images
539326531,1,seamless+pattern+dot,vector,Alliya2000,Seamless monochrome polka dot pattern. Dotted background,"dot,pattern,vector,black,polka,seamless,white,background,circle,geometric,texture,design,baby,spot,graphic,kids,wallpaper,cloth,cute,print,retro,round,abstract,fabric,modern,repeat,tile,vintage,boy,color,grey,ornament,textile,art,backdrop,cover,decor,decoration,decorative,dotted,geometrical,illustration,paper,pastel,scrapbook,wrapping",https://image.shutterstock.com/image-vector/seamless-monochrome-polka-dot-pattern-600w-539326531.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/seamless-monochrome-polka-dot-pattern-600w-539326531.jpg', 'path': 'full/0aef1faa46bf29cd132bf95585e37736bf8c9a64.jpg', 'checksum': '3d37d1d140aab41bef21307956fada1a'}]"
132664817,1,seamless+pattern+dot,vector,CurlyPat,Vector seamless pattern. Modern stylish texture. Repeating geometric tiles with dotted rhombus,"pattern,background,seamless,geometric,vector,line,texture,dot,wallpaper,modern,simple,stripe,abstract,ornament,fabric,design,rhombus,repeat,black,point,delicate,tile,graphic,funky,old,stylish,weave,decoration,element,structure,textile,endless,art,digital,regular,abstract background,backdrop,beautiful,blow,decor,geometric pattern,geometrical,graphical,ornate,periodic,seamless pattern,square,square pattern,textured,tracery",https://image.shutterstock.com/image-vector/vector-seamless-pattern-modern-stylish-600w-132664817.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/vector-seamless-pattern-modern-stylish-600w-132664817.jpg', 'path': 'full/eb207f3a705d51983c1829f7121f49b38d7867c5.jpg', 'checksum': '8a5b0d90413ff3830e86cbf67f1f6aff'}]"
249639973,1,seamless+pattern+dot,vector,Exclusivelly,White seamless texture. Vector background,"pattern,dot,point,background,vector,grid,seamless,simple,texture,white,paper,repeat,light,clean,design,web,wallpaper,abstract,element,square,wall,grey,template,business,carbon,3d,classic,creative,modern,optical,ceramic,decorative,panel,shape,surface,website,concept,cover,decor,dotted,elegance,elegant,gray,illusion,illustration,interior,macro,packing,style,trendy",https://image.shutterstock.com/image-vector/white-seamless-texture-vector-background-600w-249639973.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/white-seamless-texture-vector-background-600w-249639973.jpg', 'path': 'full/5d8f4a2c013d0164d2cf9a41a7f4181dbe838952.jpg', 'checksum': '00e7003ef53b8067954dd0eebd5413d0'}]"
131298119,1,seamless+pattern+dot,vector,ANNA_KOVA,"100 Universal different vector seamless patterns (tiling). Endless texture can be used for wallpaper, pattern fills, web page background,surface textures. Set of monochrome geometric ornaments.","pattern,vector,seamless,geometric,background,line,tile,design,vintage,abstract,icon,set,border,floral,simple,square,circle,black,wallpaper,dot,white,collection,repeat,print,color,swatch,diagonal,element,art,decorative,backdrop,grunge,monochrome,repeatable,texture",https://image.shutterstock.com/image-vector/100-universal-different-vector-seamless-600w-131298119.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/100-universal-different-vector-seamless-600w-131298119.jpg', 'path': 'full/dc53bc9e3bdcda9a3cd8e6b94f12b930341a06e6.jpg', 'checksum': 'a393a9ff4e1a947124a51b17077f37fe'}]"
522563356,1,seamless+pattern+dot,vector,krasnovich,Seamless Stripe Pattern. Vector Monochrome Chaotic Texture. Fine Dots Background. Modern Minimal Web Texture,"pattern,dot,texture,line,background,grid,point,seamless,vector,geometric,minimal,fine,white,lattice,random,futuristic,simple,structure,shape,black,graphic,repeat,stripe,fabric,monochrome,paper,abstract,elegant,regular,tile,art,chaotic,design,hipster,mosaic,pixel,print,decorative,fashion,modern,snowflake,surface,textile,wallpaper,element,minimalistic,ornament,style,vintage,wrapping",https://image.shutterstock.com/image-vector/seamless-stripe-pattern-vector-monochrome-600w-522563356.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/seamless-stripe-pattern-vector-monochrome-600w-522563356.jpg', 'path': 'full/f680d30fcdbe82e939f3fe3214e3a8cf09fa2c80.jpg', 'checksum': '80a3ea6202990591119c14b45ede128d'}]"
1806850564,1,seamless+pattern+dot,vector,katyakatya,"Trendy seamless patterns set. Cool abstract and floral design. For fashion fabrics, kid’s clothes, home decor, quilting, T-shirts, cards and templates, scrapbooking etc. Vector illustration","pattern,seamless,floral,fabric,autumn,cute,print,spring,texture,vector,yellow,abstract,baby,collection,flower,heart,illustration,kid,modern,nature,organic,pastel,wallpaper,background,blush,circle,doodle,dot,geometric,summer,template,trendy,watercolor,crayon,design,elegant,girl,graphic,gray,hand drawn,mustard,pink,plant,polka,scribble,shower,simple,small,square,textile",https://image.shutterstock.com/image-vector/trendy-seamless-patterns-set-cool-600w-1806850564.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/trendy-seamless-patterns-set-cool-600w-1806850564.jpg', 'path': 'full/1871846f4b6778ef1c19649fcf076362fe99c7bb.jpg', 'checksum': '57b16b192b16aaadf641b10333c001a7'}]"
1028829742,1,seamless+pattern+dot,vector,natkacheva,"Creative seamless pattern with hand drawn textures. Abstract background. Polka dot pattern.
","dot,pattern,seamless,color,polka,brush,vector,print,simple,trendy,illustration,memphis,fun,circle,round,fashion,geometric,graphic,repeat,vintage,abstract,art,cute,drawn,fabric,hand,pin,retro,texture,trend,backdrop,background,card,cartoon,colorful,creative,decoration,decorative,design,dots,dotted,modern,paper,pink,shape,style,textile,wallpaper,white,wrapping",https://image.shutterstock.com/image-vector/creative-seamless-pattern-hand-drawn-600w-1028829742.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/creative-seamless-pattern-hand-drawn-600w-1028829742.jpg', 'path': 'full/430be394049990156b126cc1129fc48e64a61c2c.jpg', 'checksum': '3b64f443432f4d0d61769600d844f99f'}]"
134954720,1,seamless+pattern+dot,vector,fearsonline,Seamless pattern with hipsters.,"pattern,seamless,fashion,hipster,vector,background,people,doodle,draw,girl,man,glasses,stylish,illustration,bow,crowd,element,woman,culture,fun,happy,nerd,object,stripe,tie,backdrop,hair,card,many,mustache,spring,beard,foliage,holiday,sign,boy,decoration,greeting,style,template,black and white,congratulation,dot,hand drawn,lovely,monocle,ribbon,sample,sunglasses,symbol",https://image.shutterstock.com/image-vector/seamless-pattern-hipsters-600w-134954720.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/seamless-pattern-hipsters-600w-134954720.jpg', 'path': 'full/0279a8f6b084c409fc779549d741e71dcd2487ac.jpg', 'checksum': '679f5e68a83f52e01148b3b2a1c11b0a'}]"
133842608,1,seamless+pattern+dot,vector,lorelinka,Seamless vector pattern with colorful blots.,"pattern,seamless,neon,texture,paint,dot,splash,vector,spray,grunge,abstract,modern,black,fabric,space,bright,fluorescent,spot,background,party,spatter,blot,disco,ink,ornament,wall,design,dark,decorative,element,fluid,repeat,chaotic,drop,illustration,splat,wallpaper,artistic,backdrop,blob,celebration,colorful,concept,decoration,graffiti,paintbrush,style,web,young",https://image.shutterstock.com/image-vector/seamless-vector-pattern-colorful-blots-600w-133842608.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/seamless-vector-pattern-colorful-blots-600w-133842608.jpg', 'path': 'full/f6c1a4fc9bd2fe5caa52e2da10dfa61a48cd249a.jpg', 'checksum': '96082ca78931b4b2cb7655bb65adbd2e'}]"
1574964643,1,seamless+pattern+dot,vector,SUNATTAKIT,black white seamless pattern with dot grid,"dot,pattern,point,circle,background,grid,vector,texture,line,matrix,journal,white,graphic,notebook,polka,square,black,repeat,draft,floor,spot,wallpaper,abstract,bullet,modern,office,page,paper,seamless,sheet,template,vintage,backdrop,basic,chart,classic,clean,dotted,geometric,graph,isometric,monochrome,notepad,plan,print,regular,retro,school,simple,thin",https://image.shutterstock.com/image-vector/black-white-seamless-pattern-dot-600w-1574964643.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/black-white-seamless-pattern-dot-600w-1574964643.jpg', 'path': 'full/6de3cc57e6de492c10e86e281452f31f8339e89e.jpg', 'checksum': '56422664379338a91cd10f7194d4fdef'}]"
746283649,1,seamless+pattern+dot,vector,ExpressVectors,Bundle of Memphis seamless patterns. Fashion 80-90s. Black and white textures. ,"background,memphis,seamless,abstract,fabric,graphic,set,modern,fun,textile,white,minimal,simple,design,style,black,cloth,art,shape,curve,element,fashion,wallpaper,website,collection,repeat,template,card,trendy,cover,mosaic,creative,funky,web,artistic,stylish,concept,decor,decoration,dots,fashion 90s,lines,minimalistic,patterns,retro 80s,stripes,texture,vector illustration,wrapping paper",https://image.shutterstock.com/image-vector/bundle-memphis-seamless-patterns-fashion-600w-746283649.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/bundle-memphis-seamless-patterns-fashion-600w-746283649.jpg', 'path': 'full/744c90c4539f907526a34acd3dd0bef159e2120c.jpg', 'checksum': '561c5bbff57cb4d0180b2f5b8bd6a261'}]"
1055793323,1,seamless+pattern+dot,vector,Olga+Rom,"Vector seamless pattern with hand drawn gold glitter textured brush strokes and stripes hand painted. Black, gold, pink, green, brown colors.","stripe,pattern,dot,geometric,bohemian,design,watercolor,gold,paint,seamless,brush,vector,glitter,line,golden,hand,texture,color,pink,plaid,abstract,background,drawn,fabric,green,mark,print,style,tartan,white,boho,fashion,retro,textile,1950s,1960s,art,bold,bright,contemporary,cross,dotted,grunge,grungy,illustration,striped,stroke,textured,wallpaper,wrap",https://image.shutterstock.com/image-vector/vector-seamless-pattern-hand-drawn-600w-1055793323.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/vector-seamless-pattern-hand-drawn-600w-1055793323.jpg', 'path': 'full/de7a0af08ba26506636b000ea0c0c333984a6d87.jpg', 'checksum': 'f96956c999eda5873c9b0a83380741eb'}]"
128027708,1,seamless+pattern+dot,vector,artefficient,"Jumbo Polka Dot, Gingham and Diagonal Stripe Patterns in Aqua Blue, White and Silver. Pattern Swatches with Global Colors. Matches my other ""White Christmas Backgrounds"" Image ID: 118541659; 147772760","pattern,background,stripe,seamless,vector,diagonal,blue,gingham,scrapbook,christmas,grey,white,mint,geometric,gray,light,teal,modern,turquoise,wallpaper,silver,cool,paper,trendy,digital,pack,blog,swatch,collage,fashion,photo,aqua,textile,seafoam,jumbo,aqua blue,circles,dots,gingham pattern,global color,lines,mothers day,pastel color,polka dot,spots,stripes pattern,texture,tiffany blue",https://image.shutterstock.com/image-vector/jumbo-polka-dot-gingham-diagonal-600w-128027708.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/jumbo-polka-dot-gingham-diagonal-600w-128027708.jpg', 'path': 'full/70afec91327b104a5a1eda0742b489ad1f016ede.jpg', 'checksum': '90294a0c506b26e9749e8aa91076e720'}]"
1519686380,1,seamless+pattern+dot,vector,oking,"Polka Dot Pattern. Ikat geometric folklore ornament. Memphis vintage, retro style. Children, kids sketch drawing.","pattern,geometric,ikat,seamless,abstract,ethnic,watercolor,flower,spot,background,geo,batik,boho,moroccan,brush,artistic,creative,design,gypsy,splash,art,aztec,blot,circle,color,colorful,cute,damask,decoration,endless,folk,folklore pattern,illustration,indian rug,ink,jacquard,mexico,motif,polka dot,south,splatter,stain,traditional,tribal,turkish,victorian wallpaper,zig zag",https://image.shutterstock.com/image-vector/polka-dot-pattern-ikat-geometric-600w-1519686380.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/polka-dot-pattern-ikat-geometric-600w-1519686380.jpg', 'path': 'full/54ae8fc432c94db76ffb1f0d29df683cc8233b6d.jpg', 'checksum': '8e3ff01ce38ae4c713576758bb0955c2'}]"
261721016,1,seamless+pattern+dot,vector,CurlyPat,Vector seamless pattern with dotted circles. Stylish background with randomly disposed spots. Monochrome minimalist graphic design. Tileable simple texture from small black dots,"dot,pattern,random,vector,background,texture,seamless,black,print,repeat,point,hipster,spotty,circle,fabric,monochrome,stylish,wallpaper,delicate,modern,swatch,tileable,creative,decoration,flat,graphic,ornament,tile,funky,trendy,wrapping,array,backdrop,contemporary,continuity,cover,decor,decorative,design,dotted,elegance,graphical,ornate,package,randomly,spots,textile,textured,tracery",https://image.shutterstock.com/image-vector/vector-seamless-pattern-dotted-circles-600w-261721016.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/vector-seamless-pattern-dotted-circles-600w-261721016.jpg', 'path': 'full/c9a3f633a0028768ebb6fe8d2aec167c4c0eeb9d.jpg', 'checksum': '888929d006896eaf4a0217c3d72a5902'}]"
