id,pageNum,searchTerm,type,contributer,description,keywords,image_urls,images
1780710572,1,seamless+pattern+terrazzo,vector,theworldofspring,Seamless trendy stone terrazzo texture. Hand-drawn repeatable pattern design in pastel colours. Surface pattern design for web and print use. Ideal for fabric and wrapping paper. Beautiful concrete.,"abstract,abstract pattern,architecture,backdrop,background,branding,classic,composition,concept,confetti,cover,curtain,decoration,design element,elegance,element,endless,fabric,flooring,futuristic,geometric shape,geometry,granite,graphic,identity,interior,marble,modern,mosaic,natural,noise,polished,poster,print,quartz,regular,repeat,sparse,spotted,swatch,terrazzo,textile,textured,tiling,trend,vector,wall,wallpaper,white,wrapping",https://image.shutterstock.com/image-vector/seamless-trendy-stone-terrazzo-texture-600w-1780710572.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/seamless-trendy-stone-terrazzo-texture-600w-1780710572.jpg', 'path': 'full/7e8092794cc199908359d3c49f7b725a0be12247.jpg', 'checksum': 'd63a6d5aefb5f99b5be66d5eac96d8e5'}]"
1471907813,1,seamless+pattern+terrazzo,vector,GoodStudio,"Collection of Terrazzo seamless patterns with colorful rock fragments. Set of backdrops with stone pieces or sprinkles. Bundle of rock textures. Vector illustration for wrapping paper, textile print.","terrazzo,abstract,mineral,modern,backdrop,crumb,pattern,seamless,vector,chip,collection,floor,illustration,print,scattered,set,texture,tile,wrapping,background,bundle,classic,colorful,composite,creative,decoration,decorative,design,endless,fabric,flat,flooring,fraction,fragment,geometric,italian,material,motley,natural,piece,rock,sprinkle,stone,style,stylish,textile,trendy,wall,wallpaper,white background",https://image.shutterstock.com/image-vector/collection-terrazzo-seamless-patterns-colorful-600w-1471907813.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/collection-terrazzo-seamless-patterns-colorful-600w-1471907813.jpg', 'path': 'full/988bf8ffdc5a1943c4656b8abd5dc71dfbfd030f.jpg', 'checksum': '7a9c7a0baa1776e37c4e5a0cc42ffd83'}]"
1782426335,1,seamless+pattern+terrazzo,vector,Chiken_brave,"Terrazzo flooring, seamless colorful pattern background. Abstract vector texture design for print on floor, wall, tile or textile.","abstract,art,background,black,bright,chips,circle,classic,color,colorful,concrete,design,fashion,floor,flooring,glass,granite,graphic,home,illustration,interior,marble,mosaic,mosaics,natural,pastel,patio,pattern,pavement,pebble,print,quartz,repeat,rock,seamless,speckled,stone,terazzo,terrazzo,textile,texture,tile,vector,venetian,vintage,wall",https://image.shutterstock.com/image-vector/terrazzo-flooring-seamless-colorful-pattern-600w-1782426335.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/terrazzo-flooring-seamless-colorful-pattern-600w-1782426335.jpg', 'path': 'full/ff2ae4343f5f3cd2e96ff06b61e13151952eb9d8.jpg', 'checksum': '2cd81c3c8562655938dc911a3aa167cb'}]"
1075178540,1,seamless+pattern+terrazzo,vector,laverock,"Terrazzo flooring vector seamless pattern. Texture of classic italian type of floor in Venetian style composed of natural stone, granite, quartz, marble, glass and concrete","terrazzo,stone,marble,seamless,pattern,floor,vector,rock,tile,mosaic,background,quartz,pavement,textile,abstract,black,white,color,italian,venetian,classic,design,glass,material,pebble,repeat,endless,grey,regular,template,colorful,composite,concrete,diverse,fill,flooring,fragment,granite,light,natural,patio,piece,repeatable,sample,shard,splinter,surface,swatch,texture,tiling",https://image.shutterstock.com/image-vector/terrazzo-flooring-vector-seamless-pattern-600w-1075178540.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/terrazzo-flooring-vector-seamless-pattern-600w-1075178540.jpg', 'path': 'full/2e6335e8dc76444f71386d233bb76620c3fbad35.jpg', 'checksum': 'dcc24df507b488d772ea1c6a913915f3'}]"
1773015797,1,seamless+pattern+terrazzo,vector,andrew1998,Terrazzo seamless pattern. Modern collage. Pastel colors. Marble,"abstract,backdrop,background,chaotic,color,colorful,concrete,decorative,endless,fabric,flat,floor,flooring,geometric,glass,granite,graphic,illustration,italian,marble,material,modern,mosaic,natural,old,patio,pattern,piece,pink,quartz,repeat,repeatable,rock,sample,scattered,seamless,splinter,stone,style,surface,terrazzo,textile,texture,tile,tiling,vector,venetian,vintage,wall,wallpaper",https://image.shutterstock.com/image-vector/terrazzo-seamless-pattern-modern-collage-600w-1773015797.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/terrazzo-seamless-pattern-modern-collage-600w-1773015797.jpg', 'path': 'full/9faa7c8ba7b0e4deb6f519f2baa262f349f146d5.jpg', 'checksum': '25d523aec36ca07000cfc8676c4bfea3'}]"
1454413229,1,seamless+pattern+terrazzo,vector,mwiederrecht,Multicolored grungy recycled speckled elements natural paper terrazzo camouflage textured surface seamless repeat vector pattern swatch,"texture,pattern,speckled,terrazzo,colorful,recycle,cork,seamless,abstract,background,camo,camouflage,cement,color,concrete,confetti,decor,decoration,design,dirty,environment,fabric,fashion,grunge,home ware,macro,material,multicolor,natural,neutral,old,paper,powder,print,recycled,repeat,rock,rough,speckle,speckles,spot,stone,surface,swatch,textile,textured,used,vector,wallpaper",https://image.shutterstock.com/image-vector/multicolored-grungy-recycled-speckled-elements-600w-1454413229.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/multicolored-grungy-recycled-speckled-elements-600w-1454413229.jpg', 'path': 'full/72f837909f672c41848cbce59207db2e0074f1bb.jpg', 'checksum': '91d72c51bc35a3003a399f4f6428f4c4'}]"
1775946569,1,seamless+pattern+terrazzo,photo,kalpesh+kothiya,"Terrazzo marble flooring seamless pattern in bright colors. Texture of classic italian type of floor in Venetian style composed of natural stone, granite, quartz, marble, cement and concrete","terrazzo,counter,crystal,3d marble,antique,background,breccia,canvas,ceramic,decoration,design,effect,elegance,floor,flooring,gemstone,glossy,granite,graphic,gray,grey,high gloss,interior,interior wall,italian,luxury,marble,marble texture,marbled,matt,modern,mosaic,natural,nature,polished,porcelain,quartz,rustic,slab,stone,stucco,terrazzo flooring,texture,textured,textures,tile,tiles,tracery,wall,wall tiles",https://image.shutterstock.com/image-photo/terrazzo-marble-flooring-seamless-pattern-600w-1775946569.jpg,"[{'url': 'https://image.shutterstock.com/image-photo/terrazzo-marble-flooring-seamless-pattern-600w-1775946569.jpg', 'path': 'full/d2cad449ca2d7fb0ea0ef84bdcff5fe2304e2d8d.jpg', 'checksum': '240fce5fcc52b9c236a881e0f454df9f'}]"
1151537054,1,seamless+pattern+terrazzo,vector,Olgastocker,"Terrazzo seamless pattern. Vector texture of mosaic floor consisting of stone fragments, chips of marble, granite, limestone, quartz, glass splinters and concrete. Classic Italian flooring background","terazzo,terrazzo,pattern,seamless,marble,texture,concrete,granite,quartz,vector,background,confetti,floor,kitchen,memphis,rock,slab,surface,wallpaper,abstract,art,bathroom,beige,boho,brown,burgundy,color,countertop,design,fashion,flooring,fun,home decor,illustration,interior,luxury,material,mineral,modern,mosaic,natural,polished,print,stone,style,tile,top,venetian,white,yellow",https://image.shutterstock.com/image-vector/terrazzo-seamless-pattern-vector-texture-600w-1151537054.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/terrazzo-seamless-pattern-vector-texture-600w-1151537054.jpg', 'path': 'full/eaa058231f7946c1ef33d557e07f5775e09b1005.jpg', 'checksum': 'e399e3e0c4fc0cd2262fc63835e72179'}]"
1142547752,1,seamless+pattern+terrazzo,vector,laverock,Terrazzo flooring vector seamless pattern in gray colors,"terrazzo,pattern,seamless,texture,abstract,fill,flooring,grey,background,classic,color,composite,concrete,dark,diverse,endless,floor,fragment,glass,granite,gray,italian,light,marble,material,mosaic,natural,patio,pavement,piece,quartz,regular,repeat,repeatable,repeating,rock,sample,shard,splinter,stone,surface,swatch,template,textile,tile,tiling,vector,venetian",https://image.shutterstock.com/image-vector/terrazzo-flooring-vector-seamless-pattern-600w-1142547752.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/terrazzo-flooring-vector-seamless-pattern-600w-1142547752.jpg', 'path': 'full/1939cd1fb6ced97cb42cc2f3d3622a2ff294cbfc.jpg', 'checksum': 'e62e6b9bce6ecfbf12b28dd961365fbf'}]"
1695547000,1,seamless+pattern+terrazzo,vector,Sandra+Mart,Terrazzo seamless pattern. Modern colorful tile texture. Vector abstract background.,"pattern,terrazzo,floor,seamless,abstract,art,backdrop,background,beige,collage,colorful,concept,cover,creative,decor,design,dot,element,fashion,geometric,granite,graphic,gray,green,grunge,hipster,illustration,isolated,marble,modern,mosaic,orange,paper cut,print,red,retro,rock,shape,stone,style,stylish,surface,template,texture,tile,trendy,triangle,vector,wallpaper,white",https://image.shutterstock.com/image-vector/terrazzo-seamless-pattern-modern-colorful-600w-1695547000.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/terrazzo-seamless-pattern-modern-colorful-600w-1695547000.jpg', 'path': 'full/3e7af2181d8f4bae76ac75abf17ef048adf228d8.jpg', 'checksum': '7f7233022b6c7805847ad0be8dc632aa'}]"
