id,pageNum,searchTerm,type,contributer,description,keywords,image_urls,images
1018541881,1,seamless+pattern+baroque,vector,Maryna+Butko,"Vintage baroque pattern seamless vector in classic flower graphic style background for backdrop, template, cover page design , fabric, textile.Damask seamless floral pattern with roses.","pattern,floral,seamless,vector,abstract,asian,graphic,tattoo,vintage,art,backdrop,background,black and white,blossom,cover page design,decoration,decorative,design,element,fabric,flower,illustration,nature,nature background,ornament,paper,pattern vector,retro,rich,romance,rose,royal,set,spring,style,template,textile,texture,traditional,victorian,wallpaper,wave,wedding",https://image.shutterstock.com/image-vector/vintage-baroque-pattern-seamless-vector-600w-1018541881.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/vintage-baroque-pattern-seamless-vector-600w-1018541881.jpg', 'path': 'full/574b6a44c5a13bf76f4bf5f4719cc6dd7b43dae4.jpg', 'checksum': '406fa39780c0cf257548c702b84940fc'}]"
397475683,1,seamless+pattern+baroque,vector,RODINA+OLENA,Seamless abstract floral pattern. Vector gold and white background. Geometric leaf ornament,"pattern,royal,seamless,ornament,luxury,geometric,vector,background,small,gold,simple,japanese,flower,abstract,oriental,modern,decor,graphic,leaf,floral,white,old,tile,delicate,wedding,carpet,curtain,wallpaper,design,fabric,baroque,color,damask,dot,fashion,ornate,art,elements,abstraction,cover,decoration,decorative,elegant,flourishes,gray,illustration,packaging,point,repeating,unusual",https://image.shutterstock.com/image-vector/seamless-abstract-floral-pattern-vector-600w-397475683.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/seamless-abstract-floral-pattern-vector-600w-397475683.jpg', 'path': 'full/d5b69778b2e69e954f6880a26784d5da59895cb1.jpg', 'checksum': '2d5c87b415ea28f9f156f9e181eb5830'}]"
403617784,1,seamless+pattern+baroque,vector,EvRum,Vintage pattern in baroque style with small flowers and swirls on white ,"pattern,baroque,rococo,damask,flower,rose,renaissance,floral,vector,antique,design,ornament,victorian,small,classic,seamless,decor,vintage,royal,white,black,art,line,romantic,style,background,bud,blossom,illustration,luxury,scroll,traditional,leaf,peony,repeat,beautiful,decoration,decorative,flowers,graphic,lush,nature,old,revival,spring,swirl",https://image.shutterstock.com/image-vector/vintage-pattern-baroque-style-small-600w-403617784.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/vintage-pattern-baroque-style-small-600w-403617784.jpg', 'path': 'full/9b128bb96d8cb2015e720855655eb25c8a2f8465.jpg', 'checksum': '530196233269c4fbf28dc554a6468c57'}]"
1115923313,1,seamless+pattern+baroque,vector,oking,"Talavera pattern.  Azulejos portugal. Turkish ornament. Moroccan tile mosaic. Spanish porcelain. Ceramic tableware, folk print. Spanish pottery. Ethnic background. Mediterranean seamless  wallpaper.","seamless,damask,flower,design,floral,watercolor,boho,geometric,print,vintage,ceramic,blue,arabesque,motif,texture,portugal,majolica,mexico,mosaic,leaf,pottery,modern,navajo,square,white,barcelona,oriental,american,cute,islamic,peru,talavera,arab,baroque,chinese wallpaper,dutch tiles,ethnic background,folklore frame,geometrical,indian art,indian patchwork,japanese pattern,moroccan tile,portuguese azulejo,south,spanish porcelain,texture border,tunisian,turkish embroidery,vector ornament",https://image.shutterstock.com/image-vector/talavera-pattern-azulejos-portugal-turkish-600w-1115923313.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/talavera-pattern-azulejos-portugal-turkish-600w-1115923313.jpg', 'path': 'full/f7c0eea48260c71137b8780cae141324cc16d93a.jpg', 'checksum': '311fe01689fe77c2ef9c600d63cd196f'}]"
567953839,1,seamless+pattern+baroque,vector,RODINA+OLENA,Seamless floral vector pattern. Pink and white background. Graphic modern pattern.,"pattern,pink,flower,seamless,paper,floral,japanese,texture,wall,vector,wedding,abstract,background,oriental,vintage,white,baroque,damask,decorative,design,luxury,simple,wallpaper,asian,beauty,carpet,elegant,fashion,flourishes,illustration,modern,ornate,retro,rich,royal,square,art,classic,color,cover,decor,elements,fabric,graphic,grid,line,ornament,repeating,style,tile",https://image.shutterstock.com/image-vector/seamless-floral-vector-pattern-pink-600w-567953839.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/seamless-floral-vector-pattern-pink-600w-567953839.jpg', 'path': 'full/e5e9d0343f3ff027d9f424b3e2ca8944e84f32dc.jpg', 'checksum': 'affd458a5d3342e85e1e38dadc38f458'}]"
1162737403,1,seamless+pattern+baroque,vector,RODINA+OLENA,"Wallpaper in the style of Baroque. Seamless vector background. White and blue floral ornament. Graphic pattern for fabric, wallpaper, packaging. Ornate Damask flower ornament","pattern,seamless,vintage,abstract,ornament,vector,background,baroque,carpet,luxury,retro,royal,antique,backdrop,blue,classic,damask,decor,decoration,decorative,design,elegant,element,fabric,floral,flower,foliage,graphic,illustration,leaf,old,ornamental,ornate,renaissance,repeating,repetition,revival,richly,rococo,silk,swatch,template,textile,texture,tile,victorian,wallpaper,wedding,white,wrapping",https://image.shutterstock.com/image-vector/wallpaper-style-baroque-seamless-vector-600w-1162737403.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/wallpaper-style-baroque-seamless-vector-600w-1162737403.jpg', 'path': 'full/832c70bc6f76b996348fd45c80b685c0bdda0913.jpg', 'checksum': '9a189aa48f6f82287f0340af6c5a9694'}]"
1221072322,1,seamless+pattern+baroque,vector,Yuli23,"Seamless pattern with belts, chain and braid for fabric design. Vector.","chain,pattern,belt,baroque,border,seamless,abstract,embroidery,accessory,background,black,bracelet,braid,buckle,casual,collection,decoration,design,drawn,elegant,element,fabric,fashion,flat,frame,fringe,gift,glass,gold,icon,illustration,isolated,leather,line,male,metal,ornament,realistic,repair,repeat,retro,set,shiny,strap,stripe,tile,uniform,vector,wallpaper",https://image.shutterstock.com/image-vector/seamless-pattern-belts-chain-braid-600w-1221072322.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/seamless-pattern-belts-chain-braid-600w-1221072322.jpg', 'path': 'full/452986afa71e0c43063eb836774d4d838b329588.jpg', 'checksum': 'da26e9bb93f97706a2acadf331a454bb'}]"
1707075502,1,seamless+pattern+baroque,vector,MiSt21,Vector illustration. Damask seamless flowers quality pattern. Baroque Classicism. ,"background,fabric,silk,classic,damask,pattern,baroque,decorative,paper,rococo,textile,victorian,antique,beauty,bright,curtains,damask wallpaper,decor,elegant,flowers,foliage,infinite,leaf,modern,old,renaissance,romantic,royal background,seamless,seamless tile,smooth,tile,tiled,vector,vintage sample,wall,wallpaper",https://image.shutterstock.com/image-vector/vector-illustration-damask-seamless-flowers-600w-1707075502.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/vector-illustration-damask-seamless-flowers-600w-1707075502.jpg', 'path': 'full/31bc029aa674bd8b0f8b2dead1741e8cb5120765.jpg', 'checksum': '311ec85796b6722ab713590393531540'}]"
1613260891,1,seamless+pattern+baroque,vector,tashsat,saemless abstract grey and white background,"pattern,wave,seamless,background,graphic,organic,modern,sea,abstract,curves,design,texture,backdrop,baroque,bright,curtains,decor,decoration,decorative,drapery,fabric,flourishes,foliage,grey,illustration,leafs,light,line,old,ornamental,outline,renaissance,repeating,retro,revival,seamless: sea,silhouette,silk,simple,style,symbol,textile,tile,tiled,vector,venetian,victorian,vintage,wallpaper,weave",https://image.shutterstock.com/image-vector/saemless-abstract-grey-white-background-600w-1613260891.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/saemless-abstract-grey-white-background-600w-1613260891.jpg', 'path': 'full/520112a11d4b1bca25d0dd25eb437357cc2b6b97.jpg', 'checksum': '18b659ea60be569a11706caf5e64f934'}]"
705924211,1,seamless+pattern+baroque,vector,diamond777,Seamless pattern. Beautiful fabric blooming realistic isolated flowers. Vintage background. Set Chamomile Rose petunia wildflowers. Wallpaper baroque. Drawing engraving. Vector victorian Illustration,"pattern,vintage,seamless,rose,baroque,vector,background,print,white,bouquet,painting,pink,realistic,victorian,blue,image,purple,retro,wallpaper,antique,design,drawing,garden,illustration,isolated,leaves,textile,botany,monochrome,plant,spring,style,artwork,beautiful,black and white,blooming,chamomile,colors,detailed,engraving,fabric canvas,flowers,graphic,medicine,nature,petunia,settings icon,tapestry material,wedding,wildflowers",https://image.shutterstock.com/image-vector/seamless-pattern-beautiful-fabric-blooming-600w-705924211.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/seamless-pattern-beautiful-fabric-blooming-600w-705924211.jpg', 'path': 'full/e84a928607bad922666aaf97bfa4fd9d501dd971.jpg', 'checksum': '9906c0fbd4a12dab97d5b24fcadfb9f2'}]"
