id,pageNum,searchTerm,type,contributer,description,keywords,image_urls,images
1026683902,1,seamless+pattern+classic,illustration,upintheattic,Seamless geometric pattern on paper texture. Art Deco background,"art,seamless,geometric,gold,wallpaper,background,elegant,blue,modern,line,classic,dark,design,golden,illustration,texture,retro,simple,art deco,art deco background,art deco pattern,backdrop,dark blue,decoration,elegant pattern,fine line,geometric background,geometric pattern,golden pattern,ornament,seamless background,subtle,wrapping paper",https://image.shutterstock.com/image-illustration/seamless-geometric-pattern-on-paper-600w-1026683902.jpg,"[{'url': 'https://image.shutterstock.com/image-illustration/seamless-geometric-pattern-on-paper-600w-1026683902.jpg', 'path': 'full/c836cd4b15cf366bbfd942ede63819a2c6e237d9.jpg', 'checksum': '29abbff6ec4fcca068d99d799e4c76f5'}]"
247276183,1,seamless+pattern+classic,vector,mamita,"Vector seamless pattern. Background for for fabrics, textiles, paper, wallpaper, web pages, wedding invitations. Vintage style. Floral ornament.","pattern,seamless,flower,floral,oriental,vintage,vector,background,classic,black,wallpaper,bouquet,design,illustration,leaf,white,bell,wedding,decoration,garden,summer,art,colorful,grass,green,nature,plant,retro,romantic,spring,textile,victorian,and,artwork,beautiful,beauty,blossom,botanical,congratulation,decor,elegance,flora,flowers,invitation,petal,shabby-chic",https://image.shutterstock.com/image-vector/vector-seamless-pattern-background-fabrics-600w-247276183.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/vector-seamless-pattern-background-fabrics-600w-247276183.jpg', 'path': 'full/e6bdd4425ba9d08a1e47d1259a56e2bbdfcf307f.jpg', 'checksum': '9c6f07256e0f7a6f7fd805db5a32bd07'}]"
129893300,1,seamless+pattern+classic,vector,ychty,retro geometric seamless pattern,"pattern,seamless,background,vintage,retro,geometric,vector,diamond,texture,square,diagonal,blue,fabric,abstract,color,material,wallpaper,classic,paper,argyle,blanket,grey,old,cotton,tweed,brown,repeating,socks,wear,design,harlequin,ornament,twill,grunge,menswear,print,style,symmetry,traditional,beige,clothes,clothing,concept,geometry,quilt pattern,textile",https://image.shutterstock.com/image-vector/retro-geometric-seamless-pattern-600w-129893300.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/retro-geometric-seamless-pattern-600w-129893300.jpg', 'path': 'full/98adffcaa3e925e9587402aa1051f002f80401ac.jpg', 'checksum': 'bf0a15c4c3b978577efcd634589e64c5'}]"
383512132,1,seamless+pattern+classic,vector,Imichman,"Set of seamless patterns. Modern stylish textures.  Abstract geometrical background. Original linear texture with repeating thin broken lines, polygons, difficult polygonal shapes","pattern,geometric,background,line,seamless,texture,vector,abstract,minimal,polygon,elegant,modern,hipster,shape,outline,decor,repeat,element,classic,design,simple,linear,zigzag,art,mosaic,ornament,graphic,print,curve,monochrome,tile,hexagon,stripe,symmetry,trendy,contemporary,fabric,original,textile,contemp,cover,style,cotton,decoration,decorative,endless,ornamental,regular,surface,wallpaper",https://image.shutterstock.com/image-vector/set-seamless-patterns-modern-stylish-600w-383512132.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/set-seamless-patterns-modern-stylish-600w-383512132.jpg', 'path': 'full/a51d61b3f5bf87fe74445db26d6b6961c10f3833.jpg', 'checksum': 'a02c9a0b0ced1084dfb734b97e432576'}]"
538477357,1,seamless+pattern+classic,vector,sunshiny,"Cute festive background with gold stars. Holiday seamless pattern. Christmas star. Ornament for gift wrapping paper, fabric, clothes, textile, surface textures, scrapbook. Vector illustration.","pattern,christmas,star,seamless,vector,background,gold,holiday,birthday,gift,line,baby,black,magic,cute,frame,border,design,white,garland,paper,wrap,ornament,glitter,golden,abstract,bright,confetti,decor,card,geometric,wallpaper,yellow,cover,fashion,foil,graphic,shower,wave,classic,fabric,poster,backdrop,celebration,decoration,illustration,metal,shiny,surface,texture",https://image.shutterstock.com/image-vector/cute-festive-background-gold-stars-600w-538477357.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/cute-festive-background-gold-stars-600w-538477357.jpg', 'path': 'full/095a602750da7ec548a5514b7195e506c3918bd8.jpg', 'checksum': '1f4cad6ae5cbfbf83b1f89604daf8a5d'}]"
1071548570,1,seamless+pattern+classic,vector,Pankov+Aleksey,Texture military camouflage seamless pattern. Abstract army and hunting masking ornament.,"camouflage,camo,pattern,seamless,army,military,vector,print,background,soldier,texture,green,design,abstract,brown,illustration,uniform,color,fabric,forest,grey,hunting,material,repeat,tan,textile,woodland,black,classic,combat,dark,style,war,commando,fashion,leaf,wallpaper,wave,art,backdrop,bend,clothing,colorful,curve,force,hide,isolated,masking,outdoors,spot",https://image.shutterstock.com/image-vector/texture-military-camouflage-seamless-pattern-600w-1071548570.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/texture-military-camouflage-seamless-pattern-600w-1071548570.jpg', 'path': 'full/eebed90aea9c846fbb12e6bfbbb2c0e7e9fef4e7.jpg', 'checksum': '003fb494c7da879ce763d882402dcf85'}]"
1543541453,1,seamless+pattern+classic,vector,GarryKillian,"Vector damask seamless pattern element. Classical luxury old fashioned damask ornament, royal victorian seamless texture for wallpapers, textile, wrapping. Exquisite floral baroque template.","damask,seamless,antique,pattern,baroque,vector,vintage,backdrop,background,botany,carpet,classic,coat,curve,decor,design,elegance,element,fabric,floral,flower,foliate,graphic,illustration,intricacy,leaf,luxury,nostalgia,old,ornament,ornate,paper,repetition,retro,retro styled,revival,rococo,royal,silk,stencil,style,swatch,template,textile,texture,tile,velvet,victorian,vignette,wallpaper",https://image.shutterstock.com/image-vector/vector-damask-seamless-pattern-element-600w-1543541453.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/vector-damask-seamless-pattern-element-600w-1543541453.jpg', 'path': 'full/6ba915488a5bca567d91c6fbf86ec0e2ba19edf0.jpg', 'checksum': '695e58bdaf9f213d5b3887609dba4970'}]"
187082246,1,seamless+pattern+classic,vector,GarryKillian,"Vector damask seamless pattern element. Elegant luxury texture for wallpapers, backgrounds and page fill.","pattern,seamless,royal,damask,vintage,floral,flower,luxury,vector,ornament,carpet,baroque,antique,chocolate,wallpaper,flora,illustration,nostalgia,wall,decor,design,victorian,background,brown,leaf,old,style,swirl,vertical,art,foliate,paper,retro,silk,textile,backdrop,classical,curve,decorative,elegance,element,ornamental,ornate,plants,repetition,template,textured,vignette,wealth",https://image.shutterstock.com/image-vector/vector-damask-seamless-pattern-element-600w-187082246.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/vector-damask-seamless-pattern-element-600w-187082246.jpg', 'path': 'full/9cd20c37aa130b25a59ac7070c469f677c6c87f1.jpg', 'checksum': 'b2a74b236e275d285f3474f4011fcb9b'}]"
727060057,1,seamless+pattern+classic,vector,YokoDesign,Floral pattern. Flower seamless background. Flourish ornamental garden,"pattern,flower,floral,chinese,seamless,vintage,wallpaper,design,garden,background,border,classic,embroidery,fashion,frame,peony,rose,summer,cute,texture,art,drawing,retro,branch,daisy,pastel,spring,textile,leaves,style,card,flourish,nature,tile,blossom,wildflower,bouquet,stylish,backdrop,bloom,botanical,curl,elegance,gentle,holiday,illustration,ornamental,petal,springtime,vegetation",https://image.shutterstock.com/image-vector/floral-pattern-flower-seamless-background-600w-727060057.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/floral-pattern-flower-seamless-background-600w-727060057.jpg', 'path': 'full/ad628b021e8fe706ab37439e2333eb58e6ab7a4d.jpg', 'checksum': '488fe28826e50031295a22c083a8b48b'}]"
1071822650,1,seamless+pattern+classic,vector,laverock,"Terrazzo flooring vector seamless pattern in bright colors. Texture of classic italian type of floor in Venetian style composed of natural stone, granite, quartz, marble, glass and concrete","terrazzo,seamless,texture,pattern,floor,marble,tile,color,stone,background,mosaic,abstract,vector,white,blue,bright,material,quartz,rock,grey,design,glass,golden,pavement,venetian,classic,composite,concrete,endless,fill,flooring,fragment,granite,graphic,italian,light,natural,patio,paving,pebble,piece,regular,repeatable,sample,shard,splinter,surface,swatch,textile,tiling",https://image.shutterstock.com/image-vector/terrazzo-flooring-vector-seamless-pattern-600w-1071822650.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/terrazzo-flooring-vector-seamless-pattern-600w-1071822650.jpg', 'path': 'full/4ac7da1bcf9fad31ae973209ff1b7abc000eb5a3.jpg', 'checksum': '4621c00d905fdf56582b1109104f2d0c'}]"
