id,pageNum,searchTerm,type,contributer,description,keywords,image_urls,images
1724667067,1,seamless+pattern+spring,illustration,Dobrynina+Elena,cartoon insects seamless pattern. watercolor beetle hand drawn illustration,"pattern,spring,dragonfly,animal,ant,art,background,beautiful,beauty,bee,beetle,bug,bumblebee,butterfly,cartoon,collection,colorful,cute,decoration,design,drawing,element,fauna,fly,funny,garden,grasshopper,green,illustration,insect,isolated,ladybird,ladybug,mosquito,nature,painted,small,snail,spider,summer,wasp,watercolor,wild,wildlife,wing,worm",https://image.shutterstock.com/image-illustration/cartoon-insects-seamless-pattern-watercolor-600w-1724667067.jpg,"[{'url': 'https://image.shutterstock.com/image-illustration/cartoon-insects-seamless-pattern-watercolor-600w-1724667067.jpg', 'path': 'full/421a90b07cccc1469e1918b5c990473aafdf1ac6.jpg', 'checksum': 'c7b8b10206ec916f1017f6e62a90274d'}]"
613744082,1,seamless+pattern+spring,illustration,chekmareva,Watercolor seamless pattern of spring branches-1,"pattern,flower,seamless,watercolor,floral,vintage,magnolia,spring,romantic,background,print,soft,pastel,victorian,delicate,design,draw,silk,wallpaper,abstract,art,beautiful,blossom,pink,textile,texture,white,bouquet,classic,garden,illustration,leaf,old,summer,artwork,beauty,botanical,bud,chic,colorful,decoration,drawing,elegance,elegant,fabric,feminine,nature,petal,plant,shabby",https://image.shutterstock.com/image-illustration/watercolor-seamless-pattern-spring-branches1-600w-613744082.jpg,"[{'url': 'https://image.shutterstock.com/image-illustration/watercolor-seamless-pattern-spring-branches1-600w-613744082.jpg', 'path': 'full/c8b07de8531a63cdc69b4db67c44ad2ff7600263.jpg', 'checksum': '21b3770758085b4946f7f9f66fed0b67'}]"
1115183873,1,seamless+pattern+spring,vector,YokoDesign,Floral seamless pattern. Flower background. Flourish garden texture with flowers.,"pattern,flower,pastel,seamless,vector,cute,floral,background,peony,wallpaper,spring,fashion,border,nature,abstract,design,decor,frame,petal,illustration,holiday,summer,texture,tile,vegetation,classic,flourish,textile,backdrop,blossom,botanical,drawing,garden,macro,stylish,vintage,bloom,bouquet,card,daisy,decoration,decorative,elegance,gentle,graceful,greeting,ornamental,posy,springtime,wildflower",https://image.shutterstock.com/image-vector/floral-seamless-pattern-flower-background-600w-1115183873.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/floral-seamless-pattern-flower-background-600w-1115183873.jpg', 'path': 'full/f403742e9e8dd6a3aaec62f1ecd0308d163122ff.jpg', 'checksum': '1bbd28ccee25b15f5be20a9ed6b138fb'}]"
1082605778,1,seamless+pattern+spring,vector,momosama,"Floral seamless pattern, green, black and white split-leaf Philodendron plant with vines on white background, pastel vintage theme","pattern,leaf,plant,background,wallpaper,seamless,texture,floral,vintage,line,print,retro,pastel,fabric,greenery,vine,garden,repeat,tree,spring,collage,ink,decoration,philodendron,season,backdrop,flora,houseplant,bouquet,balazo,botanical,ceriman,foliage,fruit salad,illustration,mexican breadfruit,monster fruit,monstera deliciosa,monstereo,monsterio delicio,penglai banana,striped,swiss cheese plant,textile,tropical,verdant,windowleaf",https://image.shutterstock.com/image-vector/floral-seamless-pattern-green-black-600w-1082605778.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/floral-seamless-pattern-green-black-600w-1082605778.jpg', 'path': 'full/265de05b7996a19d9572979e386ac6a02d806279.jpg', 'checksum': '8d13cae4f43b90ded6d7e1eeecf1c740'}]"
1573402036,1,seamless+pattern+spring,vector,momosama,"Floral seamless pattern, Anthurium flowers with leaves in blue tone on dark blue","pattern,flower,tropic,seamless,dark,collage,floral,green,line,outline,texture,leaf,plant,foliage,blossom,fabric,pastel,petal,vegetation,anthurium,background,design,greenery,monotone,print,spring,backdrop,blooming,botanical,botany,budding,decoration,flamingo,garden,greenness,houseplant,laceleaf,leafage,nature,ornament,repeat,season,shrub,tailflower,textile,tree,tropical,verdure,vintage,wallpaper",https://image.shutterstock.com/image-vector/floral-seamless-pattern-anthurium-flowers-600w-1573402036.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/floral-seamless-pattern-anthurium-flowers-600w-1573402036.jpg', 'path': 'full/138136be9e5ccc72a1ccbd9e71b32c5446fa95ff.jpg', 'checksum': 'c8a19abb22648336a826c68fb9af27f5'}]"
1673069875,1,seamless+pattern+spring,vector,yellowdesign,"Contemporary exotic leaves seamless pattern collage design. Creative tropical leaf wallpaper. Design for fabric, textile print, wrapping paper, fashion, interior, cover. Botanical vector illustration","pattern,flower,floral,seamless,spring,abstract,beach,modern,palm,plant,print,tree,fashion,jungle,leaf,nature,watercolor,background,botanical,collage,hawaii,hawaiian,illustration,monstera,summer,vector,wallpaper,art,artistic,backdrop,brush,contemporary,creative,decoration,decorative,design,doodle,exotic,forest,garden,graphic,hand,hand drawn,paradise,surface,textile,texture,travel,tropic,tropical",https://image.shutterstock.com/image-vector/contemporary-exotic-leaves-seamless-pattern-600w-1673069875.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/contemporary-exotic-leaves-seamless-pattern-600w-1673069875.jpg', 'path': 'full/0d2ef4105ecf4698aa764571ac4420964a8d5622.jpg', 'checksum': '3be42690c940672362a536bd67d18a0c'}]"
1812894847,1,seamless+pattern+spring,vector,Svetlana+Kononova,Colorful garden flowers on black background. Seamless vector pattern. Vintage print with  inflorescences. Retro textile collection.,"seamless,floral,pattern,cute,micro,wildflowers,botanical,summer,vector,abstract,art,background,beautiful,bloom,blossom,border,chamomiles,clusters,cotton,daisy,decor,decoration,design,detail,ditsy,dress,fabric,flowers,garden,lawn,meadow,mixed,motifs,nature,paper,petals,pink,print,retro,scarf,silk,small,spring,style,textile,vintage,wallpaper,white,wild,wrapping",https://image.shutterstock.com/image-vector/colorful-garden-flowers-on-black-600w-1812894847.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/colorful-garden-flowers-on-black-600w-1812894847.jpg', 'path': 'full/5833e2bd17df6026f5d50b6cf03e267ee349b147.jpg', 'checksum': '03439c193415cb7e8b5256128aa0ef9f'}]"
591885260,1,seamless+pattern+spring,illustration,lisima,"Seamless pattern with pink flowers and leaves on white background, watercolor floral pattern, flower rose in pastel color, tileable for wallpaper, card or fabric","pattern,floral,watercolor,pink,wallpaper,seamless,rose,wall,paper,print,spring,illustration,white,design,abstract,textile,fabric,art,painting,gray,graphic,leaf,furniture,card,ornament,retro,branch,decorative,valentine,artistic,bedclothes,blossom,template,floral background,flowers,hand drawn,invitation,pastel color,postcard,structure,tile,vintage style,wrapper,wrapping paper",https://image.shutterstock.com/image-illustration/seamless-pattern-pink-flowers-leaves-600w-591885260.jpg,"[{'url': 'https://image.shutterstock.com/image-illustration/seamless-pattern-pink-flowers-leaves-600w-591885260.jpg', 'path': 'full/58653c273f59cbe7ee0daf38a58b1772eb9ebb57.jpg', 'checksum': '985dfdee4b7fef233ea90a6bf638cd3b'}]"
100141364,1,seamless+pattern+spring,vector,chantalnathalie,elegant seamless pattern with beautiful pink roses for your design,"pattern,geometric,floral,flower,seamless,abstract,vector,rose,design,texture,vintage,print,fabric,background,graphic,summer,decor,element,spring,repeat,sketch,leaf,art,wallpaper,artwork,tile,creative,style,card,backdrop,branch,ornate,tileable,scroll,decoration,decorative,eps10,illustration,pink flower,repetition,season,stylized,symmetry,template,textile,tiled,wrapping",https://image.shutterstock.com/image-vector/elegant-seamless-pattern-beautiful-pink-600w-100141364.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/elegant-seamless-pattern-beautiful-pink-600w-100141364.jpg', 'path': 'full/62b0a2a566b30fb321c4dba320cf8635dd872d14.jpg', 'checksum': '808b05866e0afcf91277873a6e2746c8'}]"
1721410171,1,seamless+pattern+spring,illustration,ruseanna,"Seamless watercolor floral pattern - pink flowers, green leaves & branches on white background; for wrappers, wallpapers, postcards, greeting cards, wedding invitations, romantic events.","pattern,watercolor,flower,floral,seamless,pink,wedding,background,boho,graphics,nature,rose,set,spring,vintage,watercolour,white,abstract,art,botanical,bouquet,branch,card,decoration,drawing,eucalyptus,fashion,foliage,frame,garden,green,greenery,greeting,hand painted,illustrated,illustration,invitation,invites,leaf,leaves,lime color,peach color,plant,print,summer,textile,texture,tree,trendy,wallpaper",https://image.shutterstock.com/image-illustration/seamless-watercolor-floral-pattern-pink-600w-1721410171.jpg,"[{'url': 'https://image.shutterstock.com/image-illustration/seamless-watercolor-floral-pattern-pink-600w-1721410171.jpg', 'path': 'full/44d6f25544e01d8ef6b8024019d2704286ed690f.jpg', 'checksum': '091a57f09e17f6d146efa132c370de01'}]"
