id,pageNum,searchTerm,type,contributer,description,keywords,image_urls,images
1813157362,1,seamless+pattern+dye,vector,Q3kia_Pictures,Circle Tie Dye Swirl. Vector Swirl. Brush Unicorn Tie Dye. Multi Swirl Watercolor. Spiral Dyed Repeat. Colorful Multi Swirl Tie Dye. Hippie Print. Seamless Seamless Circle. Vector Neon Tie Dye Pattern,"tie,die,pattern,seamless,dye,rainbow,unicorn,background,print,shirt,tiedye,tye,batik,blur,boho,brush,circle,color,colorful,cotton,dark,dead,dyed,effect,endless,fabric,festival,funky,gradient,grateful,grunge,haight,hippie,japanese,multi,natural,old,psychedelic,repeat,rock,saturated,sixties,space,spiral,stripe,swirl,texture,tshirt,urban,vector",https://image.shutterstock.com/image-vector/circle-tie-dye-swirl-vector-600w-1813157362.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/circle-tie-dye-swirl-vector-600w-1813157362.jpg', 'path': 'full/2e41d792bb9acd1f2bd12b66468950e5fbf4372a.jpg', 'checksum': '1a13840974ec57021cd804904e623e18'}]"
1324935032,1,seamless+pattern+dye,illustration,cepera,Abstract Tie-Dyed Canvas Effect Textured Background. Seamless Pattern.,"pattern,abstract,seamless,degrade,background,blue,fabric,mottled,bold,dyed,graphic,worn,canvas,decorative,indigo,modern,motif,retro,textile,beige,brushed,chaotic,cloth,cover,crumpled,distressed,experimental,fade,folk,grain,grunge,imperfect,irregular,material,natural,navy,noisy,print,rough,stain,striped,surface,textured,tie dye,unexpected,variegated,vintage,wallpaper,washed,wrapping",https://image.shutterstock.com/image-illustration/abstract-tiedyed-canvas-effect-textured-600w-1324935032.jpg,"[{'url': 'https://image.shutterstock.com/image-illustration/abstract-tiedyed-canvas-effect-textured-600w-1324935032.jpg', 'path': 'full/c6659250d6003d661cc5a49a7a3ef41bce72a85c.jpg', 'checksum': '51fb088ed5ffcd7268b1df0b539fb32b'}]"
1010733760,1,seamless+pattern+dye,vector,Vialeta+Novik,Indigo vector tie dye seamless pattern. Abstract watercolor. Natural tiles. Organic texture.Watercolour print. Japan folk pattern. Organic textile. Japanese seamless natural texture. Indigo batik. ,"pattern,texture,seamless,watercolor,background,organic,abstract,japanese,batik,dye,tie,vector,watercolour,indigo,blue,shibori,fabric,nature,design,folk,japan,textile,china,print,cloth,kimono,rustic,swimwear,tiles,cotton,hand,modern,bed,clothes,clothing,dyeing,fashion,geometrical,hippie,indonesian,ink,kaleidoscope,minimal,natural,old,ornament,stripes,tied,waves,white",https://image.shutterstock.com/image-vector/indigo-vector-tie-dye-seamless-600w-1010733760.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/indigo-vector-tie-dye-seamless-600w-1010733760.jpg', 'path': 'full/afb673c308150a7290e7e20500ae96cfea87a44c.jpg', 'checksum': 'e414fd51b06d7235c810acd914a6c17c'}]"
626194997,1,seamless+pattern+dye,vector,Vialeta+Novik,Vector tie dye seamless pattern. Hand drawn shibori print with stripes. Ink textured japanese background.  ,"pattern,texture,stripe,japanese,seamless,background,watercolor,fabric,vector,organic,print,japan,indigo,rustic,shibori,batik,modern,paint,abstract,watercolour,tie,brush,design,dye,tile,blue,ornament,china,cotton,material,surface,cloth,ink,psychedelic,bed,fashion,folk,kimono,retro,geometrical,hippie,indonesian,kaleidoscope,minimalism,natural,old-fashioned,optical,swimwear,textile,traditional",https://image.shutterstock.com/image-vector/vector-tie-dye-seamless-pattern-600w-626194997.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/vector-tie-dye-seamless-pattern-600w-626194997.jpg', 'path': 'full/5cd8e7a30edd28c6d47bbdba97e99ba3ce94ece5.jpg', 'checksum': 'e67a6a0cf0e311ea985abe813ecb4273'}]"
1906571557,1,seamless+pattern+dye,vector,Q3kia_Pictures,Spiral Tie Dye Swirl. Dyed Circle. Vector Seamless Multi Swirl. Multicolor Tie Dye Repeat. Vector Tie Dye. Brush Rainbow Tie Die. Hippie Tye Dye Batik. Seamless Tiedye Circle. Spiral Neon Tye Pattern,"die,dye,ink,pattern,seamless,spiral,swirl,tie,tiedye,tye,art,background,batik,blue,blur,boho,circle,color,colorful,colour,dyed,fabric,gradient,grateful,grunge,happy,heart,hippie,international,kaleidoscope,multi,pop,print,psychedelic,rainbow,repeat,round,shibori,shirt,sign,sixties,stain,strip,stripe,texture,traditional,tshirt,unicorn,vector,water",https://image.shutterstock.com/image-vector/spiral-tie-dye-swirl-dyed-600w-1906571557.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/spiral-tie-dye-swirl-dyed-600w-1906571557.jpg', 'path': 'full/6af7b6e0a2ff2b373a3befa81131378de63543ae.jpg', 'checksum': '802c63218180b4216bcad02405e16288'}]"
1919858639,1,seamless+pattern+dye,illustration,HannaGrin,Seamless Pattern. Artistic Effect. Tie Dye Striped Pattern. Geode Slice and Cosmic Colors. Vibrant Acrylic Background. Seamless Fashion Kaleidoscope. Trendy Aquarelle Tie Dye.,"color,multi,pattern,wave,1960,agate,amethyst,art,artwork,azure,background,banner,batik,blue,bohemian,bright,colorful,creative,decorative,design,die,dye,dyed,fabric,fashion,galaxy,gemstone,geode,hand made,ikat,ink,japanese,liquid,mineral,ornament,paint,pink,print,shirt,stone,stripe,textile,texture,tie,tiedye,tile,tye,water,watercolor,watercolour",https://image.shutterstock.com/image-illustration/seamless-pattern-artistic-effect-tie-600w-1919858639.jpg,"[{'url': 'https://image.shutterstock.com/image-illustration/seamless-pattern-artistic-effect-tie-600w-1919858639.jpg', 'path': 'full/163215dfe6e62cdfbd7e115c99bdfde7d36f3b27.jpg', 'checksum': 'c94c1672b96ac9ababccffa926eb6317'}]"
1876520539,1,seamless+pattern+dye,vector,oking,"Ikat geometric folklore ornament with diamonds. Tribal ethnic vector texture. Seamless striped pattern in Aztec style. Folk embroidery. Indian, Scandinavian, Gypsy, Mexican, African rug. ","abstract,african,gypsy,indian,seamless,stripes,swimwear,art,asia,asian design,aztec,background,batik,bohemian,boho,border,brush,carpet,chevron,creative,diamonds,dye,embroidery,ethnic nativity,fabric,fashion,geo,geometric,ikat pattern,indonesian,japanese,mexican,organic,paint,patchwork,print,rug,scandinavian,shibori,squares,texture,tibetan,tie,tribal,vector,watercolor,watercolour,wave,woven",https://image.shutterstock.com/image-vector/ikat-geometric-folklore-ornament-diamonds-600w-1876520539.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/ikat-geometric-folklore-ornament-diamonds-600w-1876520539.jpg', 'path': 'full/f7b46bae0b7a851942219f15e7477a1dfa888454.jpg', 'checksum': '24a064e96854bc53d6700c7f75ef9d31'}]"
603426176,1,seamless+pattern+dye,illustration,cepera,Abstract indigo tie-dyed and acid-washed fabric textured background. Seamless pattern.,"texture,pattern,seamless,fabric,acid,abstract,effect,indigo,background,grunge,print,mottled,ethnic,cloudy,textile,cloth,blue,marble,navy,white,graphic,modern,surface,grain,patina,rough,casual,cover,folk,backdrop,brushed,creative,decoration,decorative,design,distressed,faded,irregular,natural,noisy,stains,textured,tie dye,tile,timeless,tracery,unique,wallpaper,washed,wrapping",https://image.shutterstock.com/image-illustration/abstract-indigo-tiedyed-acidwashed-fabric-600w-603426176.jpg,"[{'url': 'https://image.shutterstock.com/image-illustration/abstract-indigo-tiedyed-acidwashed-fabric-600w-603426176.jpg', 'path': 'full/efe5cc27d3ed02284c5a2afe7b97e71cb20244e0.jpg', 'checksum': 'bde9b4319ce3523901889fd378f48c12'}]"
1780645982,1,seamless+pattern+dye,illustration,Dmitriy+Abrazhevich,Tie Dye Spiral. Beautiful Watercolor Dirty Art. Swirled Aquarelle Pattern. Bright Seamless Design. Tie and Dye. Swirled Spiral Illustration. Rainbow Fashion Tie Dye. Artistic Print.,"dye,tie,seamless,pattern,rainbow,background,tye,design,watercolor,art,hippie,liquid,paint,pink,swirl,1960s,batik,black,blue,bohemian,boho,bright,brown,china,color,colorful,creative,dyed,erbu,exciting,fun,gold,green,hand made,ink,material,oriental,ornament,paper,pastel,print,psychedelic,red,shirt,spiral,splash,stripe,texture,tiedye,water",https://image.shutterstock.com/image-illustration/tie-dye-spiral-beautiful-watercolor-600w-1780645982.jpg,"[{'url': 'https://image.shutterstock.com/image-illustration/tie-dye-spiral-beautiful-watercolor-600w-1780645982.jpg', 'path': 'full/12741f3d3fedf640ef14f2b0c4889ad17fcab2f3.jpg', 'checksum': 'd8581f13f8c0b867710a2e46f941ba0c'}]"
1746345788,1,seamless+pattern+dye,illustration,Dmitriy+Abrazhevich,Tie Dye Spiral. Rainbow Spiral Tie Dye. Swirled Aquarelle Pattern. Bright Hand Drawn Design. Tie and Dye. Beautiful Hand Drawn Effect. Swirled Fantasy Dirty Paint. Artistic Texture.,"dye,tie,circle,seamless,pattern,spiral,pastel,pink,stripe,tiedye,aquarelle,art,background,batik,black,blue,bohemian,boho,bright,china,color,colored,colorful,colour,culture,design,dress,dyed,erbu,faded,fun,gold,green,hand,hippie,ink,modern,paint,painted,print,psychedelic,rainbow,red,shirt,stripes,swirl,texture,trippy,tye,watercolor",https://image.shutterstock.com/image-illustration/tie-dye-spiral-rainbow-swirled-600w-1746345788.jpg,"[{'url': 'https://image.shutterstock.com/image-illustration/tie-dye-spiral-rainbow-swirled-600w-1746345788.jpg', 'path': 'full/d7231deeb7a7a638769d26efd384d23364f7b43d.jpg', 'checksum': '2a227c40320ce5d43dfaad3a3262015b'}]"
