id,pageNum,searchTerm,type,contributer,description,keywords,image_urls,images
1669211185,1,seamless+pattern+palm,vector,Angelina+Bambina,"Collage contemporary floral and polka dot shapes seamless pattern set. Modern exotic design for paper, cover, fabric, interior decor and other users.","pattern,flower,seamless,floral,vector,tropical,watercolor,modern,abstract,texture,background,geometric,plant,summer,spring,beach,hawaiian,print,decor,illustration,leaf,hibiscus,palm,collage,collection,monstera,fabric,retro,exotic,jungle,pink,tribal,hawaii,design,graphic,textile,tree,turquoise,wallpaper,fashion,surfing,artwork,backdrop,colorful,creative,decoration,decorative,polka dot,style,tribe",https://image.shutterstock.com/image-vector/collage-contemporary-floral-polka-dot-600w-1669211185.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/collage-contemporary-floral-polka-dot-600w-1669211185.jpg', 'path': 'full/7f205788e60c75281b1c497d57b0878897495746.jpg', 'checksum': 'f84bfaea0653c23cdedb1479b41468fa'}]"
348219737,1,seamless+pattern+palm,vector,MattheW-RK,palm pattern,"pattern,leaf,palm,vector,banana,background,nature,seamless,texture,tree,abstract,repeat,floral,summer,simple,print,foliage,plant,wallpaper,branch,decoration,decorative,element,illustration,natural,shape,style,tropical",https://image.shutterstock.com/image-vector/palm-pattern-600w-348219737.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/palm-pattern-600w-348219737.jpg', 'path': 'full/1334b3855b26c1fccb5bf4a2fc55e8a054408944.jpg', 'checksum': 'f1c968815f3ca45b0db4596c037b81b7'}]"
1807072906,1,seamless+pattern+palm,vector,Angelina+Bambina,"Collage contemporary orange floral and polka dot shapes seamless pattern set. Modern exotic design for paper, cover, fabric, interior decor and other users.","pattern,spring,flower,abstract,seamless,vector,orange,modern,summer,watercolor,floral,tropical,palm,fruit,geometric,plant,texture,collage,fabric,graphic,leaf,pink,print,background,collection,colorful,exotic,hawaiian,illustration,monstera,retro,backdrop,beach,creative,decor,decoration,decorative,design,fashion,hawaii,hibiscus,jungle,polka dot,style,surfing,textile,tree,tribal,tribe,wallpaper",https://image.shutterstock.com/image-vector/collage-contemporary-orange-floral-polka-600w-1807072906.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/collage-contemporary-orange-floral-polka-600w-1807072906.jpg', 'path': 'full/0f0f895eba99bac3a2ab4a7e1601ce06ca6d0656.jpg', 'checksum': 'aa0e92aaef3e609ad93cadb3f3706fd2'}]"
1520546396,1,seamless+pattern+palm,vector,yulianas,Tropical background seamless pattern of imitation of watercolor palms. Botanical vector wallpaper,"pattern,seamless,palm,color,print,tree,watercolor,floral,trendy,botany,design,green,illustration,jungle,spring,summer,water,art,backdrop,background,beautiful,branch,colorful,decoration,drawing,ecology,element,exotic,fashion,fresh,graphic,hawaii,isolated,leaf,nature,outdoors,painted,paper,paradise,plant,rainforest,tropical,twig,unusual,vector,wallpaper,wrapping",https://image.shutterstock.com/image-vector/tropical-background-seamless-pattern-imitation-600w-1520546396.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/tropical-background-seamless-pattern-imitation-600w-1520546396.jpg', 'path': 'full/6329d2555f7f1fa982242727c33ae9b8acbac46c.jpg', 'checksum': '69d0d61c9ebfa7f9d69dc545b93d64b5'}]"
628467797,1,seamless+pattern+palm,vector,IvanRyabokon,Palm tree pattern seamless texture. Simple illustration of palm tree vector pattern seamless for any web design or textile,"palm,pattern,tree,seamless,vector,coconut,tropical,hawaii,texture,background,banana,simple,exotic,leaf,summer,island,paradise,allover,beach,coco,foliage,geometric,nature,black,botanic,botany,branch,climate,ecology,environment,flora,floral,forest,growth,jungle,landscape,natural,outdoor,plant,repeat,resort,stem,subtropical,textile,travel,tropic,trunk,vacation,wallpaper,wood",https://image.shutterstock.com/image-vector/palm-tree-pattern-seamless-texture-600w-628467797.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/palm-tree-pattern-seamless-texture-600w-628467797.jpg', 'path': 'full/2d20e515c04cf46476912c215742febea9884365.jpg', 'checksum': '85ca32ca8f0263855f65623935eaed1e'}]"
266281208,1,seamless+pattern+palm,vector,berry2046,"Print summer exotic jungle plant  tropical palm leaves. Pattern, seamless floral vector on the black white geometric background. Nature wallpaper.","pattern,tropic,flower,floral,leaf,palm,vector,jungle,background,seamless,summer,plant,print,geometric,exotic,white,green,black,beach,illustration,abstract,tree,design,fashion,nature,trendy,color,spring,beauty,retro,paper,textile,style,aloha,hawaii,hawaiian,vacation,backdrop,ornate,silhouette,culture,decoration,luau,climate,striped,styled,textured,tropical,wallpaper,wrapping",https://image.shutterstock.com/image-vector/print-summer-exotic-jungle-plant-600w-266281208.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/print-summer-exotic-jungle-plant-600w-266281208.jpg', 'path': 'full/e78a90437eeed0639caf31284712c6eeadd9b848.jpg', 'checksum': '4a826132717a4d5e4f5d765efcfcd922'}]"
687438982,1,seamless+pattern+palm,vector,berry2046,Beach cheerful seamless pattern wallpaper of tropical dark green leaves of palm trees and flowers bird of paradise (strelitzia) plumeria on a light yellow background,"pattern,tropic,flower,floral,palm,leaf,background,vector,summer,seamless,bird,wallpaper,plant,watercolor,hawaiian,beach,jungle,print,hawaii,tree,vintage,paradise,white,green,texture,black,shirt,foliage,retro,spring,banana,abstract,fashion,exotic,red,trendy,aloha,garden,painting,bikini,light,plumeria,strelitzia,style,decoration,botanical,cheerful,drawing,illustration,tropical",https://image.shutterstock.com/image-vector/beach-cheerful-seamless-pattern-wallpaper-600w-687438982.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/beach-cheerful-seamless-pattern-wallpaper-600w-687438982.jpg', 'path': 'full/e161c545ad6dee97471bc08838682fcd74e18533.jpg', 'checksum': '18beeb121f0b5dce18d55de670caed5c'}]"
777148300,1,seamless+pattern+palm,vector,berry2046,Tropical vector green leaves seamless pattern pink background. Exotic wallpaper,"pattern,tropic,leaf,palm,flower,vector,floral,banana,background,seamless,wallpaper,print,summer,jungle,green,plant,watercolor,tree,texture,hawaiian,vintage,bird,fashion,retro,hawaii,beach,exotic,black,nature,shirt,trendy,white,aloha,red,paradise,garden,painting,fabric,decoration,light,spring,beautiful,blossom,botanical,foliage,illustration,strelitzia,tropical",https://image.shutterstock.com/image-vector/tropical-vector-green-leaves-seamless-600w-777148300.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/tropical-vector-green-leaves-seamless-600w-777148300.jpg', 'path': 'full/a644a8d1bcd006cf0d73c2fd132d34a3eaf8dea5.jpg', 'checksum': '852fe1c5e278a6267ae907f1555d816c'}]"
627684470,1,seamless+pattern+palm,illustration,SyrytsynaTetiana,"Abstract summer geometric seamless pattern. Watercolor palm tree, leaf, marble, grunge, doodle textured circles background. Water color floral, minimal elements. Hand painted tropical illustration","pattern,tropic,summer,beach,palm,seamless,tree,background,abstract,geometric,paint,watercolor,texture,marble,stripe,travel,design,graphic,leaf,minimal,line,blue,green,exotic,art,decor,hipster,wave,black,round,turquoise,doodle,element,memphis,artwork,circle,grey,dots,geometrical,grunge,illustration,marbling,scribble,tropical,water color",https://image.shutterstock.com/image-illustration/abstract-summer-geometric-seamless-pattern-600w-627684470.jpg,"[{'url': 'https://image.shutterstock.com/image-illustration/abstract-summer-geometric-seamless-pattern-600w-627684470.jpg', 'path': 'full/f4ed2b84c877b14bf4bbb65ab393f209659e18e9.jpg', 'checksum': '0d9eaad66d39be2e861bb081080a0fd0'}]"
702226171,1,seamless+pattern+palm,vector,Rosapompelmo,"turquoise and green tropical leaves. Seamless graphic design with amazing palms. Fashion, interior, wrapping, packaging suitable. Realistic palm leaves.","leaf,palm,vector,banana,green,graphic,wallpaper,blue,illustration,fashion,summer,botanic,teal,fabric,greenery,material,swimwear,vibrant,vintage,set,kit,wrapping,blossom,palmera,active wear,biotanical elements,colorful,fig leaves,graphic set,green hues,growing up,hand drawn,healthy,limited palette,on white,packaging,palm pattern,palm print,palmetto,repeat pattern,repeating,saturated,screen print,tints,vector elements,veins,wall covering,wrapping paper",https://image.shutterstock.com/image-vector/turquoise-green-tropical-leaves-seamless-600w-702226171.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/turquoise-green-tropical-leaves-seamless-600w-702226171.jpg', 'path': 'full/75fe50b975b1d5a6602d1cae1baca98748722ca1.jpg', 'checksum': '37567262f9e877569858b5fd548b8023'}]"
