id,pageNum,searchTerm,type,contributer,description,keywords,image_urls,images
594738689,1,seamless+pattern+zigzag,vector,RODINA+OLENA,The geometric pattern with stripes . Seamless vector background. Green and white texture. Graphic modern pattern.,"pattern,geometric,seamless,green,texture,vector,zigzag,simple,abstract,background,blue,modern,line,chevron,stripe,fabric,geometry,wallpaper,classic,repeat,cloth,shape,tile,carpet,dark,ornament,art,beauty,design,elegant,draw,fashion,stylish,curtain,image,abstraction,artistic,backdrop,decorative,drawing,graphic,halftone,illustrate,industrial,packaging,repeatable,repetition,striped,style,unusual",https://image.shutterstock.com/image-vector/geometric-pattern-stripes-seamless-vector-600w-594738689.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/geometric-pattern-stripes-seamless-vector-600w-594738689.jpg', 'path': 'full/6eb351cce851b49eda255738b2917cf6401e488c.jpg', 'checksum': 'f38d32ceee54f085fd1251a6e3b2f2e0'}]"
489150910,1,seamless+pattern+zigzag,vector,Alina+Shtulberg,"pastel colors vector seamless pattern with triangles. Geometric mosaic art print. Abstract vector background. Creative graphic design template. Wallpaper, fabric, textile, wrapping paper. Hand drawn","scandinavian,geometry,tile,pale,patchwork,modern,stripe,ornament,pink,style,texture,cloth,doodle,dot,ethnic,paper,trend,tribal,turquoise,american,contemporary,decorative,grunge,hipster,illustration,paint,piece,simple,stroke,backdrop,concept,cover,decor,decoration,element,endless,fashion,freehand,geometrical,grid,illusion,ink,line,native,polka,repeat,shape,stylish,white,zigzag",https://image.shutterstock.com/image-vector/pastel-colors-vector-seamless-pattern-600w-489150910.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/pastel-colors-vector-seamless-pattern-600w-489150910.jpg', 'path': 'full/68363713d52c32a063e4e751180f2deb424fe513.jpg', 'checksum': '0e71385efc6450c3103344bff0bde325'}]"
1066123376,1,seamless+pattern+zigzag,vector,Chernushka,Tribal seamless colorful geometric pattern. Ethnic vector texture.Traditional ornament.,"pattern,american,native,indian,seamless,ethnic,aztec,texture,indigenous,vector,fabric,tribal,background,design,motif,art,geometric,modern,peru,peruvian,textile,tribe,zigzag,abstract,apache,fashion,backdrop,colorful,culture,decor,decoration,element,graphic,hipster,illustration,maya,mexican,mexico,national,navajo,ornament,pagan,paper,primitive,repeating,rhombus,rug,traditional,trendy,wallpaper",https://image.shutterstock.com/image-vector/tribal-seamless-colorful-geometric-pattern-600w-1066123376.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/tribal-seamless-colorful-geometric-pattern-600w-1066123376.jpg', 'path': 'full/c0ac539da26097aa3e3576487c36ff65f51c7f3a.jpg', 'checksum': 'd71a214686bbc1de1974d715d2ddd519'}]"
1823845250,1,seamless+pattern+zigzag,vector,kidstudio852,"Vector set of four teal, aqua and yellow chevron seamless patterns. Repeated braid & scallop backgrounds
","pattern,seamless,yellow,green,retro,simple,abstract,aqua,backdrop,background,braid,chevron,cloth,colorful,cover,creative,cushion,decoration,decorative,elegant,element,fabric,fashion,furniture,geometric,graphic,herringbone,illustration,interior,lines,modern,ornament,paper,patterns,print,repeated,scallop,set,stripe,striped,teal,textile,texture,trendy,vector,wallpaper,wave,wavy,zig zag,zigzag",https://image.shutterstock.com/image-vector/vector-set-four-teal-aqua-600w-1823845250.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/vector-set-four-teal-aqua-600w-1823845250.jpg', 'path': 'full/229baa313a2c8b6dca93be4baca1323fb4444049.jpg', 'checksum': '41eb9e590a91bc9c4091d971da7e77a7'}]"
480125203,1,seamless+pattern+zigzag,vector,Anastasiia+Gevko,Seamless pattern with hand drawn brush strokes. Ink illustration. Geometric pattern for wrapping paper. Monochrome design. ,"pattern,hand,drawn,brush,paint,vector,stroke,seamless,line,background,texture,monochrome,abstract,shape,ornament,zigzag,ink,black,paper,rough,modern,design,fabric,graphic,ornate,paintbrush,decor,herringbone,mess,stylish,tile,artistic,creative,edge,wallpaper,outline,stain,template,backdrop,decoration,drawing,element,gouache,grunge,illustration,scatter,smear,splat,splatter,tracery,wrapping",https://image.shutterstock.com/image-vector/seamless-pattern-hand-drawn-brush-600w-480125203.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/seamless-pattern-hand-drawn-brush-600w-480125203.jpg', 'path': 'full/0a999dc874e381ecbf2db01ef8c64624a1623699.jpg', 'checksum': '0e4017c619366b1dc68553287cc827a7'}]"
638031406,1,seamless+pattern+zigzag,vector,Alina+Shtulberg,"Embroidery vector design. Seamless multicolor pattern in tribal style. Traditional ethnic folk motif. Aztec ikat vector background. Abstract geometric art print. hand drawn. Textile design, fabric","boho,leopard,summer,african,fashion,texture,line,element,python,repeat,graphic,illustration,indian,navajo,pink,hippie,jungle,retro,trendy,cotton,handmade,indigenous,ornament,vintage,american,creative,dark,hawaii,stripy,wallpaper,white,woven,young,cultural,decoration,decorative,drawing,freehand,material,national,ornamental,scaf,striped,stripes,stylized,tracery,triangle,wave,weaving,zigzag",https://image.shutterstock.com/image-vector/embroidery-vector-design-seamless-multicolor-600w-638031406.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/embroidery-vector-design-seamless-multicolor-600w-638031406.jpg', 'path': 'full/29ae2a8a469b0ad30669723957fe02f0c8d6c92f.jpg', 'checksum': 'bd2a6cfdf3b7f2b6c09ec8a3f5af78cf'}]"
650060398,1,seamless+pattern+zigzag,vector,helterskelter,"Hand drawn vector abstract freehand textured seamless tropical pattern collage with zebra motif,organic textures,triangles isolated on pastel background.Wedding,save the date,birthday,fashion decor.","pattern,african,background,seamless,fashion,print,summer,art,geometric,vector,zebra,texture,bohemian,exotic,modern,tribal,boho,jungle,pink,pastel,ethnic,nature,painting,abstract,aztec,design,rose,flora,forest,gold,illustration,style,zigzag,card,creative,drawing,palm,scandinavian,stripe,artist,botanical,decoration,fabric,garden,hipster,leaf,repeat,textile,tropical",https://image.shutterstock.com/image-vector/hand-drawn-vector-abstract-freehand-600w-650060398.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/hand-drawn-vector-abstract-freehand-600w-650060398.jpg', 'path': 'full/28212c693b947b186bdb6beff5f7c30a76d2d0b7.jpg', 'checksum': '2122a1008659040612e1d71f3fa73c49'}]"
1019320711,1,seamless+pattern+zigzag,vector,cepera,Abstract Monochrome Irregular Weave Stroke Textured Background. Seamless Pattern.,"pattern,abstract,seamless,weave,tweed,texture,monochrome,woven,background,decoration,modern,black,broken,card,chaotic,cover,damaged,dashed,decorative,design,distortion,distressed,effect,element,grain,graphic,grunge,imperfect,irregular,knit,melange,mesh,motif,mottled,noisy,print,retro,rough,striped,stroke,surface,textile,tracery,variegated,vector,versatile,vintage,white,wrapping,zigzag",https://image.shutterstock.com/image-vector/abstract-monochrome-irregular-weave-stroke-600w-1019320711.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/abstract-monochrome-irregular-weave-stroke-600w-1019320711.jpg', 'path': 'full/a520c9450ddd9aaf4f274453506f5687fa1c5f19.jpg', 'checksum': 'cddd300f71fd2ce1de506f9e81a005e7'}]"
1921540274,1,seamless+pattern+zigzag,vector,Trigubova,Native American seamless pattern. Aztec navajo tribe indian art. Peru brown boho geometric vector background. Mexico motif.,"pattern,seamless,abstract,american,apache,art,artwork,aztec,backdrop,background,boho,brown,colorful,culture,decoration,design,element,ethnic,fabric,fashion,geometric,graphic,hand drawn,hipster,illustration,indian,mexican,mexico,modern,motif,national,native,navajo,ornament,paper,peru,peruvian,primitive,repeating,rug,scrapbook,seamless pattern,textile,texture,traditional,tribal,tribe,vector,wallpaper,zigzag",https://image.shutterstock.com/image-vector/native-american-seamless-pattern-aztec-600w-1921540274.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/native-american-seamless-pattern-aztec-600w-1921540274.jpg', 'path': 'full/7e88e8602c85520801bf2e37f3672267b1c8ef2d.jpg', 'checksum': 'cf655e93ebf38c6b20d6835fefa16c0b'}]"
549921604,1,seamless+pattern+zigzag,vector,Cosid,abstract zigzag and rhombus pattern background with pink color.native pattern,"pattern,pink,rhombus,valentine,seamless,modern,vector,line,tribal,background,ethnic,link,love,motif,zigzag,connection,decor,retro,symmetry,vintage,abstract,art,beauty,chevrons,clothing,creative,decorate,design,element,endless,fabric,fashion,geometric,greeting card,hipster,illusion,illustration,interlaced grids,native,optical,ornament,poster,repeating,shade,silk,structure,textile,textures,tone,wallpaper",https://image.shutterstock.com/image-vector/abstract-zigzag-rhombus-pattern-background-600w-549921604.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/abstract-zigzag-rhombus-pattern-background-600w-549921604.jpg', 'path': 'full/d062d0d1e8281a7a1514a65df1663b5b1c5f1cb7.jpg', 'checksum': '518cb14e830f76b5551587ed6cc0ae9f'}]"
635329268,1,seamless+pattern+zigzag,vector,cepera,Abstract washed effect herringbone motif textured background. Seamless pattern.,"pattern,texture,seamless,fabric,stripe,grunge,abstract,vector,effect,background,black,design,worn,fade,irregular,motif,print,mesh,tile,variegated,white,zigzag,graphic,modern,monochrome,mottled,rough,surface,decorative,marble,retro,charcoal,cover,creative,distortion,distressed,dyed,element,flecked,herringbone,imperfect,noise,spotty,stroke,template,textile,tracery,versatile,vintage,washed",https://image.shutterstock.com/image-vector/abstract-washed-effect-herringbone-motif-600w-635329268.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/abstract-washed-effect-herringbone-motif-600w-635329268.jpg', 'path': 'full/48a5fbd5d99a1dac4b4e7e9ea09c67b3fd664f00.jpg', 'checksum': 'a2c89b0411309e8fc2b12396cc114ced'}]"
116076277,1,seamless+pattern+zigzag,vector,irmairma,Folk ornamental textile seamless pattern,"pattern,aztec,seamless,ethnic,tribal,navajo,print,vector,indian,ikat,mexican,texture,native,stripe,motif,rug,abstract,fabric,textile,rhombus,traditional,background,element,fashion,geometric,maya,cloth,design,culture,graphic,handmade,national,zigzag,ancient,antique,backdrop,banner,cotton,craft,cultural,decor,edge,illustration,indigenous,pink,primitive,woven",https://image.shutterstock.com/image-vector/folk-ornamental-textile-seamless-pattern-600w-116076277.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/folk-ornamental-textile-seamless-pattern-600w-116076277.jpg', 'path': 'full/46e3cb7367ad16a9c6c39fa5063109a983259173.jpg', 'checksum': '6315d55e8900dfd337ff4341e63497df'}]"
99650969,1,seamless+pattern+zigzag,vector,lemony,Seamless patterns with fabric texture,"pattern,background,seamless,pastel,fabric,child,plaid,texture,color,pink,wallpaper,yellow,girl,modern,zigzag,blue,card,line,set,abstract,green,picnic,collection,fashion,polka,image,backdrop,graphic,holiday,shape,twirl,artistic,clip,colorful,cotton,decor,design,dots,element,frames,grunge,industry,ornaments,spiral,stripes,symbol,textile,white,wrapping",https://image.shutterstock.com/image-vector/seamless-patterns-fabric-texture-600w-99650969.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/seamless-patterns-fabric-texture-600w-99650969.jpg', 'path': 'full/f42b06fc2cc6813dc444a9c8bc854cd08a4e90ff.jpg', 'checksum': 'a0b1d913fde0c3d9c3522b44919bbf3b'}]"
379547914,1,seamless+pattern+zigzag,vector,saranchuk,"Hand drawn pattern. Zigzag and stripe line. Vector illustration for tribal design. Black and white colors. For textile, wallpaper, wrapping paper. Ethnic theme","pattern,ethnic,seamless,african,boho,paint,hand,mexican,tribal,rustic,abstract,drawing,native,texture,art,border,geometric,illustration,print,vector,vintage,zigzag,american,aztec,black,brush,design,drawn,grunge,line,ornament,white,background,chevron,fabric,fashion,graphic,linear,retro,stripe,textile,wallpaper",https://image.shutterstock.com/image-vector/hand-drawn-pattern-zigzag-stripe-600w-379547914.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/hand-drawn-pattern-zigzag-stripe-600w-379547914.jpg', 'path': 'full/41a237aeb38af8c969371986a336fa74f6cc99f5.jpg', 'checksum': 'b5e96aaf080632415a9ee249dc502fa5'}]"
535110295,1,seamless+pattern+zigzag,vector,Imichman,"Vector seamless pattern. Modern stylish texture in the form of zigzags, waves. Regularly repeating geometric shapes, dotted zigzag stripes. Vector element of graphical design","pattern,seamless,geometric,dot,simple,modern,small,stripe,abstract,design,texture,vector,background,fabric,minimal,repeat,stylish,art,classic,cotton,print,graphic,ornament,retro,shape,zigzag,decorative,elegant,trendy,contemp,cover,decor,decoration,dotted,element,endless,grid,minimalism,mosaic,original,ornamental,periodic,regular,style,surface,textile,textured,tile,wallpaper,wave",https://image.shutterstock.com/image-vector/vector-seamless-pattern-modern-stylish-600w-535110295.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/vector-seamless-pattern-modern-stylish-600w-535110295.jpg', 'path': 'full/ff6e26700007d1125acac84450a391125aefed00.jpg', 'checksum': '1c676b4d5c35512ad3ebb2478a847bca'}]"
149515673,1,seamless+pattern+zigzag,vector,afekung,popular zigzag chevron grunge pattern background,"pattern,chevron,pink,zigzag,vector,background,blue,seamless,geometric,wallpaper,graphic,print,retro,fashion,texture,creative,grunge,weave,design,fabric,illustration,little,paper,scrapbook,style,abstract,art,artistic,artwork,backdrop,classic,continuity,cover,decor,drawing,element,fantasy,herringbone,image,mosaic,repetition,scrap,simplicity,stripes,textile,tile,woven,wrapping",https://image.shutterstock.com/image-vector/popular-zigzag-chevron-grunge-pattern-600w-149515673.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/popular-zigzag-chevron-grunge-pattern-600w-149515673.jpg', 'path': 'full/8d150ef44192706795ee4c2000f7f56cfe19229f.jpg', 'checksum': 'c3df013196599eaf9be95e5c8c685ea4'}]"
646392622,1,seamless+pattern+zigzag,vector,Vanzyst,Vector tags seamless pattern. Fashion black and white graffiti hand drawing design texture in hip hop street art style for t-shirt skateboard textile,"pattern,hip,urban,street,background,icon,lightning,art,vector,energy,paint,texture,arrow,flash,letter,font,grunge,illustration,bolt,doodle,spray,black,graphic,silhouette,stroke,ink,rough,splatter,style,tag,thunderbolt,abstract,charge,concept,danger,design,drawing,electric,element,fashion,graffiti,light,modern,sign,sketch,symbol,textured,white,writing,zigzag",https://image.shutterstock.com/image-vector/vector-tags-seamless-pattern-fashion-600w-646392622.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/vector-tags-seamless-pattern-fashion-600w-646392622.jpg', 'path': 'full/7d1d24f9c7a271dc29fdac0f641b1c148d9a4fd2.jpg', 'checksum': 'e877f67c765bfa75c26c844ee737216a'}]"
167319050,1,seamless+pattern+zigzag,vector,Baksiabat,Herringbone fabric seamless pattern. Vector illustration.,"pattern,seamless,abstract,chevron,geometric,pink,vector,zigzag,background,stamp,white,bright,fashion,grunge,illusion,print,retro,texture,tweed,apparel,art,backdrop,classic,cloth,clothes,clothing,cotton,decor,decoration,design,diagonal,fabric,female,frame,graphic,illustration,natural,ornament,paper,repeat,simple,stripes,style,textile,tile,traditional,vintage,wallpaper,weave",https://image.shutterstock.com/image-vector/herringbone-fabric-seamless-pattern-vector-600w-167319050.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/herringbone-fabric-seamless-pattern-vector-600w-167319050.jpg', 'path': 'full/57dd6f1674e773e03d12370003ccb35e89ebf89e.jpg', 'checksum': '35bdf22c97994d2eba88bdfdaaaa233d'}]"
