id,pageNum,searchTerm,type,contributer,description,keywords,image_urls,images
1087572173,1,seamless+pattern+tropic,vector,good_mood,Tropical vintage hibiscus plumeria floral green leaves seamless pattern white background. Exotic wallpaper,"pattern,floral,print,seamless,wallpaper,flower,leaf,leaves,jungle,aloha,palm,beach,background,fashion,nature,greenery,hawaii,summer,vintage,botanical,design,exotic,holiday,illustration,plant,textile,tropical,vacation",https://image.shutterstock.com/image-vector/tropical-vintage-hibiscus-plumeria-floral-600w-1087572173.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/tropical-vintage-hibiscus-plumeria-floral-600w-1087572173.jpg', 'path': 'full/dce5847580dd3051b1823e0ad95349b15cbfc881.jpg', 'checksum': '8731d1a67a31eaabe629be045752c504'}]"
1873849120,1,seamless+pattern+tropic,vector,KrisTut,"A set of two cute seamless crocodile patterns with stripes. Vector childish illustration on white background. Print on poster, postcards, clothes.","baby,boy,pattern,seamless,tropical,africa,alligator,animal,backdrop,background,blue,card,cartoon,character,children,color,crocodile,cute,decor,decoration,design,doodle,drawing,element,fabric,fun,graphic,green,illustration,infant,interior,jungle,kid,nature,nursery,paper,print,repeated,reptile,safari,scandinavian,summer,textile,texture,wallpaper,white,wild,wildlife,wrapping",https://image.shutterstock.com/image-vector/set-two-cute-seamless-crocodile-600w-1873849120.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/set-two-cute-seamless-crocodile-600w-1873849120.jpg', 'path': 'full/111c7b2835ea03994b14af42f0fc66ff9a7f8c79.jpg', 'checksum': '42703f1c730d62f3d7640807026db3dd'}]"
428203480,1,seamless+pattern+tropic,vector,NataliaKo,"Tropical palm leaves, jungle leaves seamless vector floral pattern background","tropic,pattern,palm,leaf,background,vector,tree,green,seamless,plant,jungle,print,summer,wallpaper,texture,hawaii,beach,nature,spring,vintage,safari,white,design,exotic,painting,modern,art,artwork,isolated,beauty,brazil,fashion,fabric,flora,garden,branch,miami,popular,decoration,island,california,textile,feminine,botanical,colorful,fashionable,illustration,subtropical",https://image.shutterstock.com/image-vector/tropical-palm-leaves-jungle-seamless-600w-428203480.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/tropical-palm-leaves-jungle-seamless-600w-428203480.jpg', 'path': 'full/ad85550993d982d711d0b639d288dbd217ebba42.jpg', 'checksum': 'c5e66e06b73569eb292f2596daea48eb'}]"
458259124,1,seamless+pattern+tropic,vector,tets,Colorful seamless vector pattern with pineapples,"pineapple,pattern,vector,seamless,background,beauty,doodle,jungle,summer,texture,bright,ornament,wallpaper,yellow,food,fruit,line,design,fabric,leaf,pretty,square,colorful,contrast,decoration,element,exotic,fantasy,graphic,green,illustration,ornate,rich,saturated,splendid,textile,tropical,vibrant,wrapping,zendoodle,zentangle",https://image.shutterstock.com/image-vector/colorful-seamless-vector-pattern-pineapples-600w-458259124.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/colorful-seamless-vector-pattern-pineapples-600w-458259124.jpg', 'path': 'full/8572e76c302b20950be6050d177f9995b536e7af.jpg', 'checksum': 'fa104b5c16ab6e9fe47eb0ee9b236f24'}]"
597263075,1,seamless+pattern+tropic,vector,msmoloko,"Exotic tropical vrctor background with hawaiian plants and flowers. Seamless indigo tropical pattern with monstera and sabal palm leaves, guzmania flowers.","pattern,tropic,background,flower,blue,jungle,vector,dark,floral,palm,black,leaf,texture,seamless,navy,print,plant,hawaiian,summer,exotic,tree,forest,indigo,fabric,abstract,hawaii,wallpaper,design,art,beach,red,denim,vintage,fashion,modern,california,textile,monstera,orange,resort,rainforest,aloha,sabal,backdrop,botanical,drawing,guzmania,illustration,tropical",https://image.shutterstock.com/image-vector/exotic-tropical-vrctor-background-hawaiian-600w-597263075.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/exotic-tropical-vrctor-background-hawaiian-600w-597263075.jpg', 'path': 'full/57533a3b862de124a0c67b8b200efcb27bd7382c.jpg', 'checksum': '855044fb3fc2a05733f83c80f1213706'}]"
759771154,1,seamless+pattern+tropic,vector,Natallia+Novik,"Watercolor seamless pattern with tropical leaves: palms, monstera, passion fruit. Beautiful allover print with hand drawn exotic plants. Swimwear botanical design. Vector.","pattern,tropic,flower,watercolor,seamless,leaf,abstract,floral,print,palm,vector,banana,texture,jungle,foliage,background,bamboo,vintage,illustration,tree,art,painting,wallpaper,fashion,green,hawaiian,nature,textile,fabric,set,botany,element,exotic,garden,branch,beautiful,botanical,california,card,decoration,drawing,natural,paradise,plant,tropical",https://image.shutterstock.com/image-vector/watercolor-seamless-pattern-tropical-leaves-600w-759771154.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/watercolor-seamless-pattern-tropical-leaves-600w-759771154.jpg', 'path': 'full/5639465ebbb61e79e57bb8b3b1cf6e604bf6fb2d.jpg', 'checksum': '722aca9d0282b824ae801ef442b9ab6b'}]"
603902225,1,seamless+pattern+tropic,vector,Daria+Kubrak,Exotic leaves and flowers on geometrical ornament. Seamless tropical pattern. Vector background with paradise bird flower and rhombus.,"pattern,summer,flower,vector,seamless,background,beach,exotic,plant,bird,palm,pineapple,boho,fashion,pink,aloha,floral,jungle,leaf,design,wallpaper,hawaiian,hawaii,art,square,stripe,white,drawn,rainforest,backdrop,black,tree,hibiscus,monstera,nature,rhombus,green,heat,botany,south,beak,colorful,creature,illustration,natural,tropical,tropics",https://image.shutterstock.com/image-vector/exotic-leaves-flowers-on-geometrical-600w-603902225.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/exotic-leaves-flowers-on-geometrical-600w-603902225.jpg', 'path': 'full/749585ba642eeafa4ab5a058121a35c896146f1f.jpg', 'checksum': 'e9aa217d6b6e9f948c1d6c8fb05f7f92'}]"
1520546396,1,seamless+pattern+tropic,vector,yulianas,Tropical background seamless pattern of imitation of watercolor palms. Botanical vector wallpaper,"pattern,seamless,palm,color,print,tree,watercolor,floral,trendy,botany,design,green,illustration,jungle,spring,summer,water,art,backdrop,background,beautiful,branch,colorful,decoration,drawing,ecology,element,exotic,fashion,fresh,graphic,hawaii,isolated,leaf,nature,outdoors,painted,paper,paradise,plant,rainforest,tropical,twig,unusual,vector,wallpaper,wrapping",https://image.shutterstock.com/image-vector/tropical-background-seamless-pattern-imitation-600w-1520546396.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/tropical-background-seamless-pattern-imitation-600w-1520546396.jpg', 'path': 'full/6329d2555f7f1fa982242727c33ae9b8acbac46c.jpg', 'checksum': '69d0d61c9ebfa7f9d69dc545b93d64b5'}]"
1711748359,1,seamless+pattern+tropic,vector,vectortwins,"Luxury gold and nature green background vector. Floral pattern, Golden split-leaf Philodendron plant with monstera plant line arts, Vector illustration.","pattern,background,gold,flower,green,leaf,wallpaper,plant,vector,abstract,texture,seamless,floral,vintage,luxury,nature,blue,monstera,foliage,design,jungle,art,white,golden,palm,decor,classic,fashion,orchid,tree,fabric,ornament,retro,houseplant,philodendron,exotic,hawaii,fresh,set,summer,wrapping,botanical,decoration,decorative,illustration,isolated,mons,natural,travel,tropical",https://image.shutterstock.com/image-vector/luxury-gold-nature-green-background-600w-1711748359.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/luxury-gold-nature-green-background-600w-1711748359.jpg', 'path': 'full/2b97b4e82926d3b993b6f09850caadc33d153a31.jpg', 'checksum': '3b3c77e564c27045d57ebc5d4eb5626e'}]"
524806210,1,seamless+pattern+tropic,vector,julia_blnk,Seamless background with banana leaves,"pattern,leaf,banana,seamless,fashion,background,vector,abstract,palm,golden,print,summer,texture,tree,art,graphic,aloha,design,exotic,plant,retro,vintage,shirt,textile,tribal,beach,hawaiian,silhouette,spring,blue,bright,green,hawaii,miami,surf,triangle,wallpaper,beautiful,botanical,california,illustration,luau,paradise,style,sunshine,surfing,tropical,vacation",https://image.shutterstock.com/image-vector/seamless-background-banana-leaves-600w-524806210.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/seamless-background-banana-leaves-600w-524806210.jpg', 'path': 'full/04740c9785c50c59184e59d66099a5b5ee1dfd55.jpg', 'checksum': '3e13e9436b1d5aebba87ca4edbb484b9'}]"
1064636528,1,seamless+pattern+tropic,vector,berry2046,Tropical birds pink flamingo exotic flowers bird of paradise (strelitzia) dark blue palm leaves black background seamless vector pattern,"pattern,flamingo,tropic,bird,pink,seamless,vector,flower,leaf,print,watercolor,floral,palm,texture,black,summer,wallpaper,background,exotic,jungle,paradise,animal,fashion,wild,art,blue,illustration,backdrop,beach,beautiful,botanical,design,fabric,monstera,strelitzia,tree,color,colorful,decoration,drawing,element,hawaii,nature,ornament,plant,spring,textile,trendy,tropical,wedding",https://image.shutterstock.com/image-vector/tropical-birds-pink-flamingo-exotic-600w-1064636528.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/tropical-birds-pink-flamingo-exotic-600w-1064636528.jpg', 'path': 'full/2d47419ab7cd8ea3e084459024c1704a91f36975.jpg', 'checksum': '300e513b458738b7e1341237cfc2492d'}]"
635288321,1,seamless+pattern+tropic,vector,Yngvarr,"Exotic summer endless backgrounds, Abstract  creative trendy colorful seamless pattern with pineapples urban geometric seamless pattern. Squares, stripes, lines. Hand drawn artistic texture. Pop-art.","pattern,art,seamless,tropical,abstract,urban,geometric,pineapple,pop,fashion,repeat,fruit,print,street,vector,grunge,paint,background,summer,backdrop,design,food,illustration,modern,style,black,bright,chaotic,fabric,fresh,graphic,line,splash,textile,texture,brush,color,colorful,creative,dot,element,green,ink,nature,retro,shape,triangle,wallpaper,white",https://image.shutterstock.com/image-vector/exotic-summer-endless-backgrounds-abstract-600w-635288321.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/exotic-summer-endless-backgrounds-abstract-600w-635288321.jpg', 'path': 'full/f0471536a37e2d4ffebe2bfdcf395b517c060b2d.jpg', 'checksum': 'e416e277488274a81421ad52671f3b49'}]"
