id,pageNum,searchTerm,type,contributer,description,keywords,image_urls,images
1773865199,1,seamless+pattern+pastel,illustration,Q3kia_Pictures,Blue Gray Pattern. Purple Grungy Canvas. Fabric Wrinkled Graffiti. Seamless Purple Dirty Art. Dirty Dyed Splat. Blue Water Paper. Blue Old Ink. Gray Pastel Stroke. Grey Dyed Tye Dye. Blue Watercolor,"pattern,dye,pastel,watercolor,abstract,art,artwork,azure,background,blob,blue,canvas,color,dirty,distressed,dyed,effect,fabric,fashion,gradient,gray,grey,grunge,grungy,hippie,ink,japanese,modern,paint,paintbrush,paper,parchment,print,purple,rustic,shape,splash,splatter,spot,spray,stain,stripe,stroke,texture,tie,traditional,wallpaper,wash,water,wet",https://image.shutterstock.com/image-illustration/blue-gray-pattern-purple-grungy-600w-1773865199.jpg,"[{'url': 'https://image.shutterstock.com/image-illustration/blue-gray-pattern-purple-grungy-600w-1773865199.jpg', 'path': 'full/39bd7c4362487f1e4d09429e6a75578ee846b8fd.jpg', 'checksum': 'b8bea0a0374358ad5f5da221266fd23e'}]"
1405359335,1,seamless+pattern+pastel,vector,sunwart,"Hand drawn striped pattern, pink girly stripe seamless background, for wrapping, wallpaper, textile. paint ink brush strokes. vector grunge stripes, cute baby paintbrush line backdrop","stripe,pattern,pastel,texture,seamless,color,line,wallpaper,watercolor,background,brush,paint,girly,strip,vector,wall,baby,child,makeup,paper,cute,vertical,gift,nude,rose,swatch,girl,hand,handdrawn,illustration,mother,pink,print,drawn,grunge,shower,sweet,vintage,white,woman,card,geometric,graphic,horizontal,light,lines,smudges,striped,two,wrap",https://image.shutterstock.com/image-vector/hand-drawn-striped-pattern-pink-600w-1405359335.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/hand-drawn-striped-pattern-pink-600w-1405359335.jpg', 'path': 'full/77a257274da2dc535b13a4905ce29ac6712ad40c.jpg', 'checksum': '57af58abea22def5db69a20efee8d908'}]"
1717605061,1,seamless+pattern+pastel,vector,Carla_S,vector seamless pattern inspired by retro wallpaper designs in pastel colors,"pattern,seamless,wallpaper,geometric,leaf,vector,texture,modern,abstract,fabric,backdrop,background,decorative,design,foliage,leaves,line,baroque,creative,vintage,art,artistic,bright,color,curve,decor,decoration,element,graphic,illustration,image,interior,leafs,light,ornament,outline,pastel,print,repeated,retro,shape,silhouette,silk,swirl,textile,tile,trend,trending,wave,weave",https://image.shutterstock.com/image-vector/vector-seamless-pattern-inspired-by-600w-1717605061.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/vector-seamless-pattern-inspired-by-600w-1717605061.jpg', 'path': 'full/c543483b5c6a256b525147df62195b9be36bc9b3.jpg', 'checksum': 'b665bb96ed0c4b33328bad9ac6b2814f'}]"
1028245762,1,seamless+pattern+pastel,illustration,lisima,Seamless pattern with spring flowers and leaves. Hand drawn background.  floral pattern for wallpaper or fabric. Flower rose. Botanic Tile.,"pattern,floral,flower,seamless,rose,wallpaper,watercolor,pink,background,print,vintage,texture,fabric,ornament,painting,design,abstract,spring,white,gray,tile,wall,textile,decorative,valentine,structure,art,blossom,branch,furniture,graphic,retro,card,leaf,panting,paper,template,artistic,bedclothes,floral background,hand drawn,illustration,invitation,pastel color,postcard,vintage style,wrapper,wrapping paper",https://image.shutterstock.com/image-illustration/seamless-pattern-spring-flowers-leaves-600w-1028245762.jpg,"[{'url': 'https://image.shutterstock.com/image-illustration/seamless-pattern-spring-flowers-leaves-600w-1028245762.jpg', 'path': 'full/3f65148f17566b2ad48a55056d2a4ea50b374b29.jpg', 'checksum': '8dacca4e974253d22037785a1df6d6d1'}]"
1464621110,1,seamless+pattern+pastel,vector,Bibadash,"Various lines and shapes. Rainbow shapes, curves, arcs. Set of three colorful abstract seamless patterns. Hand drawn vector illustrations. Every pattern is isolated","abstract,shape,rainbow,vector,illustration,background,doodle,scribble,geometry,curve,collage,trendy,line,modern,repeat,texture,bright,pastel,print,simple,contemporary,graphic,cartoon,fabric,textile,arc,backdrop,beauty,beige,design,sketch,abstraction,art,background texture,colored,colorful,creative,decoration,elements,for print,hand drawn,isolated,lines,pastel colors,seamless pattern,striped,stripes,various colors,wrapping paper",https://image.shutterstock.com/image-vector/various-lines-shapes-rainbow-curves-600w-1464621110.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/various-lines-shapes-rainbow-curves-600w-1464621110.jpg', 'path': 'full/600beb913f5314c41d83e174a2e47f791a84c2c3.jpg', 'checksum': '93e0aa498d2a0f64fd037195d7109205'}]"
1838043025,1,seamless+pattern+pastel,illustration,JOY8046,"Seamless pattern of chrysanthemum, rose, peony and Blooming flowers with watercolor on pastel colors. Design for fabric luxurious and wallpaper, vintage style. Hand drawn floral pattern.Botany garden.","seamless,pattern,watercolor,floral,flower,peony,design,retro,spring,drawing,illustration,rose,tile,wallpaper,art,background,beautiful,bloom,blooming flowers,blossom,botanical,bouquet,branch,chrysanthemum,colorful,decoration,decorative,elegant,fabric,fashion,flora,garden,graphic,leaf,nature,painting,paper,pastel,pink,plant,print,romantic,summer,template,textile,texture,tropic,valentine,valentines,vintage",https://image.shutterstock.com/image-illustration/seamless-pattern-chrysanthemum-rose-peony-600w-1838043025.jpg,"[{'url': 'https://image.shutterstock.com/image-illustration/seamless-pattern-chrysanthemum-rose-peony-600w-1838043025.jpg', 'path': 'full/643c9a42be770cb5fe0cbfd37c6990aa22b34b18.jpg', 'checksum': '540c943190e89da551010584245679d4'}]"
1752117938,1,seamless+pattern+pastel,vector,sini4ka,"Set of Tropical Monstera Seamless Leaf Patterns. Vector floral background in a trendy minimalistic linear style in pastel colors for printing packaging, fabric, t-shirts, covers, posters. Vol. 2","monstera,abstract,seamless,repeat,art,invitation,leaf,leaves,outline,pattern,wedding,backdrop,background,beach,botanical,collage,decoration,design,drawing,exotic,fabric,flora,floral,flower,foliage,forest,garden,greenery,houseplant,illustration,jungle,light,line,palm,pastel,plant,print,season,sketch,spring,summer,textile,texture,tree,tropical,vector,wallpaper",https://image.shutterstock.com/image-vector/set-tropical-monstera-seamless-leaf-600w-1752117938.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/set-tropical-monstera-seamless-leaf-600w-1752117938.jpg', 'path': 'full/621fb211c944b2b75058214ca443b110fac71309.jpg', 'checksum': 'd65523390eb0337e19da549ea42a5357'}]"
1855682995,1,seamless+pattern+pastel,vector,ViAViChe,seamless illustration with animals. white rabbits with dragonflies on a light blue background. cute kids ornament,"easter,pattern,seamless,bunny,cute,floral,plant,spring,vector,watercolor,animal,april,art,baby,baby illustration,background,background blue,boy,cartoon,character,child,child print,childish character,cloth,decor,design,drawing,flower,forest,funny,green,happy,illustration,kid,leaf,light,love,nature,pastel,print,rabbit,textile,texture,toddler,wallpaper,watercolor style,white bunny",https://image.shutterstock.com/image-vector/seamless-illustration-animals-white-rabbits-600w-1855682995.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/seamless-illustration-animals-white-rabbits-600w-1855682995.jpg', 'path': 'full/a5f646ed6fcdd45425180a298029d52243b370e5.jpg', 'checksum': '8b3eb796140e710253d026f2dc0b10ee'}]"
1727604418,1,seamless+pattern+pastel,vector,nataka,"seamless pattern with beautiful rainbow, star and flowers
 -  vector illustration, eps","baby,princess,vector,baby girl,baby shower,background,beautiful,beauty,blossom,butterfly,cartoon,character,child,childhood,children room,cloud,cute,decor,decoration,decorative,design,dream,floral,flower,girl,happy,illustration,insect,isolated,kid,leaf,little,lovely,magic,magical,nature,newborn,nursery,pastel colors,people,print,rainbow,seamless pattern,sky,star,summer,texture,trendy,wallpaper,white background",https://image.shutterstock.com/image-vector/seamless-pattern-beautiful-rainbow-star-600w-1727604418.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/seamless-pattern-beautiful-rainbow-star-600w-1727604418.jpg', 'path': 'full/79d9522a14e07f7fb2290c450bdcc3484ad759ee.jpg', 'checksum': '387ff898e0e26ed154ff91a54f44f85e'}]"
1806792478,1,seamless+pattern+pastel,vector,Toltemara,"Seamless vector floral summer pattern background with tropical palm leaves and hibiscus flowers. Elegant pastel palette. Perfect for wallpapers, web page backgrounds, surface textures, textile.","africa,america,art,back,backdrop,background,beauty,botanical,brazil,brazilian,colorful,design,exotic,fashion,floral,flowers,forest,garden,graphic,green,hawaii,hawaiian,hibiscus,illustration,jungle,leaf,monstera,natural,nature,palm,paradise,pastel,pattern,plant,rio,seamless,south,summer,textile,texture,tile,tree,trendy,tropic,tropical,vector,vintage,wallpaper,web,wing",https://image.shutterstock.com/image-vector/seamless-vector-floral-summer-pattern-600w-1806792478.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/seamless-vector-floral-summer-pattern-600w-1806792478.jpg', 'path': 'full/a9e9ddf9a50be5f5c02463e86651e9f3802137b8.jpg', 'checksum': 'bac6a972f83da30006edc48b76134d8e'}]"
