id,pageNum,searchTerm,type,contributer,description,keywords,image_urls,images
1211328580,1,seamless+pattern+template,vector,Ezhevika,Set of Geometric seamless patterns. Abstract geometric  hexagonal  graphic design print 3d cubes pattern. Seamless  geometric cubes pattern.,"pattern,geometric,background,seamless,vector,wallpaper,texture,modern,line,set,graphic,design,grid,vintage,abstract,repeat,tile,simple,shape,triangle,decor,square,ornament,hexagon,fabric,retro,block,3d,cube,structure,stripe,black,mosaic,cubic,element,optical,cover,print,stylish,style,template,wrapping,artistic,concept,creative,backdrop,decoration,decorative,geometry,illustration",https://image.shutterstock.com/image-vector/set-geometric-seamless-patterns-abstract-600w-1211328580.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/set-geometric-seamless-patterns-abstract-600w-1211328580.jpg', 'path': 'full/fb7a6e763087822b16b1f12e8523ab735e443790.jpg', 'checksum': 'b2103b92a9bb4ad256ba8c2c190a0e69'}]"
1634269168,1,seamless+pattern+template,vector,annandpen,Cute floral pattern in the small flower. Ditsy print. Seamless vector texture. Elegant template for fashion prints. Printing with small white flowers. Light orange background.,"floral,ditsy,pattern,flower,seamless,daisy,print,vintage,small,cute,tiny,background,field,folk,pretty,retro,spring,little,meadow,modern,repeat,romantic,summer,texture,calico,chamomile,coral color,country-style,elegant,fabric,fashion print,floral pattern,fond,garden,gentle,gift wrap,leaf,liberty,motif,ornament,random,rustic chic,shabby chic,simple,simplicity,surface,textile,vector illustration,wallpaper,wild flowers",https://image.shutterstock.com/image-vector/cute-floral-pattern-small-flower-600w-1634269168.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/cute-floral-pattern-small-flower-600w-1634269168.jpg', 'path': 'full/51558ba1eb84679be405f488902de646525c8bd7.jpg', 'checksum': 'dcb8de40bc8f4b93deb6cfbc05218ee9'}]"
502215445,1,seamless+pattern+template,vector,Zenina,"Vector watercolour floral pattern, delicate flowers, yellow, blue and pink flowers, greeting card template","flower,pattern,watercolor,floral,background,spring,vector,seamless,summer,wallpaper,blue,simple,nature,leaves,rose,vintage,red,card,white,beauty,design,romantic,wedding,delicate,textile,blossom,garden,small,ethnic,petal,fabric,beautiful,botanical,flower pattern,illustration,nice,watercolor flower,watercolours",https://image.shutterstock.com/image-vector/vector-watercolour-floral-pattern-delicate-600w-502215445.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/vector-watercolour-floral-pattern-delicate-600w-502215445.jpg', 'path': 'full/5ca5ead2abc3650423dd222d1d3c489893eff557.jpg', 'checksum': '1b496190f28116ec2d8f1ad0301b2200'}]"
644674321,1,seamless+pattern+template,vector,Denis+Lightman,Vector seamless pattern. Modern stylish texture. Repetition of geometric tiles with an abstract mesh of drops.,"pattern,drop,geometric,seamless,texture,abstract,modern,vector,oval,background,wallpaper,ornament,design,fancy,frame,repeat,tile,carpet,contemporary,graphic,continuous,ellipse,grid,lamp,print,structure,black,illustration,lattice,art,decor,fabric,funky,monochrome,backdrop,flat,model,style,swatch,textile,bulb,creative,decoration,decorative,ornate,package,stylized,template,tracery,wrapping",https://image.shutterstock.com/image-vector/vector-seamless-pattern-modern-stylish-600w-644674321.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/vector-seamless-pattern-modern-stylish-600w-644674321.jpg', 'path': 'full/97ef0c72bfe2d1e65bd08522d369ffc42cae65bf.jpg', 'checksum': '7367576f5093b328c06f35dfd1a0d9bf'}]"
1040603947,1,seamless+pattern+template,vector,ychty,Set of Cute bright seamless patterns. Vector illustration bright design. Abstract seamless geometric pattern on vibrant background.,"pattern,background,texture,seamless,vector,modern,wallpaper,frame,abstract,vintage,fabric,elegant,line,retro,bright,design,geometric,orange,rhombus,stripe,trendy,vibrant,decoration,green,pink,blue,textile,set,package,purple,label,stylish,card,fashion,grid,template,tile,chevron,collection,style,taupe,zigzag,art deco,decorative,greeting card,illustration,invitation,netting,striped,wrapping paper",https://image.shutterstock.com/image-vector/set-cute-bright-seamless-patterns-600w-1040603947.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/set-cute-bright-seamless-patterns-600w-1040603947.jpg', 'path': 'full/9574533e40972d2bae363b135cf6f910664f5795.jpg', 'checksum': '60dde2bb334de9c39b627df8dc0e3ce5'}]"
1134617462,1,seamless+pattern+template,vector,Yngvarr,"Abstract geometric seamless pattern. Graphic vector. Racing background for vinyl wrap and decal. Grunge, neon texture pattern. Sports textile. Fashion military.","pattern,sport,abstract,background,seamless,grunge,texture,geometric,extreme,line,graphic,black,modern,illustration,print,cloth,fabric,urban,art,retro,simple,stripe,textile,shape,color,monochrome,triangle,wallpaper,white,dot,geometry,fashion,halftone,hipster,backdrop,colorful,cover,creative,decor,decoration,decorative,element,ornament,repeat,style,template,tile,trendy",https://image.shutterstock.com/image-vector/abstract-geometric-seamless-pattern-graphic-600w-1134617462.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/abstract-geometric-seamless-pattern-graphic-600w-1134617462.jpg', 'path': 'full/d0e2a12d5772703a69d8ac6a683c92876b390531.jpg', 'checksum': 'bef3b2459b5449bdde44afd6f3a28d89'}]"
1024816108,1,seamless+pattern+template,vector,annandpen,Seamless floral pattern with a large-scale design of a woody vine with exotic flowers and smaller birds and tropic leaves on a  white background. The elegant the template for fashion prints. ,"flower,seamless,indian,jungle,wallpaper,background,simple,liberty,elegant,exotic,victorian,vintage,field,modern,pretty,texture,garden,fond,spring,blossom,cute,folklore,palm,plant,summer,tiny,forest,repeat,retro,fabric,leaf,bloom,colors,exotic flowers,fantasy background,fashion print,floral pattern,florals,gift wrap,leaves and flowers,patterns,prints,random,simplicity,smaller birds,tree of life,tropical,vector illustration,wild flowers,woody vine",https://image.shutterstock.com/image-vector/seamless-floral-pattern-largescale-design-600w-1024816108.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/seamless-floral-pattern-largescale-design-600w-1024816108.jpg', 'path': 'full/d5d45f8f23af10528e97b05b0492548477c88c6c.jpg', 'checksum': 'def33e122a0d4dd70c8e74be87c2d1ba'}]"
1801860700,1,seamless+pattern+template,vector,marukopum,Abstract seamless background with watercolor texture vector. Peony flower flower with brush stroke illustration in vintage style. Pastel colorful concept.,"watercolor,flower,pattern,abstract,seamless,art,background,vector,print,texture,vintage,floral,japan,paint,decorative,design,flyer,grunge,illustration,layout,poster,abstract arts background,art landscape,artistic,asian style,backdrop,banner,brush stroke texture,chinese,color,creative,elegance,element,fall,fluid,graphic,japanese pattern,liquid,modern,nature,new year cards material,ornament,retro,shape,template,textured,traditional,wallpaper,wave",https://image.shutterstock.com/image-vector/abstract-seamless-background-watercolor-texture-600w-1801860700.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/abstract-seamless-background-watercolor-texture-600w-1801860700.jpg', 'path': 'full/94c5d10fe810e4a03834758a82b14ae6b4564a47.jpg', 'checksum': '33915f69bcecb0a796300fe2fab6ddd2'}]"
1054340423,1,seamless+pattern+template,vector,Martyshova+Maria,"Marble seamless background with geometric shapes, tropical leaves and pink glitter. Diamond pattern. Template for textile, apparel, card, invitation, wedding etc.","pattern,marble,seamless,geometric,tropic,green,nature,background,gold,texture,vector,wallpaper,hexagon,leaves,abstract,design,glitter,golden,granite,jungle,summer,trendy,botanical,diamond,exotic,palm,shine,sparkle,fashion,modern,stone,anniversary,apparel,copper,crystal,decoration,decorative,element,hawaii,hipster,illustration,marbled,metallic,minimalism,rock,shiny,template,textile,tropical,vintage",https://image.shutterstock.com/image-vector/marble-seamless-background-geometric-shapes-600w-1054340423.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/marble-seamless-background-geometric-shapes-600w-1054340423.jpg', 'path': 'full/cdcc46dd209331ce157bf5ffa2dae04083895605.jpg', 'checksum': '3e418dd49374126c7abab2e7af6b690e'}]"
765308764,1,seamless+pattern+template,vector,RODINA+OLENA,"Abstract geometric pattern with lines, rhombuses A seamless background. Yellow, gold texture. Graphic modern pattern","pattern,line,background,seamless,diagonal,geometry,rhombus,square,quirky,modern,abstract,simple,stripe,wall,yellow,texture,wallpaper,decoration,gold,grid,surface,curtain,design,template,tile,backdrop,graphic,hexagon,mesh,abstraction,decorative,fashion,geometric,geometrical,graphical,grating,hexahedron,islamic,monochrome,ornament,repeating,style,tiled,unusual,unusually,wrapping",https://image.shutterstock.com/image-vector/abstract-geometric-pattern-lines-rhombuses-600w-765308764.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/abstract-geometric-pattern-lines-rhombuses-600w-765308764.jpg', 'path': 'full/2a0bd924c7c35d8af16d0491eeba520869a3c1d5.jpg', 'checksum': 'd0987d6402bfe95591c7b08f8eb01507'}]"
