id,pageNum,searchTerm,type,contributer,description,keywords,image_urls,images
1724058955,1,seamless+pattern+luxury,vector,SleepyPatterns+Co,Seamless watercolor romantic floral pattern on a white background. Vector format. White Background.,"floral,flower,pattern,background,seamless,watercolor,peony,large,pink,modern,yellow,big,green,illustration,loose,nature,romantic,small,backdrop,beautiful,blossom,blush,bouquet,brush,elements,fabric,garden,ink,luxury,natural,oriental,paint,peonies,poppy,red,rose,scattered,spring,textile,texture,wallpaper,wedding",https://image.shutterstock.com/image-vector/seamless-watercolor-romantic-floral-pattern-600w-1724058955.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/seamless-watercolor-romantic-floral-pattern-600w-1724058955.jpg', 'path': 'full/181b1290d0de5655eefb57d78c164dfcbcce4d10.jpg', 'checksum': '1755a2c5c192cdfedf8d209e64d50104'}]"
726091312,1,seamless+pattern+luxury,vector,Rodin+Anton,Big set of 24 vector ornamental seamless patterns. Collection of geometric patterns in the oriental style. Patterns added to the swatch panel.,"pattern,ornament,islam,arabesque,geometric,oriental,vector,background,seamless,texture,gold,set,ramadan,elegant,floral,luxury,modern,muslim,arab,moroccan,element,decor,fabric,asian,design,ethnic,art,turkish,wallpaper,arabian,graphic,beige,line,style,retro,textile,traditional,paper,white,vintage,abstract,illustration,wrapping,eastern,tracery,arabic,decoration,islamic,ornamental,tile",https://image.shutterstock.com/image-vector/big-set-24-vector-ornamental-600w-726091312.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/big-set-24-vector-ornamental-600w-726091312.jpg', 'path': 'full/d7d3dfafdeb2e0255cb40289c8f5fee318b8ff54.jpg', 'checksum': 'd9c7700d603ade988be7f23cced0e60a'}]"
1112476736,1,seamless+pattern+luxury,photo,Verkensons,"Very beautiful purple swirl pattern. Luxury art in Eastern style. Artistic design. Painter uses vibrant paints to create these magic art, with addition golden glitters. Masterpiece of designing art. ","abstract,art,gold,pattern,background,texture,nature,color,seamless,paint,agate,wallpaper,design,black,stone,watercolor,liquid,print,mixed,oil,water,ink,wave,artwork,ebru,paper,splash,stain,suminagashi,white,decorative,diy,drawing,modern,acrylic,backdrop,beautiful,creative,drawn,fluid art,handmade,illustration,liquid art,marble,marbled,marbleized effect,marbling,natural,natural luxury,surface",https://image.shutterstock.com/image-photo/very-beautiful-purple-swirl-pattern-600w-1112476736.jpg,"[{'url': 'https://image.shutterstock.com/image-photo/very-beautiful-purple-swirl-pattern-600w-1112476736.jpg', 'path': 'full/6363d2c3b88ff911727564eadeca82b80a3fd8d2.jpg', 'checksum': 'a937e0b94e780fa7c73c050d5819da81'}]"
1071089741,1,seamless+pattern+luxury,vector,NikaMooni,Elegant geometric seamless pattern with rose gold and golden vertical stripes.,"pattern,pink,glitter,seamless,background,stripe,texture,geometric,wallpaper,foil,luxury,girly,vector,beauty,elegant,fabric,line,ornament,print,golden,fashion,textile,abstract,art,glamour,modern,party,backdrop,minimal,premium,sparkle,trendy,chic,classic,copper,element,festive,scrapbook,bronze,shapes,decoration,simple,stylish,lovely,metallic,repeat,rose gold,scales,template,wrapping paper",https://image.shutterstock.com/image-vector/elegant-geometric-seamless-pattern-rose-600w-1071089741.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/elegant-geometric-seamless-pattern-rose-600w-1071089741.jpg', 'path': 'full/7446899d4afe83f0596ffcd55932b2946f2d3bdb.jpg', 'checksum': '49f92e1348bbe55244e97fe190e22e7b'}]"
1205934076,1,seamless+pattern+luxury,vector,lynea,"Pattern seamless abstract star background  gold luxury color and line. Geometric line vector Christmas background

","pattern,luxury,star,line,christmas,background,gold,geometric,japanese,vector,black,golden,white,seamless,design,paper,texture,form,metal,print,abstract,endless,modern,shape,decorative,repeat,stylish,wave,graphic,ornate,retro,wrapping,art deco,backdrop,backgrounds,color,decorate,elegant,fabric,flat,glow,holidays,patterns,printable,repetition,textile,traditional,vintage,wallpaper",https://image.shutterstock.com/image-vector/pattern-seamless-abstract-star-background-600w-1205934076.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/pattern-seamless-abstract-star-background-600w-1205934076.jpg', 'path': 'full/62c1f9735c1d1d6ed259f6c30e7c5766e6860efa.jpg', 'checksum': '4a514bee2341ea4f9eb60bff3ffa8946'}]"
397475683,1,seamless+pattern+luxury,vector,RODINA+OLENA,Seamless abstract floral pattern. Vector gold and white background. Geometric leaf ornament,"pattern,royal,seamless,ornament,luxury,geometric,vector,background,small,gold,simple,japanese,flower,abstract,oriental,modern,decor,graphic,leaf,floral,white,old,tile,delicate,wedding,carpet,curtain,wallpaper,design,fabric,baroque,color,damask,dot,fashion,ornate,art,elements,abstraction,cover,decoration,decorative,elegant,flourishes,gray,illustration,packaging,point,repeating,unusual",https://image.shutterstock.com/image-vector/seamless-abstract-floral-pattern-vector-600w-397475683.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/seamless-abstract-floral-pattern-vector-600w-397475683.jpg', 'path': 'full/d5b69778b2e69e954f6880a26784d5da59895cb1.jpg', 'checksum': '2d5c87b415ea28f9f156f9e181eb5830'}]"
1099619765,1,seamless+pattern+luxury,vector,NikaMooni,Elegant gold geometric seamless pattern with hexagons tiles.,"pattern,elegant,gold,background,luxury,wallpaper,geometric,seamless,vector,texture,premium,hexagon,modern,fabric,minimal,line,abstract,element,festive,chic,golden,tile,bronze,glitter,design,trellis,simple,vintage,glamour,print,rhombus,sparkle,classic,shine,decor,ornate,stylish,gradient,textile,backdrop,glow,mosaic,art deco,beautiful,fashion,metallic,shape,symmetry,trendy,wrapping paper",https://image.shutterstock.com/image-vector/elegant-gold-geometric-seamless-pattern-600w-1099619765.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/elegant-gold-geometric-seamless-pattern-600w-1099619765.jpg', 'path': 'full/d93e5aff737b0aa57e44cfe56c4698bc46b01e44.jpg', 'checksum': 'c258d7cb06150e0f0ea392f5c7c020b4'}]"
1767694025,1,seamless+pattern+luxury,vector,katyakatya,"Trendy seamless patterns set in navy blue tones. Cool abstract design. For fashion fabrics, kid’s clothes, home decor, quilting, T-shirts, backgrounds, cards and templates, scrapbooking etc. ","pattern,seamless,floral,abstract,blue,luxury,vector,bedding,cover,creative,design,linen,memphis,navy,royal,terrazzo,texture,winter,art,background,christmas paper,circle,collage,collection,contemporary,doodle,dot,elegant,fabric,geometric,gift wrap,graphic,hand drawn,holiday,illustration,modern,nature,night,pillow,polka dot,poster,print,science,scribble,spring,square,trendy,velvet,wallpaper,wrapping paper",https://image.shutterstock.com/image-vector/trendy-seamless-patterns-set-navy-600w-1767694025.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/trendy-seamless-patterns-set-navy-600w-1767694025.jpg', 'path': 'full/a89c791577c7c13d2a05d920ae16db5d4576bef0.jpg', 'checksum': 'a86185111c220d558928dd8d8fe128d3'}]"
1079589167,1,seamless+pattern+luxury,vector,DzmitryKim,stripe animals jungle tiger zebra fur texture pattern seamless repeating white black,"zebra,pattern,seamless,tiger,print,animal,repeat,vector,skin,background,texture,fur,african,black,abstract,art,exotic,leather,white,wild,zoo,africa,bengal,camouflage,cat,coat,decor,decoration,decorative,design,fabric,fashion,hair,illustration,jungle,luxury,material,natural,nature,rug,safari,striped,stripes,style,textile,textured,wallpaper,wildlife",https://image.shutterstock.com/image-vector/stripe-animals-jungle-tiger-zebra-600w-1079589167.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/stripe-animals-jungle-tiger-zebra-600w-1079589167.jpg', 'path': 'full/870fb9bc5bc62bf0330e1caa74c70502706c50a0.jpg', 'checksum': '0b5855bd9b2d840c328cb8d1bd58841e'}]"
555922009,1,seamless+pattern+luxury,vector,Softulka,Seamless geometric pattern. Vector abstract classical background in black and white color,"pattern,geometric,seamless,vector,black,abstract,modern,classic,linear,luxury,design,background,print,triangle,frame,minimal,texture,vintage,graphic,art,decoration,ornament,paper,thin,ornate,stylish,tile,trendy,wallpaper,fabric,repeat,arabic,backdrop,business,classical,decorative,element,geometrical,structure,swatch,textile,textured,tracery,wrapping",https://image.shutterstock.com/image-vector/seamless-geometric-pattern-vector-abstract-600w-555922009.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/seamless-geometric-pattern-vector-abstract-600w-555922009.jpg', 'path': 'full/9f985aec67953cef0ef86417df4b174a68dce316.jpg', 'checksum': '352ff8aa20dccffd7e50a328a075ed36'}]"
