id,pageNum,searchTerm,type,contributer,description,keywords,image_urls,images
1357613969,1,seamless+pattern+bright,vector,artnLera,hand drawn doodle ice cream summer  seamless pattern,"pattern,seamless,kids,beach,children,doodle,girl,summer,tropical,vector,colorful,cute,flower,fruit,bright,design,easter,floral,food,heart,sketch,background,beautiful,berry,candy,doodle background,doodle pattern,dots,hand drawn,happy,ice cream,ice cream cone,icon,illustration,lemon,monstera,orange,palm,party,plant,seamless pattern,strawberry,summer fun,summer holiday,sweets,textile,texture,tropical flowers,wallpaper,watermelon",https://image.shutterstock.com/image-vector/hand-drawn-doodle-ice-cream-600w-1357613969.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/hand-drawn-doodle-ice-cream-600w-1357613969.jpg', 'path': 'full/e58f2fd130f1752ad31b4f2154ede7db2e6de7d6.jpg', 'checksum': '0d52469b9fe847ed6eee81ea4eabb0af'}]"
133842608,1,seamless+pattern+bright,vector,lorelinka,Seamless vector pattern with colorful blots.,"pattern,seamless,neon,texture,paint,dot,splash,vector,spray,grunge,abstract,modern,black,fabric,space,bright,fluorescent,spot,background,party,spatter,blot,disco,ink,ornament,wall,design,dark,decorative,element,fluid,repeat,chaotic,drop,illustration,splat,wallpaper,artistic,backdrop,blob,celebration,colorful,concept,decoration,graffiti,paintbrush,style,web,young",https://image.shutterstock.com/image-vector/seamless-vector-pattern-colorful-blots-600w-133842608.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/seamless-vector-pattern-colorful-blots-600w-133842608.jpg', 'path': 'full/f6c1a4fc9bd2fe5caa52e2da10dfa61a48cd249a.jpg', 'checksum': '96082ca78931b4b2cb7655bb65adbd2e'}]"
1517915867,1,seamless+pattern+bright,vector,chempina,"Snowflakes on a Buffalo plaid background.
Vector Seamless Winter Pattern. Festive retro texture.","christmas,pattern,seamless,snow,winter,holiday,vector,flake,noel,red,color,element,ice,white,bright,collection,festive,season,various,vintage,wallpaper,celebration,cheery,december,decoration,decorative,freeze,frost,geometric,graphics,illustration,nativity,object,ornate,random,silhouette,snowflakes,symbol,textile print",https://image.shutterstock.com/image-vector/snowflakes-on-buffalo-plaid-background-600w-1517915867.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/snowflakes-on-buffalo-plaid-background-600w-1517915867.jpg', 'path': 'full/7ae206227e121444e9175b4901b007765df2a88b.jpg', 'checksum': 'f16321dd2cf18225ffba8a3a45511b7d'}]"
546675331,1,seamless+pattern+bright,vector,Alina+Shtulberg,"multicolor vector seamless pattern with abstract shapes. geometric art print. fashion 80s-90s. memphis style design. ethnic hipster backdrop. hand drawn. Wallpaper, cloth design, fabric, textile. ","african,tribal,background,cool,texture,design,line,fun,sport,modern,bright,graphic,doodle,heart,zigzag,fabric,1980s,illustration,indian,space,textile,trendy,handmade,apparel,black,creative,decoration,indigenous,cloth,cotton,crown,north,ornament,template,traditional,triangle,wings,ancient,colorful,decorative,element,fashionable,freehand,hippie,material,polka,rectangle,repeat,star,stripes",https://image.shutterstock.com/image-vector/multicolor-vector-seamless-pattern-abstract-600w-546675331.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/multicolor-vector-seamless-pattern-abstract-600w-546675331.jpg', 'path': 'full/83f7e9a831da7deaa204c4b3a0dbec9b7ec54ed9.jpg', 'checksum': '4ea8c8435aee6068d81d8bb7cf29f2e3'}]"
1048841615,1,seamless+pattern+bright,vector,SummerCandy,"Seamless pattern of Cardwell lily, flat minimal retro/vintage colorful vector","flower,pattern,abstract,seamless,floral,vector,illustration,graphic,summer,bright,flat,pastel,jungle,simple,print,lily,minimal,art,texture,vintage,background,exotic,retro,design,leaf,nature,cardwell,decoration,fashion,green,wallpaper,botanical,drawing,hand draw,memory,pink,saturation,spring,style,tropical",https://image.shutterstock.com/image-vector/seamless-pattern-cardwell-lily-flat-600w-1048841615.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/seamless-pattern-cardwell-lily-flat-600w-1048841615.jpg', 'path': 'full/7dbbc786bbe9d8b66475faad3ed6ff006178df6c.jpg', 'checksum': '746a9cffa455b18ef9b9a0cf1ba7b67b'}]"
256656973,1,seamless+pattern+bright,vector,LanKogal,Brazilian favela. Bright colored seamless pattern. Vector background.,"pattern,seamless,brazil,vector,favela,house,abstract,brazilian,neighborhood,texture,city,landscape,slum,block,graphic,background,design,building,urban,paulo,flat,rio,street,vintage,textile,construction,architecture,print,retro,sao,cover,location,paper,town,wallpaper,apartment,cityscape,development,district,ghetto,locality,place,repeat,backdrop,de,fabric,facade,jeneiro,settlement,suburb,surface,wrapping",https://image.shutterstock.com/image-vector/brazilian-favela-bright-colored-seamless-600w-256656973.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/brazilian-favela-bright-colored-seamless-600w-256656973.jpg', 'path': 'full/a3a19d0ebe6b6e5c8f9978611d75bf0c723630d5.jpg', 'checksum': 'bda87ce2a94ca63a0f8ce8cc1dd332fd'}]"
421975582,1,seamless+pattern+bright,vector,Olga+Rom,"Vector seamless pattern with hand drawn gold glitter textured brush strokes and stripes hand painted. Black, gold, pink, green, brown colors.","pattern,geometric,stripe,watercolor,background,seamless,paint,vector,gold,boho,brush,color,pink,hand,line,abstract,glitter,fabric,fashion,bohemian,grunge,white,geometry,green,mark,stroke,hipster,print,shape,drawn,textile,bold,cross,plaid,retro,graffiti,style,tartan,golden,bright,diagonal,hatch,stipple,1960s,contemporary,1950s,horizontal,wrap,grungy,striped,stripes",https://image.shutterstock.com/image-vector/vector-seamless-pattern-hand-drawn-600w-421975582.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/vector-seamless-pattern-hand-drawn-600w-421975582.jpg', 'path': 'full/72b468e2f256d1461f245cbc565fe749d78b8bc1.jpg', 'checksum': '02402956446b6b5ec8bd3171fb57e10b'}]"
1524315509,1,seamless+pattern+bright,illustration,60seconds,"Hand drawing watercolor сhildren's pattern of cute dino and rainbow. Funny dinosaur perfect for posters, children's fabric, prints.  illustration isolated on white","seamless,rainbow,watercolor,pattern,dinosaur,children,dino,print,birthday,bright,cartoon,cute,drawing,fabric,funny,kids,wild,africa,animal,baby,baby shower,beautiful,card,character,childlike,color,colorful,design,dragon,dream,fantasy,fun,green,illustration,jungle,leaf,little,monster,nature,nursery,palm,poster,reptile,smiling,sweet,textile,tree,tropic,wallpaper,wildlife",https://image.shutterstock.com/image-illustration/hand-drawing-watercolor-pattern-cute-600w-1524315509.jpg,"[{'url': 'https://image.shutterstock.com/image-illustration/hand-drawing-watercolor-pattern-cute-600w-1524315509.jpg', 'path': 'full/d6958576fb3118c642546f410a5dc09a41fbb235.jpg', 'checksum': '19462444d177a4f1f08ed786f18718fa'}]"
656196433,1,seamless+pattern+bright,vector,nannastudio,sketched flower print in bright colors - seamless background,"flower,pattern,floral,seamless,vector,print,spring,background,sketch,vintage,cute,summer,daisy,orange,fashion,fabric,retro,ditsy,texture,design,bouquet,bright,pink,wallpaper,blue,meadow,repeat,green,beauty,tile,artistic,60s,feminine,original,petal,blooms,drawing,gazania,gerber,hand drawn,hippie,natural,nature,scribble,textile",https://image.shutterstock.com/image-vector/sketched-flower-print-bright-colors-600w-656196433.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/sketched-flower-print-bright-colors-600w-656196433.jpg', 'path': 'full/53b67065dfd57c081d439b58c102408f68fd28b1.jpg', 'checksum': 'f24f2feaad14aad06ca82ec2b58cb427'}]"
499732498,1,seamless+pattern+bright,vector,yulianas,"Tropical seamless vector pattern in fashion, trend color palette. Hand-drawn fantastic multicolor leaves a black background","pattern,tropic,seamless,crazy,texture,palm,vector,background,foliage,floral,tree,bright,jungle,leaf,print,wallpaper,fabric,summer,fashion,textile,multicolor,spring,art,illustration,design,exotic,hawaii,plant,green,backdrop,colorful,drawing,holiday,nature,paradise,shape,tropical",https://image.shutterstock.com/image-vector/tropical-seamless-vector-pattern-fashion-600w-499732498.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/tropical-seamless-vector-pattern-fashion-600w-499732498.jpg', 'path': 'full/888f39ec6b82021c212e8e95e83d1f6c96758a9a.jpg', 'checksum': 'd817c1d1c414d61064518d9624960a3d'}]"
