id,pageNum,searchTerm,type,contributer,description,keywords,image_urls,images
1685342236,1,seamless+pattern+check,illustration,tiff20,Tartan fabric texture. Seamless pattern.,"abstract,backdrop,background,blanket,carpet,check,checkered,classic,cloth,clothing,color,cotton,decoration,design,diagonal,fabric,fashion,flannel,geometric,gingham,grid,illustration,line,material,modern,ornament,pattern,plaid,print,repeat,repetition,retro,scottish,seamless,square,stripe,style,symmetry,tartan,textile,texture,tile,traditional,twill,vintage,wallpaper",https://image.shutterstock.com/image-illustration/tartan-fabric-texture-seamless-pattern-600w-1685342236.jpg,"[{'url': 'https://image.shutterstock.com/image-illustration/tartan-fabric-texture-seamless-pattern-600w-1685342236.jpg', 'path': 'full/7d831b0771289e4944d91aabb9ab8fa03f733032.jpg', 'checksum': 'dafb790a0157781a27efaaee27dc2bf0'}]"
395036518,1,seamless+pattern+check,vector,Rolau_Elena,"Checked, square, plaid vector seamless pattern. Vertical and horizontal hand drawn uneven crossing stripes. Chequered geometrical background. White bars on mint green backdrop.","pattern,check,drawn,seamless,stripe,handmade,mint,cross,square,green,background,grid,chequered,abstract,line,screen,shape,uneven,bar,brush,fence,graphic,mesh,table,texture,thin,white,backdrop,cellular,decorative,enclosure,geometrical,horizontal,narrow,net,packing,row,sieve,streak,strip,stroke,template,textured,vertical",https://image.shutterstock.com/image-vector/checked-square-plaid-vector-seamless-600w-395036518.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/checked-square-plaid-vector-seamless-600w-395036518.jpg', 'path': 'full/f010c95bdf2949d55499b4d70b4daac8668a3cbd.jpg', 'checksum': 'cc5158c38db57987864d081de40d0b87'}]"
1505765714,1,seamless+pattern+check,vector,Siu-Hong+Mok,"Brown Plaid Tartan Seamless Print/Pattern in Vector for shirt printing, jacquard patterns, backgrounds and textiles","checkered,vector,classic,brown,clothes,prints,backdrop,background,bold,checks,christmas,colorful,colors,commercial,contemporary,decoration,design,digital,fabric,fashion,flannel,geometric,gingham,graphics,grid,illustration,jacquard,kilt,modern,paper,picnic,plaid,plaid shirt,repeat,retro,scottish,seamless pattern,spring,squares,stripes,tablecloth,tartan,taupe,textile,textures,vintage,weave,winter,wool,woven fabric",https://image.shutterstock.com/image-vector/brown-plaid-tartan-seamless-printpattern-600w-1505765714.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/brown-plaid-tartan-seamless-printpattern-600w-1505765714.jpg', 'path': 'full/68e79ce9d67dbda525e2c01609cfa3952f43e585.jpg', 'checksum': 'c0e6c323c1acc4e1c9796be09a1f58d1'}]"
1081772561,1,seamless+pattern+check,vector,HardtIllustrations,Light Blue and Black Buffalo Check Plaid Seamless Pattern - Classic style light blue and black buffalo check flannel plaid seamless pattern,"check,pattern,blue,plaid,black,flannel,fabric,gingham,lumberjack,cloth,retro,simple,texture,vector,woven,1990s,abstract,art,backdrop,background,blanket,buffalo check,checkered,clothing,cotton,cute,design,design element,fashion,geometric,hipster,illustration,light blue,material,punk rock,repeat,seamless pattern,shirt,square pattern,stripes,style,swatch,tartan,textile,tile,traditional,trendy,vintage,wallpaper,weave",https://image.shutterstock.com/image-vector/light-blue-black-buffalo-check-600w-1081772561.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/light-blue-black-buffalo-check-600w-1081772561.jpg', 'path': 'full/bef451e2fc190260e3e657d8ae683935c1d29a6d.jpg', 'checksum': '9abbd2fb10a898d155ff42aa6f24f245'}]"
406678438,1,seamless+pattern+check,vector,T-Kot,pink seamless gingham pattern,"pattern,gingham,seamless,pink,vector,background,simple,checkered,retro,square,geometric,repeat,table,abstract,cloth,color,fabric,stripes,tablecloth,wallpaper,backdrop,blanket,checks,decor,design,diagonal,gift,linen,modern,paper,picnic,plaid,scrapbook,textile,texture,traditional,vintage,wrap",https://image.shutterstock.com/image-vector/pink-seamless-gingham-pattern-600w-406678438.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/pink-seamless-gingham-pattern-600w-406678438.jpg', 'path': 'full/5f4f288fb8c23f1663876563b3e8d8ae83b10b08.jpg', 'checksum': '3394979be0e6024b5ee40fa050cc0c1b'}]"
1140910796,1,seamless+pattern+check,vector,Anya_D,"Plaid check patten in teal green, aqua, white and amaranth purple. Seamless fabric texture print. ","plaid,pattern,tartan,check,print,christmas,teal,vector,repeat,fabric,texture,scottish,twill,background,checker,fashion,gingham,green,square,aqua,flannel,preppy,purple,quilt,scotland,stripe,style,white,blanket,color,countryside,design,english,geometric,golf,mens,pajamas,picnic,pink,pyjamas,rustic,seamless patern,shirt,table cloth,tablecloth,textile,turquoise,uk,wrap,xmas",https://image.shutterstock.com/image-vector/plaid-check-patten-teal-green-600w-1140910796.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/plaid-check-patten-teal-green-600w-1140910796.jpg', 'path': 'full/f2b52db4310cef10e234299366ef35f3bbde4863.jpg', 'checksum': '8ed0c1c97828282fecb8114c10d149ed'}]"
1180888318,1,seamless+pattern+check,vector,solarus,Abstract tartan seamless pattern. Vector illustration.,"pattern,plaid,check,tartan,seamless,fabric,textile,vector,vintage,twill,abstract,beautiful,brown,digital,modern,new,repeat,scottish,texture,argyle,backdrop,background,checkerboard,classic,collection,cotton,culture,decoration,diagonal,effects,folk,grid,hipster,illustration,image,irish,lumberjack,material,ornament,repeating,repetition,retro,scrapbook,shape,simple,striped,symmetrical,tablecloth,trendy,wallpaper",https://image.shutterstock.com/image-vector/abstract-tartan-seamless-pattern-vector-600w-1180888318.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/abstract-tartan-seamless-pattern-vector-600w-1180888318.jpg', 'path': 'full/5a70a999e69bc39ea27fa5a5b4ff6fd8014de389.jpg', 'checksum': '5a066e1feaf08404b6a4e377ca361017'}]"
742895284,1,seamless+pattern+check,vector,ville,Scottish plaid in classic colors. Royal Stewart tartan seamless pattern,"tartan,plaid,pattern,stewart,red,royal,scottish,check,green,vector,autumn,yellow,black,abstract,blue,colorful,houndstooth,ornament,popular,texture,antique,backdrop,background,british,celtic,checkered,clan,classic,decorative,design,fabric,famous,fashion,geometric,illustration,kilt,line,stripe,textile,traditional,tribal,weave",https://image.shutterstock.com/image-vector/scottish-plaid-classic-colors-royal-600w-742895284.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/scottish-plaid-classic-colors-royal-600w-742895284.jpg', 'path': 'full/31e42eafcc07f503b79a42e88c19520809dfa639.jpg', 'checksum': '5b811fef6f263a9482481490452b3d2d'}]"
1731770158,1,seamless+pattern+check,vector,solarus,"Tartan scotland seamless plaid pattern vector. Retro background fabric. Vintage check color square geometric texture for textile print, wrapping paper, gift card, wallpaper flat design.","check,pattern,seamless,suit,vector,white,abstract background,background,booking,britain,classical,clothing,cross,curtain,dad,decorative,diagonal,digital,elegant,fabric,fabric design,flannel,flannel texture,high,irish,madras,model,pillow,plaid,plaid pattern,plaids,retro design,school,scotland,scottish,seamless pattern,square,stripe,stripes,stylish,symmetry,t-shirt,table,tartan,tartan pattern,tartan vector,textile,textile design,texture,wrapping check",https://image.shutterstock.com/image-vector/tartan-scotland-seamless-plaid-pattern-600w-1731770158.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/tartan-scotland-seamless-plaid-pattern-600w-1731770158.jpg', 'path': 'full/3cb88445fe10707e3e5cad25627c94a16371de7e.jpg', 'checksum': 'c52b8cf4fe5594f8a6e69af624a9da92'}]"
1887032557,1,seamless+pattern+check,vector,ZillaDigital,"Tattersall pattern in pink, blue, white. Seamless tartan check plaid graphic for scarf, skirt, blanket, throw, or other modern spring and summer fabric print. Simple classic textured design.","check,pattern,plaid,vector,abstract,autumn,backdrop,background,blanket,blue,checkered,classic,clothing,coat,cotton,cover,design,dress,duvet,fabric,fashion,flannel,graphic,grid,jacket,lines,modern,pastel,pink,print,scarf,scotland,scottish,seamless,shirt,simple,skirt,spring,summer,tartan,tattersall,textile,texture,textured,throw,traditional,white,winter,wool",https://image.shutterstock.com/image-vector/tattersall-pattern-pink-blue-white-600w-1887032557.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/tattersall-pattern-pink-blue-white-600w-1887032557.jpg', 'path': 'full/34132b5ff8eec0d28e5051f156d95282a80e6272.jpg', 'checksum': '3ae2527be5253383a3cd1077f3f094b5'}]"
