id,pageNum,searchTerm,type,contributer,description,keywords,image_urls,images
1782301619,1,seamless+pattern+iridescent,vector,Krystsina+Kandratsyeva,Mermaid Scales. Fish Squama. Seamless Pattern. Color Vector Illustration. Watercolor Background. Mermaid Print.,"mermaid,background,pattern,holographic,scale,seamless,squama,abstract,aqua,blue,bright,color,cool,cute,design,fantasy,fish,foil,girl,glamour,gradient,hologram,horizontal,illustration,iridescent,kawaii,magic,marine,neon,ocean,party,princess,print,purple,retro,scales,sea,skin,snake,spring,summer,swatch,tail,texture,trendy,underwater,vector,violet,water,watercolor",https://image.shutterstock.com/image-vector/mermaid-scales-fish-squama-seamless-600w-1782301619.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/mermaid-scales-fish-squama-seamless-600w-1782301619.jpg', 'path': 'full/563286a525e37c4c927a5c3638f54253b53a7078.jpg', 'checksum': '8a320e924079f625f4e1c15e7e8e2eb6'}]"
1509984710,1,seamless+pattern+iridescent,vector,mwiederrecht,Psychedelic animal skin print variegated holographic pearlescent opalescent geometric seamless repeat vector pattern swatch.,"pattern,seamless,iridescent,holographic,ombre,rainbow,foil,abstract,purple,vector,geometric,pink,texture,background,hologram,repeat,bright,gradient,neon,opalescent,pearl,pearlescent,print,sheen,animal,backdrop,cat,cosmic,foiled,futuristic,gamma,glass,light,op art,opal,pastel colors,pixels,polygonal,psychedelic,shiny,skin,smooth,spectrum,swatch,tile,transparency,trendy,variegated,vibrant,wallpaper",https://image.shutterstock.com/image-vector/psychedelic-animal-skin-print-variegated-600w-1509984710.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/psychedelic-animal-skin-print-variegated-600w-1509984710.jpg', 'path': 'full/a64eae0447a733d360176d2301bf528791480115.jpg', 'checksum': 'b7a3ad39135787656f0dc2b7f9ea9097'}]"
1860066046,1,seamless+pattern+iridescent,illustration,Jojo+Textures,"Seamless texture with leaves pattern, stained glass effect, long texture, 3d illustration	","effect,pattern,seamless,3d illustration,abstract,art,background,banner,bright,carving,colorful,composition,continuity,crystal,decorative,delicate,floral,flow,foil,garden,glass,gradient,grunge,iridescent,leaves,light,luminous,material,metallic,mosaic,mother of pearl,motif,motion,nacre,nature,ornament,pearl,radiant,rainbow,reflection,refraction,relief,render,repeat,shiny,surface,texture,tile,translucent,wallpaper",https://image.shutterstock.com/image-illustration/seamless-texture-leaves-pattern-stained-600w-1860066046.jpg,"[{'url': 'https://image.shutterstock.com/image-illustration/seamless-texture-leaves-pattern-stained-600w-1860066046.jpg', 'path': 'full/9eec7c51cc0b7ed8d298530b6b0df6ee6cb97f22.jpg', 'checksum': 'b90e689e3ba982e708953072a4437327'}]"
1863227833,1,seamless+pattern+iridescent,illustration,be-bright,Neon Dye Seamless Pattern. Craft Tie Dye Mess Texture. Swirl Artistic Creative Texture. Neon Craft Dirty Tie Dye Material. Spiral Modern Fashion Watercolour. Artistic Washes Surface.,"dye,seamless,tie,neon,subtle,acryl,aquarelle,art,artistic,background,beautiful,black,blend,blotch,blur,brushed,collection,color,damaged,degrade,design,distressed,drawn,fabric,fashion,fractal,fun,graphics,hippie,ikat,ikkat,indonesian,iridescent,isolated,paint,paintbrush,pattern,print,smeared,spiral,sunny,swirl,textile,texture,tone,trend,trendy,tye die,watercolour",https://image.shutterstock.com/image-illustration/neon-dye-seamless-pattern-craft-600w-1863227833.jpg,"[{'url': 'https://image.shutterstock.com/image-illustration/neon-dye-seamless-pattern-craft-600w-1863227833.jpg', 'path': 'full/0035c0a3bf6ee20e8d7209239a84727840a9c03a.jpg', 'checksum': '9951b93822fbb90d82a83b4d3961af7b'}]"
115234786,1,seamless+pattern+iridescent,vector,CurlyPat,Seamless pattern. Tile volume texture made from points,"geometric,pattern,seamless,abstract,vector,motifs,shape,vintage,angular,scale,wallpaper,black,circle,design,holiday,iridescent,optical,squama,texture,triangle,art,backdrop,background,bright,continuity,decoration,decorative,dot,element,festival,festive,gleam,glint,glossy,graphic,illusion,illustration,light,ornament,ornate,repeating,repetition,straight,style,textured,tone,traditional,trendy,vivid,volume",https://image.shutterstock.com/image-vector/seamless-pattern-tile-volume-texture-600w-115234786.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/seamless-pattern-tile-volume-texture-600w-115234786.jpg', 'path': 'full/2902e632bd1589b23f10fd9d69d0b8a0db91f348.jpg', 'checksum': 'a271a2f0a4dfa5aae26df5f2320e046d'}]"
1900537018,1,seamless+pattern+iridescent,illustration,mwiederrecht,Holographic foil vivid trendy seamless geometric pattern. Opalescent psychedelic design in pastel rainbow colors. Cosmic futuristic iridescent graphic swatch.,"abstract,backdrop,background,bleed,bright,cosmic,foil,futuristic,gamma,geo,geometric,glass,gradient,graphic,graphical,hologram,holographic,iridescent,jpg,light,line,motif,neon,ombre,opal,opalescent,pastel colors,pattern,pearl,pearlescent,pink,psychedelic,purple,rainbow,raster,repeat,seamless,shape,sheen,shiny,smooth,spectrum,swatch,texture,tile,transparency,trendy,variegated,vibrant,vivid",https://image.shutterstock.com/image-illustration/holographic-foil-vivid-trendy-seamless-600w-1900537018.jpg,"[{'url': 'https://image.shutterstock.com/image-illustration/holographic-foil-vivid-trendy-seamless-600w-1900537018.jpg', 'path': 'full/cacc5198a4edf35a3229929a5a4d49751b982b75.jpg', 'checksum': 'b1b0d0f118e2c87a88d99d2961ec01ff'}]"
1904458405,1,seamless+pattern+iridescent,illustration,mwiederrecht,Seamless satin soft pastel color leaves pattern. High quality illustration. Beach or resort wear design of leaves in fuzzy turquoise and white. Repeat raster jpg pattern design.,"beach,beachwear,blue,blur,colourful,cool,delicate,fade,fashion,foliage,gloss,gradient,graphic,green,iridescent,jpg,leaves,lime,luxurious,mint,motif,ocean,pale,pastel,pattern,peaceful,raster,reflection,relaxed,repeat,resort,satin,sea,seamless,serene,smooth,soft,spa,sport,sportswear,summer,surface,swatch,textile,texture,translucent,tropical,turquoise,underwater,wear",https://image.shutterstock.com/image-illustration/seamless-satin-soft-pastel-color-600w-1904458405.jpg,"[{'url': 'https://image.shutterstock.com/image-illustration/seamless-satin-soft-pastel-color-600w-1904458405.jpg', 'path': 'full/8baf221084e1343b633bfd3b20dde323351d17b7.jpg', 'checksum': '6d4e3b37c03a4a38381d481801da75cd'}]"
1791702062,1,seamless+pattern+iridescent,illustration,HardtIllustrations,Rainbow Gradient Seamless Pattern - Bright and colorful ombre gradient repeating pattern design,"green,ombre,pattern,purple,yellow,abstract,background,blue,bright,color gradients,colorful,cute,decoration,design,design element,funky,geeky,glowing,gold,gradient,heart background,heart pattern,hearts,holographic,illustration,iridescent,love,modern,multicolor,neon,nerdy,orange,pink,pride,psychedelic,rainbow,rainbow hearts,red,retro,seamless pattern,shiny,texture,throwback,trendy,valentine,valentines day,vibrant",https://image.shutterstock.com/image-illustration/rainbow-gradient-seamless-pattern-bright-600w-1791702062.jpg,"[{'url': 'https://image.shutterstock.com/image-illustration/rainbow-gradient-seamless-pattern-bright-600w-1791702062.jpg', 'path': 'full/60f44c45453c02d6294a475d967714a9e9bf8f0f.jpg', 'checksum': 'f6afba208f8a69c9bfa17edafcb434a8'}]"
1794136516,1,seamless+pattern+iridescent,illustration,limolida,Blurry rainbow glitch artistic texture background. Irregular bleeding watercolor tie dye seamless pattern. Ombre distorted boho all over print. Variegated trendy dipping wet effect.,"dye,watercolor,80s,all over,allover,artistic,backdrop,background,bleed,blotch,blur,bohemian style,boho,colorful,crystal,dark,distort,distressed,dripping,dyed,fabric,fantasy,glitch,graphic design,grunge,hand painted,holographic,imperfect,iridescent,irregular,love,magical,material,multicolor,ombre,pattern,print,psychedelic,rainbow,seamless,textile,textured,tie dye,trend,variegated,vibrant,vintage,wash,washed out,wet effect",https://image.shutterstock.com/image-illustration/blurry-rainbow-glitch-artistic-texture-600w-1794136516.jpg,"[{'url': 'https://image.shutterstock.com/image-illustration/blurry-rainbow-glitch-artistic-texture-600w-1794136516.jpg', 'path': 'full/3872e7103c2594aaea440291f3d4aa643da969dd.jpg', 'checksum': 'fb74726deeff266abac149455d3b4dba'}]"
557110582,1,seamless+pattern+iridescent,illustration,airdynamic,Seamless stone texture with bright violet and turquoise colors. Opalescent background. Holographic effect.,"holographic,iridescent,background,opal,stone,texture,abstract,blue,glam,purple,90,bright,celebration,cyan,decoration,funny,futuristic,green,holography,iridescence,light,magenta,magic,marine,nature,opalescent,rainbow,sea,seamless pattern,spectrum,spotted,stains,trendy,turquoise,violet,vivid,wallpaper",https://image.shutterstock.com/image-illustration/seamless-stone-texture-bright-violet-600w-557110582.jpg,"[{'url': 'https://image.shutterstock.com/image-illustration/seamless-stone-texture-bright-violet-600w-557110582.jpg', 'path': 'full/d6df2263eddbc51a3a6086d865e56da82abeb947.jpg', 'checksum': 'bdf497627f76f431d348ca3f5e2bfa51'}]"
428996107,1,seamless+pattern+iridescent,vector,OlhaKostiuk,"Hipster boho holographic mesh seamless pattern. Minimal printable journaling card, creative card, art print, minimal label design for banner, poster, flyer.","seamless,pattern,hologram,background,gradient,poster,abstract,design,cosmic,hipster,texture,vector,vintage,card,pearl,purple,realistic,trendy,banner,booklet,bright,business,cover,flyer,gas,geometric,holographic,holography,iridescent,light,modern,nacreous,petrol,pink,retro,shiny,simplicity,softness,spectrum,substrate,template,trend,wallpaper",https://image.shutterstock.com/image-vector/hipster-boho-holographic-mesh-seamless-600w-428996107.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/hipster-boho-holographic-mesh-seamless-600w-428996107.jpg', 'path': 'full/d619af374f9fe0ac30dc0e7d05c746392e0c4e50.jpg', 'checksum': '875cc51a6e6ffcf5e217e030e4fa006d'}]"
