id,pageNum,searchTerm,type,contributer,description,keywords,image_urls,images
1812894847,1,seamless+pattern+blossom,vector,Svetlana+Kononova,Colorful garden flowers on black background. Seamless vector pattern. Vintage print with  inflorescences. Retro textile collection.,"seamless,floral,pattern,cute,micro,wildflowers,botanical,summer,vector,abstract,art,background,beautiful,bloom,blossom,border,chamomiles,clusters,cotton,daisy,decor,decoration,design,detail,ditsy,dress,fabric,flowers,garden,lawn,meadow,mixed,motifs,nature,paper,petals,pink,print,retro,scarf,silk,small,spring,style,textile,vintage,wallpaper,white,wild,wrapping",https://image.shutterstock.com/image-vector/colorful-garden-flowers-on-black-600w-1812894847.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/colorful-garden-flowers-on-black-600w-1812894847.jpg', 'path': 'full/5833e2bd17df6026f5d50b6cf03e267ee349b147.jpg', 'checksum': '03439c193415cb7e8b5256128aa0ef9f'}]"
589529984,1,seamless+pattern+blossom,vector,AnastasiyaBleskina,seamless floral pattern with magnolies in watercolor style,"pattern,floral,seamless,flower,watercolor,vector,cute,leaf,plant,abstract,background,design,elegant,illustration,nature,spring,vintage,art,fabric,fresh,graphic,painted,paper,pink,repeat,retro,romantic,texture,wallpaper,beautiful,beauty,blossom,botanical,bouquet,card,color,decoration,drawing,element,floral pattern,invitation,invitation card,natural,ornament,style,summer,wedding,wedding invitation,wrapping",https://image.shutterstock.com/image-vector/seamless-floral-pattern-magnolies-watercolor-600w-589529984.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/seamless-floral-pattern-magnolies-watercolor-600w-589529984.jpg', 'path': 'full/c11e7f48336fc785c4a04b6b9e287f0954cacb9d.jpg', 'checksum': '55614e53e19e36d78f021549c260537d'}]"
502215445,1,seamless+pattern+blossom,vector,Zenina,"Vector watercolour floral pattern, delicate flowers, yellow, blue and pink flowers, greeting card template","flower,pattern,watercolor,floral,background,spring,vector,seamless,summer,wallpaper,blue,simple,nature,leaves,rose,vintage,red,card,white,beauty,design,romantic,wedding,delicate,textile,blossom,garden,small,ethnic,petal,fabric,beautiful,botanical,flower pattern,illustration,nice,watercolor flower,watercolours",https://image.shutterstock.com/image-vector/vector-watercolour-floral-pattern-delicate-600w-502215445.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/vector-watercolour-floral-pattern-delicate-600w-502215445.jpg', 'path': 'full/5ca5ead2abc3650423dd222d1d3c489893eff557.jpg', 'checksum': '1b496190f28116ec2d8f1ad0301b2200'}]"
1624003138,1,seamless+pattern+blossom,illustration,Katita,"digital botanical background, watercolor illustration, seamless floral pattern, humming birds, wild tropical flowers, violet. Paradise nature garden. Palm leaf, calla lily, plumeria, hydrangea, gerber","pattern,bird,seamless,tropical,flower,violet,nature,paradise,abstract,background,collage,hydrangea,illustration,ornament,palm,watercolor,yellow,arrangement,assorted,bloom,blooming,blossom,botanical,bouquet,calla,clip art,colorful,composition,decor,design,detailed,exotic,fauna,flora,floral,garden,green,hawaiian,isolated,jungle,leaves,lilly,petal,pink,shape,spring,summer,tropic,vivid,wallpaper",https://image.shutterstock.com/image-illustration/digital-botanical-background-watercolor-illustration-600w-1624003138.jpg,"[{'url': 'https://image.shutterstock.com/image-illustration/digital-botanical-background-watercolor-illustration-600w-1624003138.jpg', 'path': 'full/fdea1514835c2d773c2f6e2c33b91d4d8beb81b6.jpg', 'checksum': '7fc7f5e5da6d6a0c748c97149d8adadb'}]"
1119470447,1,seamless+pattern+blossom,vector,MSNTY,"Vintage Seamless pattern vector with tulips flowers. Hand drawing illustration with wild floral for fashion ,fabric, and all prints on brown background colors.","flower,pattern,seamless,vector,yellow,floral,illustration,white,beautiful,vintage,abstract,background,pink,blossom,sketch,texture,beauty,botany,color,colorful,decor,decoration,drawing,drawn,element,fashion,garden,graphic,green,leaf,modern,nature,ornament,plant,print,retro,season,spring,style,summer,tulips,wallpaper",https://image.shutterstock.com/image-vector/vintage-seamless-pattern-vector-tulips-600w-1119470447.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/vintage-seamless-pattern-vector-tulips-600w-1119470447.jpg', 'path': 'full/e559ec656c2505205a58f77571f482b57cb8dccc.jpg', 'checksum': '4ac7a6520f591cc21ba7efcf5c3c40c6'}]"
1557232622,1,seamless+pattern+blossom,vector,ZenStockers,"Floral seamless pattern with cotton blossom flowers, endless texture, ink sketch art. Vector illustration for wedding invitations, wallpaper, textile, wrapping paper
","pattern,flower,floral,seamless,vector,illustration,color,background,linear,texture,wallpaper,art,sketch,spring,textile,abstract,decoration,element,fabric,pink,print,vintage,beautiful,beauty,blossom,classic,colorful,contour,cotton flower,decorative,design,drawing,elegance,elegant,feminine,flowers sketch pattern,garden,graphic,hand drawn,ink,line art florals,nature,one line,ornament,repeat,retro,shape,style,surface,wrapping paper",https://image.shutterstock.com/image-vector/floral-seamless-pattern-cotton-blossom-600w-1557232622.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/floral-seamless-pattern-cotton-blossom-600w-1557232622.jpg', 'path': 'full/3c075655f7fa22c6965380c2b8e998e953e51c5b.jpg', 'checksum': '6c7335407519621480de8034b95cabf5'}]"
475305148,1,seamless+pattern+blossom,vector,usso,Seamless vector paisley pattern,"paisley,pattern,seamless,flower,vector,floral,color,india,design,ornament,print,background,creative,folk,motif,rose,textile,art,artwork,blossom,fabric,hand,leaf,wallpaper,wrapper,backdrop,beautiful,blooming,clip,colorful,context,contrast,decoration,decorative,drawings,drawn,element,graphics,illustration,magnificent,natural,nature,ornate,repetition,style,stylish,textured,tiled,traditional,twisted,wrapped",https://image.shutterstock.com/image-vector/seamless-vector-paisley-pattern-600w-475305148.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/seamless-vector-paisley-pattern-600w-475305148.jpg', 'path': 'full/2ac164d063cc08ce818dd34ab255ddef74d0530e.jpg', 'checksum': 'c41a427aab0bed5850cc5c1400265e00'}]"
1094638172,1,seamless+pattern+blossom,vector,MSNTY,Monotone blue and grey of silhouette tropical foliage and fill in stripe leaves in colorful mood  seamless pattern in vector for fashion fabric and all prints ,"pattern,geometric,flower,floral,seamless,vector,watercolor,abstract,modern,tropic,leaves,print,background,leaf,fabric,design,plant,brush,texture,silhouette,fashion,summer,textile,wallpaper,color,nature,illustration,minimal,tree,drawing,grunge,art,exotic,graphic,spring,beach,blossom,decoration,doodle,garden,palm,stripes,tropical",https://image.shutterstock.com/image-vector/monotone-blue-grey-silhouette-tropical-600w-1094638172.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/monotone-blue-grey-silhouette-tropical-600w-1094638172.jpg', 'path': 'full/fd92d8448f259a673cc7cc4f6a65c7db06f85a33.jpg', 'checksum': '10e45a73f8f8f67d59d7494dde2a41b6'}]"
1024816108,1,seamless+pattern+blossom,vector,annandpen,Seamless floral pattern with a large-scale design of a woody vine with exotic flowers and smaller birds and tropic leaves on a  white background. The elegant the template for fashion prints. ,"flower,seamless,indian,jungle,wallpaper,background,simple,liberty,elegant,exotic,victorian,vintage,field,modern,pretty,texture,garden,fond,spring,blossom,cute,folklore,palm,plant,summer,tiny,forest,repeat,retro,fabric,leaf,bloom,colors,exotic flowers,fantasy background,fashion print,floral pattern,florals,gift wrap,leaves and flowers,patterns,prints,random,simplicity,smaller birds,tree of life,tropical,vector illustration,wild flowers,woody vine",https://image.shutterstock.com/image-vector/seamless-floral-pattern-largescale-design-600w-1024816108.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/seamless-floral-pattern-largescale-design-600w-1024816108.jpg', 'path': 'full/d5d45f8f23af10528e97b05b0492548477c88c6c.jpg', 'checksum': 'def33e122a0d4dd70c8e74be87c2d1ba'}]"
1393238120,1,seamless+pattern+blossom,vector,ozzichka,"Vector seamless pattern with hand drawing wild flowers, colorful botanical illustration, floral elements, hand drawn repeatable background. Artistic backdrop.","pattern,floral,flower,abstract,vector,background,simple,illustration,poppy,red,silhouette,drawing,hand,petal,spring,leaf,summer,graphic,grass,vintage,drawn,handdrawn,retro,art,decoration,design,doodle,isolated,organic,set,anemon,artistic,beauty,blossom,botanic,botanical,botany,collection,element,flora,frame,garden,grunge,kids,natural,nature,ornament,plant,sketch,symbol",https://image.shutterstock.com/image-vector/vector-seamless-pattern-hand-drawing-600w-1393238120.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/vector-seamless-pattern-hand-drawing-600w-1393238120.jpg', 'path': 'full/53efafc13bf0ac3411bc94846c45bf15bb4983a1.jpg', 'checksum': '95850e6c78ae0e2bb02330c8d2869fa3'}]"
1457946578,1,seamless+pattern+blossom,vector,mamita,"Luxury ornate pattern for creating textiles, wallpaper, paper. Print gold foil on a blue background. Seamless background with garden flowers peonies, bird and butterflies. Vintage. Vector Illustration","vintage,pattern,bird,gold,floral,antique,butterfly,chinese,seamless,animal,garden,japanese,art,oriental,nature,ornate,plant,bouquet,garland,sketch,leaves,old,romantic,blossom,blue,botany,cover,foil,sparkle,summer,wedding,flora,packaging,spring,brilliance,decor,berries,blooming,botanical,decoration,drawing,engraving,floristic,flowers,glittering,peonies,shimmering,twigs,vegetation,wreath",https://image.shutterstock.com/image-vector/luxury-ornate-pattern-creating-textiles-600w-1457946578.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/luxury-ornate-pattern-creating-textiles-600w-1457946578.jpg', 'path': 'full/4bf06d0a0f26edff870ede13a5434c64a195c6d8.jpg', 'checksum': 'af8afd174a61eb21f3aad651cefe226c'}]"
1717570504,1,seamless+pattern+blossom,illustration,JOY8046,"Rose seamless pattern with watercolor on blue background.Designed for fabric luxurious and wallpaper, vintage style.Hand drawn floral pattern illustration.Rose garden.Pink flower bouquet.","flower,pattern,seamless,floral,vintage,watercolor,print,rose,bouquet,colorful,fabric,paper,pink,white,art,background,beautiful,bloom,blooming flowers,blossom,botanical,branch,card,decoration,decorative,design,drawing,elegant,fashion,flora,garden,graphic,illustration,leaf,nature,painting,petal,plant,retro,romantic,spring,summer,template,textile,texture,tile,tropic,valentine,valentines,wallpaper",https://image.shutterstock.com/image-illustration/rose-seamless-pattern-watercolor-on-600w-1717570504.jpg,"[{'url': 'https://image.shutterstock.com/image-illustration/rose-seamless-pattern-watercolor-on-600w-1717570504.jpg', 'path': 'full/fb19ffac634c12a663899e335cd7a4be45684c57.jpg', 'checksum': '228b2ede26de5829d8e3710ddd23da47'}]"
1676559517,1,seamless+pattern+blossom,vector,luckyvectors,"daisy seamless pattern vector design hand drawn spring daisy flower  fabric towel design pattern summer print  ditsy flower,spring,stationery,fabric,paper,packet,fashion creative decorative seamless","daisy,flower,print,slogan,fashion,floral,spring,vector,botanical,embroidery,retro,banner,dress,hope,lettering,pretty,apparel,blossom,chamomile,embellishment,fabric pattern,feminine,heart,illustration,isolated,letter,love,message,poster,quote,rope,seamless pattern,slogan t shirt,summer,sun flower,sweatshirts,t shirt,t shirt graphic design,t shirt print,tee,teenage,text,textile,texture,trendy,typographic,typography,vintage,wall art,yellow",https://image.shutterstock.com/image-vector/daisy-seamless-pattern-vector-design-600w-1676559517.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/daisy-seamless-pattern-vector-design-600w-1676559517.jpg', 'path': 'full/552db1f176a6df767ed3590b596f1f8563138ab4.jpg', 'checksum': '96db224e379f6c2dbde487dac333333f'}]"
1711694560,1,seamless+pattern+blossom,vector,Theraphosathailandshop,"Beautiful seamless floral pattern background.
","pattern,seamless,floral,flower,wallpaper,backdrop,background,beautiful,blossom,botanical,design,illustration,leaf,nature,paper,print,scrapbook,spring,textile,tropical",https://image.shutterstock.com/image-vector/beautiful-seamless-floral-pattern-background-600w-1711694560.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/beautiful-seamless-floral-pattern-background-600w-1711694560.jpg', 'path': 'full/5247b062b79cd2319bfaafae2fecc86f95ebbad8.jpg', 'checksum': 'df040a9204005f38ee97949c9d952b09'}]"
1726554610,1,seamless+pattern+blossom,vector,ModernModel,Daisy flower seamless on blue background illustration. Pretty floral pattern for print. Flat design vector.,"daisy,flower,pattern,vector,seamless,cute,illustration,background,chamomile,spring,design,flat,floral,summer,wallpaper,white,meadow,print,texture,yellow,abstract,art,beautiful,beauty,bloom,blossom,blue,botanical,bouquet,decoration,decorative,fabric,flora,flower pattern,garden,graphic,hand drawn,isolated,leaf,natural,nature,ornament,paper,petal,plant,repeat,retro,style,textile,wrapping",https://image.shutterstock.com/image-vector/daisy-flower-seamless-on-blue-600w-1726554610.jpg,"[{'url': 'https://image.shutterstock.com/image-vector/daisy-flower-seamless-on-blue-600w-1726554610.jpg', 'path': 'full/7c78f7e23739dd7576decfe7a5b21c8912d11a77.jpg', 'checksum': 'd451f599425b89b119263fd405a81be5'}]"
